HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A1SL MR SN XMA170891
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,A1SL MR
Manufacturer,Standard Imaging
Model,A1SL MR
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.816,[pA]
Reference detector,-0.873,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-24T16:29:35.6343040-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,19.92,[cm]
Field size inline,19.92,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-11,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,11,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,220000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.027857,[cm]
Calculated field width,19.651741,[cm]
Calculated penumbra left,3.206888,[cm]
Calculated penumbra right,3.236070,[cm]
Calculated symmetry,0.791,[%]
Normalisation factor,0.094170,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-10.9511,0.0012,-5.0029,7.136,
-10.8498,0.0029,-5.0059,7.587,
-10.7498,0.0033,-5.006,8.123,
-10.6499,0.0035,-5.0062,8.674,
-10.55,0.0036,-5.0063,9.516,
-10.4499,0.0038,-5.0065,10.578,
-10.35,0.0039,-5.0067,12.348,
-10.25,0.0041,-5.0068,15.427,
-10.1499,0.0042,-5.007,20.590,
-10.0499,0.0044,-5.0071,28.009,
-9.9498,0.0045,-5.0073,36.999,
-9.8499,0.0047,-5.0075,45.920,
-9.7499,0.0048,-5.0076,53.783,
-9.6498,0.005,-5.0078,59.386,
-9.55,0.0052,-5.0079,63.307,
-9.4499,0.0053,-5.0081,65.656,
-9.3499,0.0054,-5.0082,67.227,
-9.25,0.0055,-5.0083,68.551,
-9.1499,0.0054,-5.0083,69.417,
-9.0498,0.0054,-5.0082,70.144,
-8.9499,0.0053,-5.0082,70.704,
-8.85,0.0052,-5.0081,71.413,
-8.75,0.0051,-5.0081,71.744,
-8.6499,0.005,-5.008,72.581,
-8.5498,0.005,-5.008,72.911,
-8.4498,0.0049,-5.0079,73.290,
-8.3499,0.0048,-5.0079,73.958,
-8.25,0.0047,-5.0078,74.303,
-8.15,0.0047,-5.0078,74.953,
-8.0501,0.0046,-5.0077,75.131,
-7.9501,0.0045,-5.0076,75.790,
-7.85,0.0044,-5.0076,76.017,
-7.7499,0.0044,-5.0075,76.529,
-7.6499,0.0043,-5.0075,77.196,
-7.5498,0.0042,-5.0074,77.696,
-7.4499,0.0041,-5.0074,77.971,
-7.35,0.004,-5.0073,78.279,
-7.2499,0.004,-5.0073,78.859,
-7.1499,0.0039,-5.0072,79.312,
-7.0499,0.0038,-5.0072,79.627,
-6.95,0.0037,-5.0071,80.017,
-6.85,0.0037,-5.0071,80.453,
-6.7499,0.0036,-5.007,80.814,
-6.6499,0.0035,-5.007,81.214,
-6.5499,0.0034,-5.0069,81.988,
-6.45,0.0034,-5.0069,81.885,
-6.35,0.0033,-5.0068,82.476,
-6.2499,0.0032,-5.0068,82.867,
-6.1498,0.0031,-5.0067,83.187,
-6.0499,0.003,-5.0067,83.774,
-5.95,0.003,-5.0066,84.054,
-5.8499,0.0029,-5.0066,84.414,
-5.7499,0.0028,-5.0065,84.696,
-5.6499,0.0027,-5.0065,85.176,
-5.55,0.0027,-5.0064,85.693,
-5.45,0.0026,-5.0063,85.844,
-5.3499,0.0025,-5.0063,86.329,
-5.25,0.0024,-5.0062,86.710,
-5.1501,0.0024,-5.0062,87.150,
-5.05,0.0023,-5.0061,87.666,
-4.95,0.0022,-5.0061,87.814,
-4.85,0.0021,-5.006,88.043,
-4.7499,0.002,-5.006,88.549,
-4.6498,0.002,-5.0059,89.174,
-4.5499,0.0019,-5.0059,89.427,
-4.4498,0.0018,-5.0058,89.624,
-4.3499,0.0017,-5.0058,90.161,
-4.25,0.0017,-5.0057,90.534,
-4.15,0.0016,-5.0057,90.961,
-4.0499,0.0015,-5.0056,91.120,
-3.9498,0.0014,-5.0056,91.486,
-3.8499,0.0014,-5.0055,91.883,
-3.75,0.0013,-5.0055,91.948,
-3.6499,0.0012,-5.0054,92.287,
-3.5498,0.0011,-5.0054,92.855,
-3.4499,0.001,-5.0053,93.049,
-3.35,0.001,-5.0053,93.254,
-3.25,0.0009,-5.0052,93.659,
-3.1499,0.0008,-5.0052,93.994,
-3.0498,0.0007,-5.0051,94.142,
-2.9499,0.0007,-5.005,94.602,
-2.85,0.0006,-5.005,94.855,
-2.7499,0.0005,-5.0049,95.089,
-2.6499,0.0004,-5.0049,95.651,
-2.5498,0.0004,-5.0048,95.823,
-2.4499,0.0003,-5.0048,96.060,
-2.35,0.0002,-5.0047,96.190,
-2.2499,0.0001,-5.0047,96.538,
-2.1499,0,-5.0046,96.991,
