HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A1SL MR SN XMA170891
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,A1SL MR
Manufacturer,Standard Imaging
Model,A1SL MR
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.811,[pA]
Reference detector,-0.871,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-24T15:00:11.5226712-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,1.66,[cm]
Field size inline,1.66,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-1.8,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,1.8,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,36000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.002925,[cm]
Calculated field width,1.595879,[cm]
Calculated penumbra left,0.416176,[cm]
Calculated penumbra right,0.458121,[cm]
Calculated symmetry,2.750,[%]
Normalisation factor,0.119225,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-1.7498,0.0006,-5.0006,1.780,
-1.6498,0.0009,-5.0011,2.296,
-1.5499,0.0008,-5.0011,2.875,
-1.45,0.0007,-5.001,3.705,
-1.3499,0.0006,-5.001,4.881,
-1.2499,0.0006,-5.0009,6.708,
-1.1499,0.0005,-5.0008,9.833,
-1.05,0.0004,-5.0008,16.059,
-0.95,0.0003,-5.0007,26.863,
-0.8499,0.0002,-5.0007,41.773,
-0.7498,0.0002,-5.0006,58.567,
-0.6499,0.0001,-5.0006,74.069,
-0.55,0,-5.0005,85.343,
-0.45,-0.0001,-5.0005,92.676,
-0.3499,-0.0001,-5.0004,96.825,
-0.2498,-0.0002,-5.0004,98.794,
-0.1499,-0.0003,-5.0003,99.901,
-0.05,-0.0004,-5.0003,100.000,
0.05,-0.0004,-5.0002,99.753,
0.15,-0.0005,-5.0002,99.310,
0.2501,-0.0004,-5.0002,97.462,
0.3502,-0.0004,-5.0002,94.573,
0.4501,-0.0004,-5.0002,89.970,
0.55,-0.0003,-5.0002,82.134,
0.6501,-0.0003,-5.0001,70.807,
0.7502,-0.0003,-5.0001,56.684,
0.8501,-0.0003,-5.0001,41.785,
0.95,-0.0002,-5.0001,28.276,
1.0501,-0.0002,-5.0001,17.515,
1.1501,-0.0002,-5.0001,10.418,
1.25,-0.0001,-5.0001,6.288,
1.35,-0.0001,-5.0001,4.040,
1.4501,-0.0001,-5,2.843,
1.5501,0,-5,2.226,
1.65,0,-5,1.858,
1.7501,0,-5,1.613,

Checksum:,5372F88DC7F3CB32BE6E9E60122255F235F516A81F7F5292908CD7998831390C
