HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A1SL MR SN XMA170891
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,A1SL MR
Manufacturer,Standard Imaging
Model,A1SL MR
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.811,[pA]
Reference detector,-0.871,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-24T15:00:52.0711675-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,1.66,[cm]
Field size inline,1.66,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-1.8,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,1.8,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,36000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.028826,[cm]
Calculated field width,1.730832,[cm]
Calculated penumbra left,0.518208,[cm]
Calculated penumbra right,0.542263,[cm]
Calculated symmetry,0.571,[%]
Normalisation factor,0.118726,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0006,-1.7499,-4.9996,1.985,
0.0006,-1.6497,-4.9991,2.390,
0.0005,-1.5498,-4.9991,3.083,
0.0005,-1.4497,-4.9991,4.199,
0.0007,-1.3498,-4.9992,6.240,
0.0008,-1.2499,-4.9992,9.649,
0.0007,-1.1497,-4.9992,15.413,
0.0007,-1.0498,-4.9992,24.174,
0.0007,-0.9499,-4.9993,35.674,
0.0008,-0.8497,-4.9993,48.310,
0.0009,-0.7498,-4.9993,61.191,
0.0009,-0.6499,-4.9993,73.200,
0.0008,-0.5497,-4.9994,82.836,
0.0008,-0.4498,-4.9994,89.602,
0.0008,-0.3499,-4.9994,94.261,
0.0008,-0.2497,-4.9995,97.212,
0.0007,-0.1496,-4.9995,99.143,
0.0007,-0.0497,-4.9995,100.000,
0.0007,0.0502,-4.9995,99.938,
0.0006,0.1504,-4.9996,99.482,
0.0006,0.2503,-4.9996,98.190,
0.0006,0.3502,-4.9996,96.522,
0.0005,0.4504,-4.9996,92.798,
0.0005,0.5503,-4.9997,87.034,
0.0005,0.6502,-4.9997,78.684,
0.0004,0.7504,-4.9997,67.900,
0.0004,0.8503,-4.9997,55.550,
0.0004,0.9502,-4.9998,42.932,
0.0003,1.0504,-4.9998,31.537,
0.0005,1.1503,-4.9998,21.941,
0.0006,1.2501,-4.9998,14.608,
0.0006,1.3503,-4.9999,9.578,
0.0005,1.4502,-4.9999,6.260,
0.0005,1.5501,-4.9999,4.263,
0.0005,1.6503,-5,3.048,
0.0004,1.7499,-5,2.319,

Checksum:,795D83003087A27B44D3F960AD8210F82FCDB8B779C609F10ECEEA3C2BD29554
