HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A1SL MR SN XMA170891
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,A1SL MR
Manufacturer,Standard Imaging
Model,A1SL MR
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.816,[pA]
Reference detector,-0.873,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-24T16:33:32.3025728-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,19.92,[cm]
Field size inline,19.92,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-11,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,11,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,220000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.017788,[cm]
Calculated field width,19.932694,[cm]
Calculated penumbra left,3.318933,[cm]
Calculated penumbra right,3.277304,[cm]
Calculated symmetry,0.558,[%]
Normalisation factor,0.094321,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0018,-10.9506,-5.0039,7.965,
-0.0006,-10.85,-5.0077,8.600,
0.0003,-10.75,-5.0076,9.332,
0.0017,-10.6499,-5.0075,10.404,
0.0032,-10.5499,-5.0075,12.067,
0.0045,-10.4499,-5.0074,15.004,
0.0072,-10.3499,-5.0073,19.616,
0.0093,-10.2498,-5.0072,26.185,
0.009,-10.1497,-5.0071,34.337,
0.0086,-10.0497,-5.007,42.660,
0.0082,-9.9497,-5.007,49.932,
0.0081,-9.8497,-5.0069,55.864,
0.008,-9.7497,-5.0068,60.382,
0.0079,-9.6497,-5.0067,63.723,
0.0079,-9.5497,-5.0066,66.081,
0.0078,-9.4497,-5.0065,67.595,
0.0075,-9.3497,-5.0065,68.945,
0.0073,-9.2497,-5.0064,69.537,
0.0072,-9.1497,-5.0063,70.354,
0.0071,-9.0497,-5.0062,70.845,
0.0071,-8.9497,-5.0061,71.684,
0.0068,-8.8497,-5.0061,72.211,
0.0066,-8.7497,-5.006,72.787,
0.0065,-8.6496,-5.0059,73.161,
0.0063,-8.5496,-5.0058,73.813,
0.0061,-8.4495,-5.0057,74.168,
0.006,-8.3495,-5.0056,74.560,
0.006,-8.2498,-5.0056,74.889,
0.0059,-8.1501,-5.0055,75.270,
0.0058,-8.0501,-5.0054,75.818,
0.0058,-7.9501,-5.0053,76.330,
0.0057,-7.8498,-5.0052,76.567,
0.0054,-7.7495,-5.0051,77.261,
0.0052,-7.6495,-5.0051,77.502,
0.005,-7.5495,-5.005,77.826,
0.0046,-7.4495,-5.0049,78.349,
0.0044,-7.3495,-5.0048,78.630,
0.0044,-7.2495,-5.0047,79.049,
0.0043,-7.1495,-5.0047,79.433,
0.004,-7.0495,-5.0046,79.878,
0.0038,-6.9495,-5.0045,80.380,
0.0038,-6.8497,-5.0044,80.374,
0.0035,-6.75,-5.0043,81.014,
