HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.436 mm, Y=0.053 mm, Z=0.000 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A1SL MR SN XMA170891
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,A1SL MR
Manufacturer,Standard Imaging
Model,A1SL MR
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.811,[pA]
Reference detector,-0.871,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-24T14:58:15.4927397-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,0.83,[cm]
Field size inline,0.83,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Completed successfully
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-12,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,121000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,53.458,[%]
Calculated D20,N.C.,[%]
DMax,1.038378,[cm]
Normalisation factor,0.124998,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0203,0.0024,-11.95,46.750,
0.0436,0.0053,-11.85,47.137,
0.0431,0.0053,-11.75,47.339,
0.0427,0.0053,-11.65,47.748,
0.0422,0.0053,-11.55,48.021,
0.0417,0.0052,-11.45,48.294,
0.0413,0.0052,-11.35,48.704,
0.0408,0.0052,-11.25,48.983,
0.0403,0.0052,-11.15,49.412,
0.0399,0.0052,-11.05,49.720,
0.0394,0.0051,-10.95,50.051,
0.0389,0.0051,-10.85,50.492,
0.0385,0.0051,-10.75,50.731,
0.038,0.0051,-10.65,51.077,
0.0375,0.0051,-10.55,51.505,
0.0371,0.005,-10.45,51.705,
0.0368,0.005,-10.35,52.141,
0.0364,0.005,-10.25,52.506,
0.036,0.0049,-10.15,52.858,
0.0357,0.0049,-10.05,53.233,
0.0353,0.0049,-9.95,53.684,
0.035,0.0048,-9.85,53.941,
0.0346,0.0048,-9.75,54.313,
0.0343,0.0048,-9.65,54.713,
0.0339,0.0047,-9.55,55.102,
0.0335,0.0047,-9.45,55.512,
0.0332,0.0047,-9.35,56.074,
0.0328,0.0046,-9.25,56.439,
0.0325,0.0046,-9.15,56.773,
0.0321,0.0046,-9.05,57.176,
0.0318,0.0045,-8.95,57.651,
0.0314,0.0045,-8.8501,57.970,
0.031,0.0045,-8.75,58.388,
0.0307,0.0044,-8.65,58.784,
0.0303,0.0044,-8.55,59.168,
0.03,0.0043,-8.45,59.662,
0.0296,0.0043,-8.35,60.013,
0.0292,0.0043,-8.25,60.603,
0.0289,0.0042,-8.15,60.846,
0.0285,0.0042,-8.05,61.338,
0.0282,0.0042,-7.95,61.852,
0.0278,0.0041,-7.85,62.303,
0.0275,0.0041,-7.75,62.709,
0.0271,0.0041,-7.65,63.206,
0.0267,0.004,-7.55,63.590,
0.0264,0.004,-7.45,64.118,
0.026,0.004,-7.35,64.480,
0.0257,0.0039,-7.25,64.960,
0.0253,0.0039,-7.15,65.400,
0.025,0.0039,-7.05,65.682,
0.0246,0.0038,-6.95,66.404,
0.0242,0.0038,-6.85,66.815,
0.0239,0.0038,-6.75,67.295,
0.0235,0.0037,-6.65,67.935,
0.0232,0.0037,-6.55,68.248,
0.0228,0.0037,-6.45,68.788,
0.0225,0.0036,-6.35,69.195,
0.0221,0.0036,-6.25,69.893,
0.0217,0.0036,-6.15,70.350,
0.0214,0.0035,-6.05,70.614,
0.021,0.0035,-5.95,71.011,
0.0207,0.0034,-5.85,71.649,
0.0203,0.0034,-5.7501,72.070,
0.02,0.0034,-5.65,72.741,
0.0196,0.0033,-5.55,73.382,
0.0192,0.0033,-5.45,73.912,
0.0189,0.0033,-5.35,74.536,
0.0185,0.0032,-5.25,75.054,
0.0182,0.0032,-5.15,75.502,
0.0178,0.0032,-5.05,76.178,
0.0175,0.0031,-4.95,76.612,
0.0171,0.0031,-4.85,77.065,
0.0167,0.0031,-4.75,77.569,
0.0164,0.003,-4.65,78.146,
0.016,0.003,-4.55,78.758,
0.0157,0.003,-4.45,79.332,
0.0153,0.0029,-4.35,79.987,
0.015,0.0028,-4.25,80.734,
0.0146,0.0028,-4.15,81.203,
0.0143,0.0027,-4.05,81.735,
0.0139,0.0026,-3.95,82.612,
0.0136,0.0026,-3.85,83.099,
