HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A1SL MR SN XMA170891
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,A1SL MR
Manufacturer,Standard Imaging
Model,A1SL MR
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.816,[pA]
Reference detector,-0.873,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-24T16:55:08.9760629-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,24.07,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-13,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,13,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,260000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-5.934158,[cm]
Calculated field width,11.868317,[cm]
Calculated penumbra left,5.173136,[cm]
Calculated penumbra right,7.380934,[cm]
Calculated symmetry,8.142,[%]
Normalisation factor,0.093288,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0015,-12.9502,-5.0055,7.786,
-0.0005,-12.8496,-5.011,8.270,
0.0015,-12.7495,-5.011,8.750,
0.0056,-12.6495,-5.0109,9.640,
0.0082,-12.5495,-5.0108,11.008,
0.0083,-12.4495,-5.0107,13.527,
0.0082,-12.3495,-5.0106,17.683,
0.0083,-12.2495,-5.0106,23.622,
0.0084,-12.1497,-5.0105,30.574,
0.0083,-12.05,-5.0104,37.787,
0.0083,-11.95,-5.0103,45.058,
0.0082,-11.85,-5.0102,51.108,
0.0081,-11.75,-5.0101,55.667,
0.008,-11.65,-5.0101,58.825,
0.008,-11.55,-5.01,61.118,
0.0079,-11.45,-5.0099,62.569,
0.0078,-11.35,-5.0098,63.318,
0.0078,-11.25,-5.0097,64.301,
0.0077,-11.15,-5.0097,64.797,
0.0076,-11.05,-5.0096,65.317,
0.0076,-10.95,-5.0095,65.809,
0.0075,-10.85,-5.0094,66.309,
0.0075,-10.75,-5.0093,66.753,
0.0076,-10.6499,-5.0092,67.097,
0.0076,-10.5499,-5.0092,67.623,
0.0075,-10.4499,-5.0091,68.209,
0.0074,-10.3499,-5.009,68.556,
0.0074,-10.2498,-5.0089,68.902,
0.0073,-10.1497,-5.0088,69.310,
0.0072,-10.0497,-5.0087,69.657,
0.0072,-9.9497,-5.0087,69.913,
0.0072,-9.8497,-5.0086,70.203,
0.0073,-9.7497,-5.0085,70.593,
0.0073,-9.6497,-5.0084,70.951,
0.0072,-9.5497,-5.0083,71.339,
0.0071,-9.4497,-5.0082,71.874,
0.0068,-9.3497,-5.0082,72.079,
0.0067,-9.2497,-5.0081,72.329,
0.0064,-9.1497,-5.008,72.972,
0.0062,-9.0497,-5.0079,73.387,
0.0062,-8.9497,-5.0078,73.741,
0.0061,-8.8497,-5.0078,74.007,
0.006,-8.7497,-5.0077,74.504,
0.006,-8.6496,-5.0076,74.956,
0.0059,-8.5496,-5.0075,75.028,
0.0058,-8.4495,-5.0074,75.359,
0.0057,-8.3495,-5.0073,75.972,
0.0057,-8.2495,-5.0073,76.323,
0.0056,-8.1495,-5.0072,76.519,
0.0055,-8.0495,-5.0071,76.979,
0.0053,-7.9495,-5.007,77.194,
0.0051,-7.8495,-5.0069,77.701,
0.005,-7.7495,-5.0068,78.003,
0.0048,-7.6495,-5.0068,78.452,
0.0046,-7.5495,-5.0067,78.964,
0.0045,-7.4495,-5.0066,79.128,
0.0044,-7.3495,-5.0065,79.454,
0.0044,-7.2495,-5.0064,79.602,
0.0043,-7.1495,-5.0064,79.922,
0.0042,-7.0495,-5.0063,80.561,
0.0042,-6.9495,-5.0062,81.111,
0.0041,-6.8497,-5.0061,81.444,
0.004,-6.75,-5.006,81.581,
0.004,-6.6499,-5.0059,82.191,
0.0039,-6.5499,-5.0059,82.336,
0.0038,-6.4499,-5.0058,82.767,
0.0037,-6.3499,-5.0057,83.158,
0.0037,-6.2499,-5.0056,83.621,
0.0036,-6.1499,-5.0055,84.093,
0.0033,-6.0499,-5.0054,84.349,
0.0032,-5.9499,-5.0054,84.670,
0.0031,-5.8499,-5.0053,84.989,
0.003,-5.7499,-5.0052,85.364,
0.0027,-5.6499,-5.0051,85.677,
0.0025,-5.5499,-5.005,85.974,
0.0026,-5.4499,-5.005,86.425,
0.0028,-5.3497,-5.005,86.714,
