HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A1SL MR SN XMA170891
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,A1SL MR
Manufacturer,Standard Imaging
Model,A1SL MR
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.811,[pA]
Reference detector,-0.871,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-24T16:13:23.5572609-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,14.94,[cm]
Field size inline,14.94,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-8.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,8.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,170000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.018407,[cm]
Calculated field width,14.721201,[cm]
Calculated penumbra left,1.357205,[cm]
Calculated penumbra right,1.356101,[cm]
Calculated symmetry,0.898,[%]
Normalisation factor,0.095659,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-8.4515,0.0019,-5.0027,6.651,
-8.3499,0.0038,-5.0054,7.172,
-8.25,0.0041,-5.0053,7.679,
-8.1499,0.0041,-5.0053,8.360,
-8.0498,0.004,-5.0052,9.187,
-7.9499,0.0039,-5.0052,10.330,
-7.85,0.0038,-5.0051,12.141,
-7.7499,0.0038,-5.005,15.181,
-7.6499,0.0037,-5.005,20.564,
-7.5498,0.0036,-5.0049,28.655,
-7.4499,0.0035,-5.0049,38.766,
-7.35,0.0034,-5.0048,49.269,
-7.2499,0.0034,-5.0048,58.648,
-7.1499,0.0033,-5.0047,65.432,
-7.0499,0.0032,-5.0047,69.764,
-6.95,0.0031,-5.0046,72.826,
-6.85,0.0031,-5.0046,74.883,
-6.7499,0.003,-5.0045,76.218,
-6.6499,0.0029,-5.0045,77.298,
-6.5499,0.0028,-5.0044,78.336,
-6.45,0.0028,-5.0044,78.843,
-6.35,0.0027,-5.0043,79.642,
-6.2499,0.0026,-5.0043,80.407,
-6.1498,0.0025,-5.0042,80.852,
-6.0499,0.0024,-5.0042,81.425,
-5.95,0.0024,-5.0041,81.960,
-5.8499,0.0023,-5.0041,82.618,
-5.7499,0.0022,-5.004,83.104,
-5.6499,0.0021,-5.004,83.544,
-5.55,0.0021,-5.0039,84.022,
-5.45,0.002,-5.0039,84.621,
-5.3499,0.0019,-5.0038,85.071,
-5.2498,0.0018,-5.0038,85.280,
-5.1499,0.0018,-5.0037,85.836,
-5.05,0.0017,-5.0037,86.260,
-4.95,0.0016,-5.0036,86.573,
-4.8499,0.0015,-5.0036,87.132,
-4.7498,0.0014,-5.0035,87.557,
-4.6498,0.0014,-5.0035,87.936,
-4.5499,0.0013,-5.0034,88.398,
-4.4498,0.0012,-5.0033,88.577,
-4.3499,0.0011,-5.0033,89.369,
-4.25,0.0011,-5.0032,89.818,
-4.15,0.001,-5.0032,89.995,
-4.0499,0.0009,-5.0031,90.504,
-3.9498,0.0008,-5.0031,91.005,
-3.8499,0.0008,-5.003,91.039,
-3.75,0.0007,-5.003,91.511,
-3.6499,0.0006,-5.0029,91.900,
-3.5498,0.0005,-5.0029,92.190,
-3.4499,0.0004,-5.0028,92.777,
-3.35,0.0004,-5.0028,92.902,
-3.25,0.0003,-5.0027,93.363,
-3.1499,0.0002,-5.0027,93.801,
-3.0498,0.0001,-5.0026,93.800,
-2.9499,0.0001,-5.0026,94.327,
-2.85,0,-5.0025,94.739,
-2.7499,-0.0001,-5.0025,95.191,
-2.6499,-0.0002,-5.0024,95.330,
-2.5498,-0.0002,-5.0024,95.732,
-2.4499,-0.0003,-5.0023,95.605,
-2.35,-0.0004,-5.0023,96.074,
-2.2499,-0.0005,-5.0022,96.497,
-2.1499,-0.0006,-5.0022,96.561,
-2.0499,-0.0006,-5.0021,96.929,
-1.95,-0.0007,-5.0021,97.221,
-1.85,-0.0008,-5.002,97.666,
-1.7499,-0.0009,-5.002,97.512,
-1.6498,-0.0009,-5.0019,98.105,
-1.5499,-0.001,-5.0019,98.140,
-1.45,-0.0011,-5.0018,98.156,
-1.3499,-0.0012,-5.0018,98.538,
-1.2499,-0.0012,-5.0017,98.668,
-1.1499,-0.0013,-5.0016,98.966,
-1.05,-0.0014,-5.0016,99.194,
-0.95,-0.0015,-5.0015,99.226,
-0.8499,-0.0016,-5.0015,99.289,
-0.7498,-0.0016,-5.0014,99.456,
-0.6499,-0.0017,-5.0014,99.503,
-0.55,-0.0018,-5.0013,99.871,
-0.45,-0.0019,-5.0013,99.518,
-0.3499,-0.0019,-5.0012,99.895,
-0.2498,-0.002,-5.0012,100.000,
-0.1499,-0.0021,-5.0011,99.571,
-0.05,-0.0022,-5.0011,99.452,
0.05,-0.0022,-5.001,99.542,
0.15,-0.0023,-5.001,99.583,
0.2501,-0.0022,-5.001,99.570,
0.3502,-0.0022,-5.001,99.243,
0.4501,-0.0022,-5.001,99.199,
0.55,-0.0021,-5.001,99.164,
0.6501,-0.0021,-5.0009,98.643,
0.7502,-0.0021,-5.0009,99.049,
