HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A1SL MR SN XMA170891
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,A1SL MR
Manufacturer,Standard Imaging
Model,A1SL MR
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.811,[pA]
Reference detector,-0.871,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-24T15:19:15.8943105-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,3.32,[cm]
Field size inline,3.32,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,100000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.001620,[cm]
Calculated field width,3.252885,[cm]
Calculated penumbra left,0.450243,[cm]
Calculated penumbra right,0.513138,[cm]
Calculated symmetry,3.229,[%]
Normalisation factor,0.108704,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-4.9504,0.0012,-5.0017,0.701,
-4.8499,0.0023,-5.0032,0.736,
-4.7498,0.0026,-5.0031,0.768,
-4.6498,0.0026,-5.0031,0.798,
-4.5499,0.0025,-5.003,0.834,
-4.4498,0.0024,-5.0029,0.877,
-4.3499,0.0023,-5.0029,0.907,
-4.25,0.0023,-5.0028,0.956,
-4.15,0.0022,-5.0028,0.995,
-4.0499,0.0021,-5.0027,1.067,
-3.9498,0.002,-5.0027,1.120,
-3.8499,0.002,-5.0026,1.175,
-3.75,0.0019,-5.0026,1.238,
-3.6499,0.0018,-5.0025,1.300,
-3.5498,0.0017,-5.0025,1.395,
-3.4499,0.0016,-5.0024,1.483,
-3.35,0.0016,-5.0024,1.577,
-3.25,0.0015,-5.0023,1.698,
-3.1499,0.0014,-5.0023,1.849,
-3.0498,0.0013,-5.0022,1.979,
-2.9499,0.0013,-5.0022,2.163,
-2.85,0.0012,-5.0021,2.396,
-2.7499,0.0011,-5.0021,2.667,
-2.6499,0.001,-5.002,3.033,
-2.5498,0.001,-5.002,3.477,
-2.4499,0.0009,-5.0019,4.079,
-2.35,0.0008,-5.0019,4.825,
-2.2499,0.0007,-5.0018,5.846,
-2.15,0.0006,-5.0018,7.267,
-2.0501,0.0006,-5.0017,9.429,
-1.95,0.0005,-5.0017,13.234,
-1.85,0.0004,-5.0016,20.378,
-1.7499,0.0003,-5.0016,31.898,
-1.6498,0.0003,-5.0015,46.619,
-1.5499,0.0002,-5.0015,62.157,
-1.45,0.0001,-5.0014,75.800,
-1.3499,0,-5.0014,85.152,
-1.2499,0,-5.0013,91.059,
-1.1499,-0.0001,-5.0012,94.343,
-1.05,-0.0002,-5.0012,96.369,
-0.95,-0.0003,-5.0011,97.467,
-0.8499,-0.0004,-5.0011,98.307,
-0.7498,-0.0004,-5.001,98.986,
-0.6499,-0.0005,-5.001,99.489,
-0.55,-0.0006,-5.0009,99.438,
-0.45,-0.0007,-5.0009,99.628,
-0.3499,-0.0007,-5.0008,99.700,
-0.2498,-0.0008,-5.0008,99.692,
-0.1499,-0.0009,-5.0007,99.561,
-0.05,-0.001,-5.0007,100.000,
0.05,-0.001,-5.0006,99.795,
0.15,-0.0011,-5.0006,99.527,
0.2501,-0.001,-5.0006,99.466,
0.3502,-0.001,-5.0006,99.278,
0.4501,-0.001,-5.0006,99.155,
0.55,-0.0009,-5.0006,98.486,
0.65,-0.0009,-5.0005,98.234,
0.7499,-0.0009,-5.0005,97.306,
0.8499,-0.0009,-5.0005,96.992,
0.95,-0.0008,-5.0005,95.692,
1.0501,-0.0008,-5.0005,94.330,
1.1501,-0.0008,-5.0005,91.974,
1.25,-0.0007,-5.0005,87.874,
1.35,-0.0007,-5.0005,81.717,
1.4501,-0.0007,-5.0004,72.580,
1.5501,-0.0006,-5.0004,60.197,
1.65,-0.0006,-5.0004,46.564,
1.7501,-0.0006,-5.0004,33.364,
1.8501,-0.0005,-5.0004,22.509,
1.9501,-0.0005,-5.0004,14.632,
2.05,-0.0005,-5.0004,9.675,
2.1501,-0.0005,-5.0004,6.742,
2.2501,-0.0004,-5.0003,5.118,
2.3501,-0.0004,-5.0003,4.209,
2.45,-0.0004,-5.0003,3.673,
2.5501,-0.0003,-5.0003,3.299,
2.6502,-0.0003,-5.0003,3.005,
2.7501,-0.0003,-5.0003,2.741,
2.85,-0.0002,-5.0003,2.530,
