HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A28MR Field Detector SN XMC213190
Project run number,13
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMC213190
Manufacturer,Standard Imaging
Model,A28MR Field
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.841,[pA]
Reference detector,-0.876,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-18T18:06:49.2977059-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,14.94,[cm]
Field size inline,14.94,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-8.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,8.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,170000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.017475,[cm]
Calculated field width,14.685417,[cm]
Calculated penumbra left,1.473458,[cm]
Calculated penumbra right,1.454306,[cm]
Calculated symmetry,0.961,[%]
Normalisation factor,0.017706,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-8.4518,0.0014,-5.0026,6.771,
-8.3499,0.0031,-5.0053,7.360,
-8.25,0.0036,-5.0052,7.947,
-8.15,0.0036,-5.0052,8.665,
-8.0499,0.0035,-5.0051,9.709,
-7.9499,0.0034,-5.0051,11.113,
-7.85,0.0033,-5.005,13.429,
-7.75,0.0033,-5.005,17.421,
-7.6499,0.0032,-5.0049,23.437,
-7.5498,0.0031,-5.0049,31.016,
-7.4499,0.003,-5.0048,39.309,
-7.35,0.0029,-5.0048,48.024,
-7.25,0.0029,-5.0047,56.002,
-7.1499,0.0028,-5.0047,63.110,
-7.0498,0.0027,-5.0046,68.301,
-6.9499,0.0026,-5.0046,71.948,
-6.85,0.0026,-5.0045,73.707,
-6.75,0.0025,-5.0045,75.647,
-6.6499,0.0024,-5.0044,76.705,
-6.5498,0.0023,-5.0044,77.686,
-6.4499,0.0023,-5.0043,78.449,
-6.35,0.0022,-5.0043,79.357,
-6.2499,0.0021,-5.0042,79.827,
-6.1498,0.002,-5.0042,80.890,
-6.0499,0.002,-5.0041,81.276,
-5.95,0.0019,-5.0041,81.740,
-5.8499,0.0018,-5.004,82.168,
-5.7499,0.0017,-5.004,82.653,
-5.6498,0.0017,-5.0039,83.426,
-5.5499,0.0016,-5.0039,83.935,
-5.45,0.0015,-5.0038,84.287,
-5.3499,0.0014,-5.0038,84.765,
-5.2499,0.0013,-5.0037,85.430,
-5.1499,0.0013,-5.0037,85.975,
-5.05,0.0012,-5.0036,85.858,
-4.95,0.0011,-5.0036,86.407,
-4.8499,0.001,-5.0035,86.905,
-4.7499,0.001,-5.0035,87.121,
-4.6498,0.0009,-5.0034,88.005,
-4.5499,0.0008,-5.0034,88.180,
-4.4499,0.0007,-5.0033,88.866,
-4.3498,0.0007,-5.0033,89.257,
-4.2499,0.0006,-5.0032,89.240,
-4.15,0.0005,-5.0032,89.840,
