HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A28MR Field Detector SN XMC213190
Project run number,12
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMC213190
Manufacturer,Standard Imaging
Model,A28MR Field
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.842,[pA]
Reference detector,-0.875,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-18T17:48:23.8159759-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,19.92,[cm]
Field size inline,19.92,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-11,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,11,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,220000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.027396,[cm]
Calculated field width,19.907008,[cm]
Calculated penumbra left,3.402076,[cm]
Calculated penumbra right,3.290852,[cm]
Calculated symmetry,0.739,[%]
Normalisation factor,0.017515,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0009,-10.9502,-5.0038,8.294,
0.0001,-10.8499,-5.0077,8.985,
0.0006,-10.7499,-5.0076,9.974,
0.0015,-10.6499,-5.0075,11.586,
0.0026,-10.5499,-5.0074,13.892,
0.0035,-10.4498,-5.0074,17.495,
0.0046,-10.3498,-5.0073,22.542,
0.0056,-10.2498,-5.0072,28.821,
0.0063,-10.1497,-5.0071,35.805,
0.0067,-10.0497,-5.007,42.678,
0.007,-9.9497,-5.0069,48.714,
0.0071,-9.8497,-5.0069,54.166,
0.007,-9.7497,-5.0068,58.695,
0.0069,-9.6496,-5.0067,61.962,
0.0069,-9.5496,-5.0066,64.439,
0.0068,-9.4496,-5.0065,66.614,
0.0067,-9.3496,-5.0065,68.009,
0.0067,-9.2496,-5.0064,69.363,
0.0064,-9.1496,-5.0063,70.554,
0.0062,-9.0496,-5.0062,70.849,
0.0061,-8.9496,-5.0061,71.813,
0.0061,-8.8495,-5.006,71.915,
0.006,-8.7495,-5.006,72.453,
0.0059,-8.6495,-5.0059,72.882,
0.0059,-8.5495,-5.0058,74.066,
0.0058,-8.4495,-5.0057,74.132,
0.0057,-8.3495,-5.0056,74.344,
0.0058,-8.2498,-5.0055,74.971,
0.0059,-8.1501,-5.0055,75.244,
0.0058,-8.0501,-5.0054,75.963,
0.0057,-7.9501,-5.0053,76.215,
0.0057,-7.8498,-5.0052,76.865,
0.0056,-7.7497,-5.0051,77.283,
0.0055,-7.65,-5.0051,77.881,
0.0053,-7.55,-5.005,78.158,
0.0051,-7.45,-5.0049,78.259,
0.005,-7.35,-5.0048,78.618,
0.0049,-7.2499,-5.0047,79.128,
0.0049,-7.1499,-5.0046,79.394,
0.0048,-7.0499,-5.0046,79.637,
0.0047,-6.9499,-5.0045,80.338,
0.0047,-6.8499,-5.0044,80.443,
0.0046,-6.7499,-5.0043,81.299,
0.0045,-6.6499,-5.0042,81.699,
0.0045,-6.5499,-5.0042,81.921,
0.0042,-6.4499,-5.0041,82.468,
0.004,-6.3499,-5.004,82.585,
0.0039,-6.2499,-5.0039,82.911,
0.0037,-6.1499,-5.0038,83.171,
0.0035,-6.0499,-5.0037,83.730,
0.0034,-5.9499,-5.0037,84.390,
0.0034,-5.8499,-5.0036,84.534,
0.0031,-5.7498,-5.0035,84.812,
0.0029,-5.6498,-5.0034,85.333,
0.0028,-5.5497,-5.0033,85.667,
0.0026,-5.4497,-5.0033,85.920,
0.0025,-5.3498,-5.0033,86.535,
0.0024,-5.2499,-5.0034,86.924,
0.0024,-5.1497,-5.0034,87.184,
0.0024,-5.0498,-5.0034,87.752,
0.0023,-4.9499,-5.0034,88.521,
0.0023,-4.8498,-5.0035,88.479,
0.0021,-4.7496,-5.0035,88.777,
0.0018,-4.6497,-5.0035,89.047,
0.0018,-4.5498,-5.0035,89.816,
0.0016,-4.4496,-5.0036,89.813,
0.0014,-4.3497,-5.0036,90.129,
0.0014,-4.2498,-5.0036,90.717,
0.0014,-4.1497,-5.0037,90.661,
0.0014,-4.0498,-5.0037,91.512,
0.0013,-3.9499,-5.0037,91.668,
0.0013,-3.8497,-5.0037,91.993,
0.0013,-3.7498,-5.0038,92.091,
0.0012,-3.6499,-5.0038,92.636,
0.0012,-3.5498,-5.0038,92.854,
0.0013,-3.4496,-5.0039,93.363,
0.0014,-3.3497,-5.0039,93.685,
0.0014,-3.2498,-5.0039,93.829,
0.0014,-3.1496,-5.0039,94.174,
0.0015,-3.0497,-5.004,94.417,
0.0017,-2.9498,-5.004,94.741,
0.0016,-2.8497,-5.004,94.762,
0.0016,-2.7498,-5.004,95.518,
0.0016,-2.6499,-5.0041,95.487,
0.0015,-2.5497,-5.0041,95.970,
0.0015,-2.4498,-5.0041,95.875,
0.0015,-2.3499,-5.0042,97.004,
0.0016,-2.2497,-5.0042,96.097,
0.0017,-2.1496,-5.0042,96.761,
0.0017,-2.0497,-5.0042,96.872,
0.0017,-1.9498,-5.0043,97.240,
0.0016,-1.8496,-5.0043,97.505,
0.0019,-1.7497,-5.0043,97.972,
0.0026,-1.6498,-5.0043,97.994,
0.0033,-1.5496,-5.0044,97.940,
0.0034,-1.4497,-5.0044,98.378,
0.0034,-1.3499,-5.0044,98.404,
0.0033,-1.2497,-5.0045,98.314,
0.0031,-1.1498,-5.0045,99.052,
0.0029,-1.0499,-5.0045,99.325,
0.0027,-0.9497,-5.0045,98.727,
0.0025,-0.8498,-5.0046,99.449,
0.0025,-0.7499,-5.0046,99.161,
0.0025,-0.6497,-5.0046,99.460,
0.0025,-0.5498,-5.0046,99.610,
0.0022,-0.4499,-5.0047,99.543,
0.0021,-0.3497,-5.0047,99.698,
0.0021,-0.2498,-5.0047,99.428,
0.002,-0.15,-5.0048,99.597,
0.002,-0.0498,-5.0048,99.843,
0.002,0.0504,-5.0048,99.826,
0.0019,0.1503,-5.0048,100.000,
0.0017,0.2502,-5.0049,99.661,
0.0016,0.3504,-5.0049,99.408,
0.0015,0.4503,-5.0049,99.608,
0.0015,0.5501,-5.005,99.561,
