HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.436 mm, Y=0.050 mm, Z=0.000 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A28MR Field Detector SN XMC213190
Project run number,4
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMC213190
Manufacturer,Standard Imaging
Model,A28MR Field
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.831,[pA]
Reference detector,-0.88,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-17T15:22:24.2075068-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Completed successfully
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-12,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,121000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,62.459,[%]
Calculated D20,N.C.,[%]
DMax,0.098421,[cm]
Normalisation factor,0.017804,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.021,0.0023,-11.95,55.327,
0.0436,0.005,-11.85,55.871,
0.0435,0.005,-11.75,56.076,
0.043,0.005,-11.65,56.393,
0.0426,0.005,-11.55,56.772,
0.0421,0.005,-11.45,57.113,
0.0414,0.0049,-11.35,57.483,
0.0409,0.0049,-11.25,57.711,
0.0404,0.0049,-11.15,58.256,
0.0399,0.0049,-11.05,58.547,
0.0395,0.0049,-10.95,58.864,
0.039,0.0048,-10.85,59.277,
0.0385,0.0048,-10.75,59.501,
0.0381,0.0048,-10.65,59.918,
0.0376,0.0048,-10.55,60.294,
0.0372,0.0048,-10.45,60.803,
0.0368,0.0047,-10.35,61.092,
0.0364,0.0047,-10.25,61.464,
0.0361,0.0047,-10.15,61.854,
0.0357,0.0046,-10.05,62.263,
0.0354,0.0046,-9.95,62.654,
0.035,0.0045,-9.85,63.215,
0.0347,0.0045,-9.75,63.495,
0.0343,0.0045,-9.65,63.877,
0.0339,0.0044,-9.55,64.179,
0.0336,0.0044,-9.45,64.634,
0.0332,0.0044,-9.35,65.027,
0.0329,0.0043,-9.25,65.319,
0.0325,0.0043,-9.15,65.805,
0.0321,0.0043,-9.05,66.169,
0.0318,0.0042,-8.95,66.706,
0.0314,0.0042,-8.8501,66.946,
0.0311,0.0042,-8.75,67.233,
0.0307,0.0041,-8.65,67.779,
0.0304,0.0041,-8.55,68.195,
0.03,0.0041,-8.45,68.500,
0.0296,0.004,-8.35,69.115,
0.0293,0.004,-8.25,69.516,
0.0289,0.004,-8.15,69.966,
0.0286,0.0039,-8.05,70.262,
0.0282,0.0039,-7.95,70.762,
0.0278,0.0039,-7.85,71.043,
0.0275,0.0038,-7.75,71.576,
0.0271,0.0038,-7.65,72.060,
0.0268,0.0038,-7.55,72.418,
0.0264,0.0037,-7.45,72.817,
0.0261,0.0037,-7.35,73.179,
0.0257,0.0037,-7.25,73.793,
0.0253,0.0036,-7.15,74.095,
