HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A28MR Field Detector SN XMC213190
Project run number,4
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMC213190
Manufacturer,Standard Imaging
Model,A28MR Field
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.831,[pA]
Reference detector,-0.88,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-17T15:02:18.2113784-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-6,[cm]
Start Y,0,[cm]
Start Z,-1.5,[cm]
Stop X,6,[cm]
Stop Y,0,[cm]
Stop Z,-1.5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,120000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.028913,[cm]
Calculated field width,9.418911,[cm]
Calculated penumbra left,0.648763,[cm]
Calculated penumbra right,0.705284,[cm]
Calculated symmetry,1.777,[%]
Normalisation factor,0.017736,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-5.9499,0.0018,-1.5017,3.192,
-5.8499,0.0035,-1.5034,3.512,
-5.7499,0.0035,-1.5034,3.868,
-5.6498,0.0034,-1.5034,4.304,
-5.5499,0.0033,-1.5033,4.909,
-5.45,0.0032,-1.5033,5.781,
-5.35,0.0031,-1.5032,6.985,
-5.25,0.0031,-1.5032,8.820,
-5.1499,0.003,-1.5031,12.171,
-5.0499,0.0029,-1.5031,18.238,
-4.9499,0.0028,-1.5031,27.418,
-4.8498,0.0028,-1.503,37.855,
-4.7498,0.0027,-1.503,48.788,
-4.6498,0.0026,-1.5029,59.388,
-4.5499,0.0025,-1.5029,69.125,
-4.4499,0.0024,-1.5028,76.431,
-4.3498,0.0024,-1.5028,81.688,
-4.2498,0.0023,-1.5028,84.004,
-4.1498,0.0022,-1.5027,86.000,
-4.0499,0.0021,-1.5027,87.223,
-3.95,0.0021,-1.5026,88.342,
-3.85,0.002,-1.5026,88.779,
-3.75,0.0019,-1.5025,89.578,
-3.6499,0.0018,-1.5025,90.029,
-3.5499,0.0017,-1.5025,90.500,
-3.4498,0.0017,-1.5024,91.164,
-3.3498,0.0016,-1.5024,91.623,
-3.2499,0.0015,-1.5023,91.982,
-3.15,0.0014,-1.5023,92.643,
-3.05,0.0014,-1.5022,92.831,
-2.95,0.0013,-1.5022,93.462,
-2.8499,0.0012,-1.5021,93.771,
-2.7499,0.0011,-1.5021,94.091,
-2.6498,0.0013,-1.5021,94.285,
-2.5498,0.0012,-1.502,94.605,
-2.4499,0.0009,-1.502,95.502,
-2.35,0.0008,-1.5019,95.077,
-2.25,0.0007,-1.5019,96.226,
-2.15,0.0007,-1.5018,96.094,
-2.0499,0.0006,-1.5018,96.335,
-1.9499,0.0005,-1.5018,96.284,
-1.8499,0.0004,-1.5017,97.115,
-1.7498,0.0004,-1.5017,97.252,
