HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A28MR Field Detector SN XMC213190
Project run number,4
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMC213190
Manufacturer,Standard Imaging
Model,A28MR Field
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.831,[pA]
Reference detector,-0.88,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-17T15:08:28.4435023-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-6,[cm]
Start Z,-1.5,[cm]
Stop X,0,[cm]
Stop Y,6,[cm]
Stop Z,-1.5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,120000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.012414,[cm]
Calculated field width,9.644320,[cm]
Calculated penumbra left,0.810281,[cm]
Calculated penumbra right,0.779533,[cm]
Calculated symmetry,2.234,[%]
Normalisation factor,0.017843,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0016,-5.9501,-1.4998,3.788,
0.0022,-5.8495,-1.4995,4.075,
0.0023,-5.7495,-1.4994,4.469,
0.0022,-5.6495,-1.4994,5.047,
0.0021,-5.5495,-1.4993,5.988,
0.0022,-5.4498,-1.4993,7.593,
0.0024,-5.3499,-1.4993,10.397,
0.0024,-5.2497,-1.4993,15.081,
0.0023,-5.1498,-1.4994,21.863,
0.0023,-5.0499,-1.4994,29.934,
0.0022,-4.9497,-1.4994,39.192,
0.0022,-4.8498,-1.4994,48.639,
0.0022,-4.7499,-1.4995,57.570,
0.0021,-4.6497,-1.4995,65.598,
0.0021,-4.5498,-1.4995,71.910,
0.002,-4.4499,-1.4995,77.211,
0.002,-4.3497,-1.4996,80.581,
0.002,-4.2496,-1.4996,83.526,
0.0017,-4.1497,-1.4996,85.503,
0.0015,-4.0498,-1.4996,86.891,
0.0014,-3.9496,-1.4997,87.920,
0.0014,-3.8497,-1.4997,88.939,
0.0014,-3.7498,-1.4997,89.013,
0.0015,-3.6496,-1.4998,90.084,
0.0017,-3.5497,-1.4998,90.715,
0.0016,-3.4499,-1.4998,91.252,
0.0018,-3.3497,-1.4998,92.063,
0.0019,-3.2498,-1.4999,91.891,
0.0018,-3.1499,-1.4999,92.468,
0.0019,-3.0497,-1.4999,93.206,
0.002,-2.9498,-1.4999,93.390,
0.002,-2.8499,-1.5,93.445,
0.002,-2.7497,-1.5,93.869,
0.0019,-2.6498,-1.5,94.697,
0.0019,-2.5499,-1.5,94.478,
0.0018,-2.4498,-1.5001,95.037,
0.0018,-2.3496,-1.5001,95.290,
0.0018,-2.2497,-1.5001,95.739,
0.0017,-2.1498,-1.5002,95.850,
0.0018,-2.0496,-1.5002,96.181,
0.0019,-1.9497,-1.5002,96.641,
0.0019,-1.8498,-1.5002,96.623,
0.002,-1.7496,-1.5003,97.240,
