HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A28MR Field Detector SN XMC213190
Project run number,14
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMC213190
Manufacturer,Standard Imaging
Model,A28MR Field
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.846,[pA]
Reference detector,-0.88,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-18T18:30:04.3720530-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,4.98,[cm]
Field size inline,4.98,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-3.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,3.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,70000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.007933,[cm]
Calculated field width,4.928200,[cm]
Calculated penumbra left,0.574147,[cm]
Calculated penumbra right,0.633311,[cm]
Calculated symmetry,2.283,[%]
Normalisation factor,0.019361,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-3.4501,0.0002,-5.0011,4.313,
-3.35,0.0005,-5.0022,5.023,
-3.25,0.0006,-5.0021,5.808,
-3.1499,0.0009,-5.0021,6.819,
-3.0499,0.0009,-5.002,8.272,
-2.9499,0.0008,-5.002,10.385,
-2.85,0.0007,-5.0019,14.060,
-2.75,0.0006,-5.0019,20.285,
-2.6499,0.0006,-5.0018,29.501,
-2.5498,0.0005,-5.0018,40.500,
-2.4499,0.0004,-5.0017,52.704,
-2.35,0.0003,-5.0017,63.943,
-2.25,0.0003,-5.0016,74.107,
-2.1499,0.0002,-5.0016,82.586,
-2.0498,0.0001,-5.0015,87.614,
-1.9499,0,-5.0015,91.295,
-1.85,0,-5.0014,93.221,
-1.7499,-0.0001,-5.0013,94.651,
-1.6498,-0.0002,-5.0013,95.269,
-1.5499,-0.0003,-5.0012,96.227,
-1.45,-0.0004,-5.0012,96.358,
-1.35,-0.0004,-5.0011,97.465,
-1.2499,-0.0005,-5.0011,97.549,
-1.1498,-0.0006,-5.001,97.792,
-1.0499,-0.0007,-5.001,97.890,
-0.95,-0.0007,-5.0009,98.865,
-0.8499,-0.0008,-5.0009,99.244,
-0.7499,-0.0009,-5.0008,99.229,
-0.6498,-0.001,-5.0008,99.077,
-0.5499,-0.001,-5.0007,99.065,
-0.45,-0.0011,-5.0007,99.764,
-0.3499,-0.0012,-5.0006,99.676,
-0.2499,-0.0013,-5.0006,99.323,
-0.1499,-0.0013,-5.0005,100.000,
-0.05,-0.0014,-5.0005,99.453,
0.0501,-0.0015,-5.0004,99.473,
0.15,-0.0015,-5.0004,99.360,
0.2501,-0.0015,-5.0004,99.556,
0.3501,-0.0015,-5.0003,99.320,
0.45,-0.0015,-5.0003,99.127,
0.55,-0.0014,-5.0003,99.628,
0.6501,-0.0014,-5.0003,98.972,
0.7501,-0.0014,-5.0003,98.429,
0.85,-0.0013,-5.0003,98.533,
0.9501,-0.0013,-5.0003,97.978,
1.0501,-0.0013,-5.0003,97.928,
1.1501,-0.0012,-5.0003,97.725,
1.25,-0.0012,-5.0002,96.818,
1.3501,-0.0012,-5.0002,96.657,
1.4501,-0.0011,-5.0002,95.816,
1.5501,-0.0011,-5.0002,95.215,
1.65,-0.0011,-5.0002,94.428,
1.7501,-0.001,-5.0002,93.535,
1.8502,-0.001,-5.0002,91.446,
1.9501,-0.001,-5.0002,88.876,
2.05,-0.001,-5.0002,85.300,
2.1501,-0.0009,-5.0001,79.348,
2.2502,-0.0009,-5.0001,71.151,
2.3501,-0.0009,-5.0001,61.649,
2.45,-0.0008,-5.0001,50.670,
2.5501,-0.0008,-5.0001,39.797,
2.6501,-0.0008,-5.0001,29.699,
2.75,-0.0007,-5.0001,21.436,
2.85,-0.0007,-5.0001,15.041,
2.9501,-0.0007,-5,10.664,
3.0501,-0.0006,-5,8.053,
3.15,-0.0006,-5,6.409,
3.2501,-0.0006,-5,5.459,
3.3502,-0.0005,-5,4.846,
3.4501,-0.0005,-5,4.416,

Checksum:,C1C2633C7D210684ABDC93540BC5ACA5BFA82A025793350DFAD5D8C1739D0566
