HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A28MR Field Detector SN XMC213190
Project run number,6
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMC213190
Manufacturer,Standard Imaging
Model,A28MR Field
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.819,[pA]
Reference detector,-0.877,[pA]

Profile settings:
Measurement mode,StepByStep
Creation time,2022-12-17T21:11:22.2465395-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,0.83,[cm]
Field size inline,0.83,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-1,[cm]
Start Y,0,[cm]
Start Z,-10,[cm]
Stop X,1,[cm]
Stop Y,0,[cm]
Stop Z,-10,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,20000,[µm]
Step size,100,[µm]
Speed,0,[µm/s]
Integration time,1300,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.015168,[cm]
Calculated field width,0.923807,[cm]
Calculated penumbra left,0.417809,[cm]
Calculated penumbra right,0.453377,[cm]
Calculated symmetry,1.870,[%]
Normalisation factor,0.056237,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-1.0004,-0.0003,-10.0002,4.347,
-0.9897,-0.0004,-10.0001,4.534,
-0.9793,-0.0004,-10.0001,4.718,
-0.9705,-0.0004,-10.0001,4.874,
-0.9588,-0.0004,-10.0001,5.098,
-0.9506,-0.0004,-10.0001,5.217,
-0.9377,-0.0004,-10.0001,5.519,
-0.9305,-0.0004,-10.0001,5.638,
-0.9175,-0.0004,-10.0001,5.923,
-0.91,-0.0004,-10.0001,6.083,
-0.8983,-0.0004,-10.0001,6.396,
-0.8905,-0.0004,-10.0001,6.607,
-0.8791,-0.0004,-10.0001,6.926,
-0.8706,-0.0004,-10.0001,7.176,
-0.8577,-0.0004,-10.0001,7.591,
-0.8508,-0.0004,-10.0001,7.845,
-0.8376,-0.0004,-10.0001,8.345,
-0.8303,-0.0004,-10.0001,8.571,
-0.8184,-0.0004,-10.0001,9.134,
-0.8108,-0.0004,-10.0001,9.425,
-0.7982,-0.0004,-10.0001,10.036,
-0.7906,-0.0004,-10.0001,10.432,
-0.7765,-0.0004,-10.0001,11.238,
-0.7705,-0.0004,-10.0001,11.538,
-0.7573,-0.0004,-10.0001,12.454,
-0.7503,-0.0004,-10.0001,12.787,
-0.7381,-0.0004,-10.0002,13.756,
-0.7308,-0.0004,-10.0002,14.265,
-0.7176,-0.0004,-10.0002,15.233,
-0.7107,-0.0004,-10.0001,15.817,
-0.6968,-0.0004,-10.0001,17.109,
-0.6905,-0.0005,-10.0002,17.553,
-0.6776,-0.0005,-10.0001,18.895,
-0.67,-0.0005,-10.0001,19.627,
-0.6587,-0.0005,-10.0001,20.836,
-0.6505,-0.0005,-10.0001,21.663,
-0.6389,-0.0005,-10.0001,23.053,
-0.6307,-0.0005,-10.0001,23.947,
-0.6178,-0.0005,-10.0001,25.532,
-0.6108,-0.0005,-10.0001,26.336,
