HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A28MR Field Detector SN XMC213190
Project run number,12
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMC213190
Manufacturer,Standard Imaging
Model,A28MR Field
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.842,[pA]
Reference detector,-0.875,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-18T17:44:27.1852386-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,19.92,[cm]
Field size inline,19.92,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-11,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,11,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,220000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.014938,[cm]
Calculated field width,19.615975,[cm]
Calculated penumbra left,3.207134,[cm]
Calculated penumbra right,3.213282,[cm]
Calculated symmetry,0.990,[%]
Normalisation factor,0.017525,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-10.9502,0.0012,-5.0028,7.274,
-10.8498,0.0029,-5.0056,7.857,
-10.7499,0.0033,-5.0058,8.398,
-10.6498,0.0035,-5.0059,9.165,
-10.5498,0.0036,-5.0061,10.114,
-10.4499,0.0038,-5.0062,11.695,
-10.35,0.0039,-5.0064,14.323,
-10.25,0.0041,-5.0066,18.505,
-10.1499,0.0043,-5.0067,24.273,
-10.0499,0.0044,-5.0069,31.384,
-9.9498,0.0046,-5.0071,38.809,
-9.8499,0.0047,-5.0072,45.987,
-9.7499,0.0049,-5.0074,53.045,
-9.6498,0.005,-5.0075,58.394,
-9.55,0.0052,-5.0077,62.398,
-9.4499,0.0053,-5.0079,65.263,
-9.3498,0.0055,-5.008,67.297,
-9.2499,0.0056,-5.0081,68.268,
-9.15,0.0055,-5.0081,69.214,
-9.0499,0.0054,-5.008,69.771,
-8.9499,0.0054,-5.008,70.932,
-8.8499,0.0053,-5.0079,71.299,
-8.75,0.0052,-5.0079,72.125,
-8.65,0.0051,-5.0078,72.493,
-8.5499,0.0051,-5.0078,73.103,
-8.4499,0.005,-5.0077,73.289,
-8.35,0.0049,-5.0077,74.255,
-8.25,0.0048,-5.0076,74.723,
-8.1499,0.0048,-5.0076,74.777,
-8.05,0.0047,-5.0075,75.439,
-7.9501,0.0046,-5.0075,75.733,
-7.85,0.0045,-5.0074,76.338,
-7.75,0.0045,-5.0074,76.575,
-7.6499,0.0044,-5.0073,77.066,
-7.5498,0.0043,-5.0073,77.530,
-7.4499,0.0042,-5.0072,77.922,
-7.35,0.0041,-5.0072,78.405,
-7.25,0.0041,-5.0071,78.968,
-7.1499,0.004,-5.0071,79.400,
-7.0498,0.0039,-5.007,79.742,
-6.9499,0.0038,-5.007,80.527,
-6.85,0.0038,-5.0069,80.337,
-6.75,0.0037,-5.0069,80.942,
-6.6499,0.0036,-5.0068,81.156,
-6.5498,0.0035,-5.0068,81.963,
-6.4499,0.0035,-5.0067,81.864,
-6.35,0.0034,-5.0067,82.527,
-6.2499,0.0033,-5.0066,82.791,
-6.1498,0.0032,-5.0066,83.131,
-6.0499,0.0032,-5.0065,83.822,
