HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A28MR Field Detector SN XMC213190
Project run number,4
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMC213190
Manufacturer,Standard Imaging
Model,A28MR Field
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.831,[pA]
Reference detector,-0.88,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-17T15:10:45.8517146-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-6,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,6,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,120000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.019560,[cm]
Calculated field width,10.034833,[cm]
Calculated penumbra left,4.497127,[cm]
Calculated penumbra right,0.877956,[cm]
Calculated symmetry,1.892,[%]
Normalisation factor,0.021221,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0009,-5.9503,-4.9998,7.035,
-0.0002,-5.8497,-4.9995,7.781,
0.0003,-5.7497,-4.9994,8.963,
0.0004,-5.6497,-4.9993,10.719,
0.0004,-5.5497,-4.9992,13.500,
0.0005,-5.4496,-4.9992,17.991,
0.0005,-5.3497,-4.9992,24.399,
0.0007,-5.2498,-4.9993,32.153,
0.0009,-5.1496,-4.9993,40.582,
0.0012,-5.0497,-4.9993,48.993,
0.0016,-4.9498,-4.9993,56.903,
0.0017,-4.8497,-4.9994,64.002,
0.0016,-4.7498,-4.9994,70.132,
0.0018,-4.6499,-4.9994,75.060,
0.002,-4.5497,-4.9994,78.480,
0.0021,-4.4498,-4.9995,81.368,
0.0021,-4.3499,-4.9995,83.320,
0.0022,-4.2498,-4.9995,85.154,
0.0023,-4.1496,-4.9996,86.465,
0.0023,-4.0497,-4.9996,87.618,
0.0023,-3.9498,-4.9996,88.320,
0.0024,-3.8496,-4.9996,89.321,
0.0025,-3.7497,-4.9997,89.364,
0.0025,-3.6498,-4.9997,90.436,
0.0024,-3.5496,-4.9997,90.557,
0.0024,-3.4497,-4.9997,91.469,
0.0024,-3.3498,-4.9998,91.971,
0.0024,-3.2496,-4.9998,92.272,
0.0023,-3.1497,-4.9998,92.335,
0.0023,-3.0498,-4.9999,93.165,
0.0023,-2.9496,-4.9999,93.613,
0.0022,-2.8497,-4.9999,93.735,
0.002,-2.7499,-4.9999,94.345,
0.0019,-2.6497,-5,94.381,
0.0018,-2.5498,-5,95.283,
0.0018,-2.4499,-5,95.427,
0.0018,-2.3497,-5,95.721,
0.0021,-2.2498,-5.0001,96.145,
0.0025,-2.15,-5.0001,96.271,
0.0028,-2.0498,-5.0001,96.547,
0.0029,-1.9496,-5.0002,96.880,
0.0029,-1.8497,-5.0002,97.042,
0.0028,-1.7498,-5.0002,97.452,
0.0026,-1.6496,-5.0002,97.641,
0.0025,-1.5497,-5.0003,97.880,
0.0024,-1.4499,-5.0003,98.041,
0.0022,-1.3497,-5.0003,98.400,
0.0021,-1.2498,-5.0003,98.272,
0.002,-1.1499,-5.0004,98.930,
0.002,-1.0497,-5.0004,98.918,
0.002,-0.9498,-5.0004,98.845,
0.0019,-0.8499,-5.0005,98.919,
0.0019,-0.7497,-5.0005,99.737,
0.0019,-0.6498,-5.0005,99.366,
0.0018,-0.5499,-5.0005,99.321,
0.0018,-0.4497,-5.0006,99.763,
0.0016,-0.3498,-5.0006,99.719,
0.0014,-0.2499,-5.0006,99.675,
0.0014,-0.1498,-5.0007,99.794,
0.0013,-0.0496,-5.0007,99.689,
0.0013,0.0503,-5.0007,99.760,
0.0013,0.1502,-5.0007,99.811,
0.0012,0.2504,-5.0008,99.844,
0.0012,0.3503,-5.0008,100.000,
0.0012,0.4502,-5.0008,99.733,
0.0012,0.5503,-5.0008,99.485,
0.0011,0.6502,-5.0009,99.524,
0.0011,0.7501,-5.0009,98.963,
0.0011,0.8503,-5.0009,99.070,
0.001,0.9502,-5.001,98.813,
0.001,1.0501,-5.001,98.652,
0.001,1.1502,-5.001,98.512,
0.0011,1.2504,-5.001,98.782,
0.0012,1.3503,-5.0011,98.378,
0.0012,1.4502,-5.0011,97.988,
0.0012,1.5504,-5.0011,97.776,
0.0009,1.6503,-5.0011,97.607,
0.0008,1.7502,-5.0012,97.464,
0.0007,1.8503,-5.0012,97.314,
0.0007,1.9502,-5.0012,97.192,
0.0007,2.0501,-5.0013,96.604,
0.0006,2.1503,-5.0013,96.533,
0.0006,2.2502,-5.0013,95.927,
0.0006,2.3501,-5.0013,95.628,
0.0006,2.4503,-5.0014,95.250,
0.0005,2.5504,-5.0014,95.376,
0.0005,2.6503,-5.0014,94.882,
0.0005,2.7502,-5.0014,94.310,
0.0006,2.8504,-5.0015,93.815,
0.0007,2.9503,-5.0015,93.737,
0.0007,3.0502,-5.0015,93.549,
0.0006,3.1504,-5.0016,92.779,
0.0006,3.2503,-5.0016,92.222,
0.0006,3.3501,-5.0016,91.832,
0.0005,3.4503,-5.0016,91.535,
0.0005,3.5502,-5.0017,90.847,
0.0005,3.6501,-5.0017,90.592,
0.0004,3.7503,-5.0017,90.058,
0.0004,3.8504,-5.0018,89.514,
0.0004,3.9504,-5.0018,88.601,
0.0004,4.0505,-5.0017,88.228,
0.0004,4.1505,-5.0016,86.927,
0.0004,4.2503,-5.0015,85.590,
0.0004,4.35,-5.0014,84.104,
0.0004,4.45,-5.0014,82.712,
0.0004,4.55,-5.0013,79.479,
0.0004,4.6501,-5.0012,75.581,
