HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A28MR Field Detector SN XMC213190
Project run number,18
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMC213190
Manufacturer,Standard Imaging
Model,A28MR Field
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.827,[pA]
Reference detector,-0.878,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-18T19:40:31.6243775-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,1.66,[cm]
Field size inline,1.66,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-2,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,2,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,40000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.002003,[cm]
Calculated field width,1.595516,[cm]
Calculated penumbra left,0.490187,[cm]
Calculated penumbra right,0.522566,[cm]
Calculated symmetry,1.837,[%]
Normalisation factor,0.022399,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-1.9501,0.0003,-5.0006,1.315,
-1.85,0.0006,-5.0012,1.639,
-1.7499,0.0005,-5.0012,1.993,
-1.6498,0.0004,-5.0011,2.475,
-1.5499,0.0003,-5.0011,3.140,
-1.45,0.0002,-5.001,4.115,
-1.35,0.0002,-5.001,5.503,
-1.2499,0.0001,-5.0009,7.861,
-1.1498,0,-5.0009,12.045,
-1.0499,-0.0001,-5.0008,19.658,
-0.95,-0.0001,-5.0008,30.559,
-0.8499,-0.0002,-5.0007,43.086,
-0.7499,-0.0003,-5.0007,56.876,
-0.6498,-0.0004,-5.0006,70.007,
-0.5499,-0.0004,-5.0006,80.716,
-0.45,-0.0005,-5.0005,89.765,
-0.3499,-0.0006,-5.0005,94.762,
-0.2499,-0.0007,-5.0004,97.917,
-0.1499,-0.0007,-5.0004,99.460,
-0.05,-0.0008,-5.0003,100.000,
0.0501,-0.0009,-5.0003,99.870,
0.15,-0.0009,-5.0002,98.435,
0.2501,-0.0009,-5.0002,96.922,
0.3501,-0.0009,-5.0002,93.176,
0.45,-0.0009,-5.0002,87.708,
0.55,-0.0008,-5.0002,79.440,
0.6501,-0.0008,-5.0002,67.994,
0.7501,-0.0008,-5.0002,55.650,
0.85,-0.0007,-5.0001,43.287,
0.9501,-0.0007,-5.0001,31.330,
1.0501,-0.0007,-5.0001,21.197,
1.1501,-0.0006,-5.0001,13.568,
1.25,-0.0006,-5.0001,8.361,
1.3501,-0.0006,-5.0001,5.204,
1.4501,-0.0005,-5.0001,3.511,
1.5501,-0.0005,-5.0001,2.560,
1.65,-0.0005,-5.0001,2.038,
1.7501,-0.0004,-5,1.742,
1.8502,-0.0004,-5,1.516,
1.9501,-0.0004,-5,1.348,

Checksum:,239C8789364C38729237C219792D32BD356123B2BBF1E4BC1A5E83837EEA4A8F
