HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.444 mm, Y=0.055 mm, Z=0.000 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A28MR Field Detector SN XMC213190
Project run number,12
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMC213190
Manufacturer,Standard Imaging
Model,A28MR Field
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.842,[pA]
Reference detector,-0.875,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-18T17:55:00.5900175-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,19.92,[cm]
Field size inline,19.92,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Completed successfully
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-12,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,121000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,65.486,[%]
Calculated D20,N.C.,[%]
DMax,1.554688,[cm]
Normalisation factor,0.014986,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0226,0.0025,-11.95,58.595,
0.0444,0.0055,-11.85,58.865,
0.0437,0.0054,-11.75,59.188,
0.0431,0.0054,-11.65,59.661,
0.0424,0.0054,-11.55,60.094,
0.0418,0.0054,-11.45,60.234,
0.0414,0.0054,-11.35,60.749,
0.0409,0.0053,-11.25,60.950,
0.0404,0.0053,-11.15,61.498,
0.04,0.0053,-11.05,61.717,
0.0395,0.0053,-10.95,61.990,
0.039,0.0053,-10.85,62.401,
0.0386,0.0052,-10.75,62.796,
0.0381,0.0052,-10.65,63.152,
0.0376,0.0052,-10.55,63.509,
0.0371,0.0052,-10.45,63.790,
0.0367,0.0051,-10.35,64.097,
0.0364,0.0051,-10.25,64.511,
0.036,0.0051,-10.15,64.890,
0.0357,0.005,-10.05,65.363,
0.0353,0.005,-9.95,65.608,
0.035,0.005,-9.85,65.904,
0.0346,0.0049,-9.75,66.352,
0.0342,0.0049,-9.65,66.676,
0.0339,0.0049,-9.55,67.287,
0.0335,0.0048,-9.45,67.399,
0.0332,0.0048,-9.35,67.822,
0.0328,0.0048,-9.25,68.290,
0.0325,0.0047,-9.15,68.421,
0.0321,0.0047,-9.05,69.055,
0.0318,0.0047,-8.95,69.119,
0.0314,0.0046,-8.8501,69.621,
0.031,0.0046,-8.75,70.009,
0.0307,0.0046,-8.65,70.344,
0.0303,0.0045,-8.55,70.784,
0.03,0.0045,-8.45,71.249,
0.0296,0.0045,-8.35,71.555,
0.0293,0.0044,-8.25,71.822,
0.0289,0.0044,-8.15,72.410,
0.0285,0.0044,-8.05,72.709,
0.0282,0.0043,-7.95,73.101,
0.0278,0.0043,-7.85,73.406,
0.0275,0.0043,-7.75,73.972,
0.0271,0.0042,-7.65,74.122,
0.0268,0.0042,-7.55,74.872,
0.0264,0.0042,-7.45,75.101,
0.026,0.0041,-7.35,75.576,
0.0257,0.0041,-7.25,75.872,
0.0253,0.004,-7.15,76.060,
0.025,0.004,-7.05,76.557,
0.0246,0.004,-6.95,77.108,
0.0243,0.0039,-6.85,77.526,
0.0239,0.0039,-6.75,77.941,
0.0235,0.0039,-6.65,78.404,
0.0232,0.0038,-6.55,78.778,
0.0228,0.0038,-6.45,79.201,
0.0225,0.0038,-6.35,79.639,
0.0221,0.0037,-6.25,79.909,
0.0218,0.0037,-6.15,80.343,
0.0214,0.0037,-6.05,80.847,
0.0211,0.0036,-5.95,81.190,
0.0207,0.0036,-5.85,81.590,
0.0203,0.0036,-5.7501,82.055,
0.02,0.0035,-5.65,82.565,
0.0196,0.0035,-5.55,82.914,
0.0193,0.0035,-5.45,83.353,
0.0189,0.0034,-5.35,83.851,
0.0186,0.0034,-5.25,84.200,
0.0182,0.0034,-5.15,84.720,
0.0178,0.0033,-5.05,84.946,
0.0175,0.0033,-4.95,85.509,
0.0171,0.0033,-4.85,85.862,
0.0168,0.0032,-4.75,86.271,
0.0164,0.0032,-4.65,87.059,
0.0161,0.0032,-4.55,87.163,
0.0157,0.0031,-4.45,87.525,
0.0154,0.0031,-4.35,88.285,
0.015,0.003,-4.25,88.686,
0.0147,0.0029,-4.15,88.849,
0.0143,0.0029,-4.05,89.487,
0.014,0.0028,-3.95,89.758,
0.0136,0.0028,-3.85,90.270,
0.0133,0.0027,-3.75,90.862,
0.0129,0.0026,-3.65,91.312,
0.0126,0.0026,-3.55,91.547,
0.0122,0.0025,-3.45,92.065,
0.0119,0.0024,-3.35,92.442,
0.0116,0.0024,-3.25,93.048,
0.0112,0.0023,-3.15,93.506,
0.0109,0.0022,-3.05,93.894,
0.0105,0.0022,-2.95,94.069,
0.0102,0.0021,-2.85,94.740,
0.0098,0.002,-2.75,95.205,
0.0095,0.002,-2.65,95.657,
0.0091,0.0019,-2.55,96.101,
0.0088,0.0019,-2.45,96.509,
0.0085,0.0018,-2.35,96.966,
0.0081,0.0017,-2.25,97.492,
0.0078,0.0017,-2.15,97.694,
0.0074,0.0016,-2.05,98.106,
0.0071,0.0015,-1.95,98.641,
0.0067,0.0015,-1.85,98.843,
0.0064,0.0014,-1.75,99.135,
0.006,0.0013,-1.65,99.403,
0.0057,0.0013,-1.55,99.906,
0.0054,0.0012,-1.45,100.000,
0.005,0.0011,-1.35,99.652,
0.0047,0.0011,-1.25,99.571,
0.0043,0.001,-1.15,99.395,
0.004,0.001,-1.05,98.741,
0.0036,0.0009,-0.95,97.832,
0.0033,0.0008,-0.85,96.690,
0.0029,0.0008,-0.75,94.915,
0.0026,0.0007,-0.65,92.850,
0.0023,0.0006,-0.55,90.042,
0.0019,0.0006,-0.45,85.737,
0.0016,0.0005,-0.35,80.845,
0.0012,0.0004,-0.25,74.050,
0.0009,0.0004,-0.15,70.110,
0.0005,0.0003,-0.05,68.217,
0.0002,0.0002,0.05,67.029,

Checksum:,12B7AE3999368E15E6CB93886A5CD6F485B4E3A8E77DD6661F9B7618A9896E54
