HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A28MR Field Detector SN XMC213190
Project run number,4
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMC213190
Manufacturer,Standard Imaging
Model,A28MR Field
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.831,[pA]
Reference detector,-0.88,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-17T15:04:18.2195611-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-6,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,6,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,120000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.015004,[cm]
Calculated field width,9.809235,[cm]
Calculated penumbra left,0.741343,[cm]
Calculated penumbra right,0.804607,[cm]
Calculated symmetry,1.187,[%]
Normalisation factor,0.021138,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-5.951,0.0005,-5.0019,6.107,
-5.8499,0.002,-5.0038,6.808,
-5.7499,0.0025,-5.0037,7.510,
-5.6499,0.0025,-5.0037,8.426,
-5.55,0.0024,-5.0036,9.656,
-5.45,0.0023,-5.0036,11.505,
-5.3499,0.0022,-5.0035,14.551,
-5.2499,0.0021,-5.0035,19.743,
-5.15,0.0021,-5.0034,27.463,
-5.05,0.002,-5.0034,37.030,
-4.9499,0.0019,-5.0033,47.052,
-4.8499,0.0018,-5.0033,56.788,
-4.7499,0.0018,-5.0032,65.721,
-4.65,0.0017,-5.0032,73.177,
-4.5499,0.0016,-5.0031,78.684,
-4.4499,0.0015,-5.0031,81.631,
-4.35,0.0015,-5.003,84.061,
-4.25,0.0014,-5.003,85.117,
-4.1499,0.0013,-5.0029,86.336,
-4.0499,0.0012,-5.0029,87.280,
-3.9499,0.0011,-5.0028,88.104,
-3.85,0.0011,-5.0028,88.740,
-3.75,0.001,-5.0027,88.477,
-3.6499,0.0009,-5.0027,89.800,
-3.5498,0.0008,-5.0026,90.766,
-3.4499,0.0008,-5.0026,90.690,
-3.35,0.0007,-5.0025,91.601,
-3.25,0.0006,-5.0024,91.851,
-3.1499,0.0005,-5.0024,92.217,
-3.0498,0.0005,-5.0023,92.712,
-2.9499,0.0004,-5.0023,93.359,
-2.85,0.0003,-5.0022,93.597,
-2.7499,0.0002,-5.0022,93.989,
-2.6498,0.0001,-5.0021,94.264,
-2.5499,0.0001,-5.0021,94.725,
-2.45,0,-5.002,95.111,
-2.35,-0.0001,-5.002,95.527,
-2.2499,-0.0002,-5.0019,95.681,
-2.1498,-0.0002,-5.0019,96.139,
-2.0499,-0.0003,-5.0018,95.920,
-1.95,-0.0004,-5.0018,97.024,
-1.8499,-0.0005,-5.0017,97.156,
-1.7499,-0.0005,-5.0017,97.106,
