HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A28MR Field Detector SN XMC213190
Project run number,6
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMC213190
Manufacturer,Standard Imaging
Model,A28MR Field
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.819,[pA]
Reference detector,-0.877,[pA]

Profile settings:
Measurement mode,StepByStep
Creation time,2022-12-17T21:17:12.8702854-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,0.83,[cm]
Field size inline,0.83,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-1,[cm]
Start Z,-10,[cm]
Stop X,0,[cm]
Stop Y,1,[cm]
Stop Z,-10,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,20000,[µm]
Step size,100,[µm]
Speed,0,[µm/s]
Integration time,1300,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.028613,[cm]
Calculated field width,1.046021,[cm]
Calculated penumbra left,0.460397,[cm]
Calculated penumbra right,0.505439,[cm]
Calculated symmetry,1.015,[%]
Normalisation factor,0.056280,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0013,-1.0003,-10.0002,5.708,
-0.001,-0.9907,-10.0002,5.739,
-0.0004,-0.9811,-10.0001,5.839,
-0.0004,-0.9703,-10.0001,6.088,
-0.0004,-0.9607,-10.0001,6.293,
0,-0.9505,-10.0001,6.594,
0,-0.9403,-10.0001,6.906,
0,-0.9307,-10.0001,7.263,
0,-0.9205,-10.0001,7.577,
0,-0.9103,-10.0001,8.005,
0,-0.9007,-10.0001,8.392,
0,-0.8905,-10.0001,8.847,
-0.0001,-0.8803,-10.0001,9.324,
-0.0001,-0.8707,-10.0001,9.771,
-0.0001,-0.8605,-10.0001,10.315,
-0.0001,-0.8503,-10.0002,10.886,
-0.0001,-0.8407,-10.0001,11.429,
-0.0001,-0.8305,-10.0001,12.126,
-0.0001,-0.8203,-10.0001,12.737,
-0.0001,-0.81,-10.0001,13.430,
-0.0001,-0.7998,-10.0001,14.105,
-0.0001,-0.7896,-10.0001,14.967,
-0.0001,-0.78,-10.0001,15.664,
-0.0001,-0.7698,-10.0001,16.565,
-0.0001,-0.7596,-10.0001,17.409,
-0.0001,-0.75,-10.0001,18.234,
-0.0001,-0.7398,-10.0001,19.251,
-0.0001,-0.7296,-10.0001,20.240,
-0.0001,-0.72,-10.0001,21.159,
-0.0001,-0.7098,-10.0002,22.175,
-0.0001,-0.6996,-10.0001,23.359,
0.0002,-0.69,-10.0001,24.437,
0.0002,-0.6792,-10.0001,25.673,
0.0002,-0.6696,-10.0001,26.851,
0.0002,-0.66,-10.0001,27.910,
0.0002,-0.6492,-10.0001,29.190,
0.0002,-0.6396,-10.0001,30.321,
0.0002,-0.63,-10.0001,31.706,
0.0002,-0.6198,-10.0001,32.914,
0.0002,-0.6096,-10.0001,34.215,
0.0002,-0.6,-10.0001,35.341,
0.0002,-0.5898,-10.0001,36.832,
0.0002,-0.5796,-10.0001,38.311,
0.0002,-0.57,-10.0001,39.601,
0.0002,-0.5592,-10.0002,40.882,
0.0002,-0.5496,-10.0002,42.157,
0.0002,-0.54,-10.0001,43.650,
0.0002,-0.5298,-10.0001,44.881,
0.0002,-0.5196,-10.0001,46.283,
0.0002,-0.51,-10.0001,47.768,
0.0002,-0.4998,-10.0001,49.308,
0.0002,-0.489,-10.0001,50.692,
0.0002,-0.48,-10.0001,51.923,
0.0002,-0.4698,-10.0001,53.346,
0.0002,-0.4596,-10.0001,54.870,
0.0002,-0.45,-10.0001,56.301,
0.0002,-0.4398,-10.0001,57.705,
0.0002,-0.4302,-10.0001,58.869,
0.0002,-0.42,-10.0001,60.304,
0.0002,-0.4092,-10.0002,61.966,
0.0002,-0.3996,-10.0001,63.358,
0.0002,-0.39,-10.0001,65.017,
0.0002,-0.3798,-10.0001,66.173,
0.0001,-0.3696,-10.0001,67.654,
0.0001,-0.36,-10.0001,68.815,
0.0001,-0.3492,-10.0001,70.508,
0.0001,-0.3396,-10.0001,71.409,
0.0001,-0.33,-10.0001,72.868,
0.0001,-0.3192,-10.0001,74.080,
0.0001,-0.3102,-10.0001,75.045,
0.0001,-0.3,-10.0001,76.597,
0.0001,-0.2898,-10.0001,77.934,
0.0001,-0.2796,-10.0001,79.158,
0.0001,-0.2694,-10.0001,80.242,
0.0001,-0.2598,-10.0002,81.484,
0.0001,-0.2496,-10.0002,82.463,
0.0001,-0.24,-10.0001,83.749,
0.0001,-0.2298,-10.0001,84.274,
0.0001,-0.219,-10.0001,85.624,
0.0001,-0.21,-10.0001,86.759,
0.0001,-0.1998,-10.0001,87.540,
0.0001,-0.1896,-10.0001,88.604,
0.0001,-0.18,-10.0001,89.570,
0.0001,-0.1692,-10.0001,90.279,
0.0001,-0.1596,-10.0001,91.119,
0.0001,-0.15,-10.0001,91.736,
0.0001,-0.1399,-10.0001,92.868,
0.0001,-0.1297,-10.0001,93.866,
0.0001,-0.1201,-10.0001,94.202,
0.0001,-0.1093,-10.0002,94.973,
0.0001,-0.0997,-10.0001,95.253,
0.0001,-0.0901,-10.0001,95.899,
0.0001,-0.0799,-10.0001,96.549,
0.0001,-0.0697,-10.0001,96.813,
0.0001,-0.0595,-10.0001,97.271,
0.0001,-0.0499,-10.0001,97.966,
0.0001,-0.0397,-10.0001,98.297,
0.0001,-0.0295,-10.0001,99.037,
0.0001,-0.0199,-10.0001,98.909,
0.0001,-0.0097,-10.0001,99.346,
0.0001,-0.0001,-10.0001,99.520,
0.0001,0.0101,-10.0001,99.514,
0.0001,0.0203,-10.0001,100.000,
0.0001,0.0299,-10.0001,99.718,
0.0001,0.0407,-10.0002,99.779,
0.0001,0.0503,-10.0002,99.627,
0.0001,0.0599,-10.0001,99.713,
0.0001,0.0701,-10.0001,99.600,
0.0001,0.0803,-10.0001,99.467,
0.0001,0.0905,-10.0001,99.077,
0.0001,0.1001,-10.0001,98.940,
0.0001,0.1103,-10.0001,98.174,
0.0001,0.1205,-10.0001,98.141,
0.0001,0.1301,-10.0001,97.673,
0.0001,0.1403,-10.0001,96.959,
0,0.1499,-10.0001,96.551,
0,0.1601,-10.0001,95.658,
0,0.1703,-10.0001,95.258,
0,0.1799,-10.0001,94.403,
0,0.1901,-10.0002,93.818,
0,0.2003,-10.0001,92.896,
0,0.2099,-10.0001,92.680,
0,0.2201,-10.0001,91.285,
0,0.2303,-10.0001,89.996,
0,0.2399,-10.0001,89.579,
0,0.2501,-10.0001,88.613,
0,0.2609,-10.0001,87.229,
0,0.2699,-10.0001,86.405,
0,0.2801,-10.0001,85.415,
0,0.2903,-10.0001,84.105,
0,0.2999,-10.0001,83.095,
0,0.3101,-10.0001,81.757,
0,0.3203,-10.0001,80.948,
0,0.3299,-10.0002,79.520,
0,0.3401,-10.0002,78.345,
0,0.3503,-10.0002,77.398,
0,0.3599,-10.0001,75.943,
0,0.3701,-10.0001,74.827,
0,0.3803,-10.0001,73.349,
0,0.3899,-10.0001,72.087,
0,0.4001,-10.0001,70.693,
0,0.4103,-10.0001,69.278,
0,0.4199,-10.0001,67.978,
0,0.4301,-10.0001,66.729,
0,0.4403,-10.0001,65.362,
0,0.4499,-10.0001,64.358,
0,0.4601,-10.0001,62.700,
0,0.4703,-10.0001,61.093,
0,0.4799,-10.0002,59.931,
0,0.4901,-10.0002,58.325,
0,0.5003,-10.0001,56.986,
0,0.5099,-10.0001,55.721,
0,0.5201,-10.0001,54.283,
0,0.5303,-10.0001,52.894,
0,0.5399,-10.0001,51.779,
0,0.5501,-10.0001,50.199,
0,0.5603,-10.0001,48.867,
0,0.5705,-10.0001,47.539,
0,0.5801,-10.0001,46.357,
0,0.5903,-10.0001,44.812,
0,0.5999,-10.0001,43.511,
0,0.6101,-10.0001,42.289,
0,0.6203,-10.0001,40.894,
0,0.6299,-10.0002,39.838,
0,0.6407,-10.0001,38.532,
0,0.6503,-10.0001,37.412,
-0.0001,0.6599,-10.0001,36.331,
-0.0001,0.6701,-10.0001,35.134,
-0.0001,0.6803,-10.0001,34.023,
-0.0001,0.6899,-10.0001,33.181,
-0.0001,0.7001,-10.0001,31.997,
-0.0001,0.7109,-10.0001,30.891,
-0.0001,0.7199,-10.0001,30.009,
-0.0001,0.7301,-10.0001,28.895,
-0.0001,0.7403,-10.0001,28.023,
-0.0001,0.7499,-10.0001,26.982,
-0.0001,0.7601,-10.0001,26.101,
-0.0001,0.7709,-10.0001,25.180,
-0.0001,0.7799,-10.0002,24.418,
-0.0001,0.7901,-10.0002,23.455,
-0.0001,0.8009,-10.0001,22.446,
0.0002,0.8099,-10.0001,21.737,
0.0002,0.8201,-10.0001,20.939,
0.0002,0.8303,-10.0001,20.147,
0.0002,0.8399,-10.0001,19.368,
0.0002,0.8507,-10.0001,18.675,
0.0002,0.8603,-10.0001,18.042,
0.0002,0.8699,-10.0001,17.307,
0.0002,0.8801,-10.0001,16.634,
0.0002,0.8903,-10.0001,15.981,
0.0002,0.9005,-10.0001,15.488,
0.0002,0.9101,-10.0001,14.871,
0.0002,0.9203,-10.0001,14.311,
0.0002,0.9305,-10.0002,13.782,
0.0002,0.9401,-10.0001,13.287,
0.0002,0.9503,-10.0001,12.770,
0.0002,0.9599,-10.0001,12.331,
0.0002,0.9701,-10.0001,11.869,
0.0002,0.9803,-10.0001,11.368,
0.0002,0.9905,-10.0001,10.950,
0.0002,1.0001,-10.0001,10.602,

Checksum:,E36F98DF2AAC1402BE27CA3A42FA94CD9005AC5B61F2E3243D5DC06CD251BA1D
