HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,A28MR Field Detector SN XMC213190
Project run number,10
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMC213190
Manufacturer,Standard Imaging
Model,A28MR Field
Bias voltage,-300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.843,[pA]
Reference detector,-0.87,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-18T16:24:49.8123373-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,27.2,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-14.5,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,14.5,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,290000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.032284,[cm]
Calculated field width,23.776607,[cm]
Calculated penumbra left,5.195298,[cm]
Calculated penumbra right,5.116929,[cm]
Calculated symmetry,1.060,[%]
Normalisation factor,0.017207,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0011,-14.4506,-5.0072,4.972,
0.0035,-14.3497,-5.0143,5.096,
0.0075,-14.2497,-5.0142,5.250,
0.0077,-14.1497,-5.0141,5.383,
0.0078,-14.0497,-5.014,5.542,
0.008,-13.9497,-5.0139,5.664,
0.0081,-13.8497,-5.0138,5.835,
0.008,-13.7497,-5.0138,6.028,
0.0079,-13.6496,-5.0137,6.189,
0.0079,-13.5496,-5.0136,6.399,
0.0078,-13.4495,-5.0135,6.654,
0.0079,-13.3495,-5.0134,6.855,
0.008,-13.2495,-5.0134,7.151,
0.0077,-13.1495,-5.0133,7.411,
0.0075,-13.0495,-5.0132,7.782,
0.0074,-12.9495,-5.0131,8.226,
0.0074,-12.8495,-5.013,8.736,
0.0073,-12.7495,-5.0129,9.454,
0.0072,-12.6495,-5.0129,10.633,
0.0072,-12.5495,-5.0128,12.689,
0.0071,-12.4495,-5.0127,16.089,
0.0072,-12.3495,-5.0126,20.928,
0.0074,-12.2495,-5.0125,26.681,
0.0075,-12.1497,-5.0125,32.806,
0.0074,-12.05,-5.0124,39.219,
0.0075,-11.95,-5.0123,45.016,
0.0076,-11.85,-5.0122,50.319,
0.0075,-11.75,-5.0121,54.328,
0.0074,-11.6499,-5.012,57.347,
0.0074,-11.5499,-5.012,59.546,
0.0073,-11.4499,-5.0119,61.398,
0.007,-11.3499,-5.0118,62.725,
0.0069,-11.2499,-5.0117,63.678,
0.0068,-11.1499,-5.0116,64.550,
0.0067,-11.0499,-5.0115,64.900,
0.0067,-10.9499,-5.0115,65.512,
0.0066,-10.8499,-5.0114,66.119,
0.0066,-10.7499,-5.0113,66.742,
0.0067,-10.6499,-5.0112,67.019,
0.0067,-10.5499,-5.0111,67.788,
0.0066,-10.4499,-5.0111,67.970,
0.0065,-10.3498,-5.011,68.277,
0.0065,-10.2498,-5.0109,68.645,
0.0064,-10.1497,-5.0108,68.847,
0.0065,-10.0497,-5.0107,69.474,
0.0066,-9.9497,-5.0106,69.579,
0.0065,-9.8497,-5.0106,70.127,
0.0064,-9.7497,-5.0105,70.549,
0.0063,-9.6496,-5.0104,70.674,
0.0061,-9.5496,-5.0103,70.956,
0.0059,-9.4496,-5.0102,71.464,
0.0058,-9.3496,-5.0102,71.642,
0.0058,-9.2496,-5.0101,72.738,
0.0057,-9.1496,-5.01,72.651,
0.0056,-9.0496,-5.0099,73.088,
0.0054,-8.9496,-5.0098,73.529,
0.0052,-8.8495,-5.0097,74.163,
0.0051,-8.7495,-5.0097,74.267,
0.0048,-8.6495,-5.0096,74.636,
0.0047,-8.5495,-5.0095,74.747,
0.0046,-8.4495,-5.0094,75.423,
0.0047,-8.3495,-5.0093,75.633,
0.0048,-8.2495,-5.0093,76.365,
0.0047,-8.1495,-5.0092,76.186,
0.0046,-8.0495,-5.0091,76.651,
0.0045,-7.9495,-5.009,77.004,
0.0043,-7.8495,-5.0089,77.562,
0.0041,-7.7497,-5.0088,77.837,
0.0038,-7.65,-5.0088,78.016,
0.0036,-7.55,-5.0087,78.858,
0.0035,-7.45,-5.0086,78.928,
0.0034,-7.35,-5.0085,79.286,
0.0034,-7.2499,-5.0084,79.493,
0.0031,-7.1499,-5.0083,80.156,
0.0029,-7.0499,-5.0083,80.362,
0.0028,-6.9499,-5.0082,80.967,
0.0026,-6.8499,-5.0081,81.457,
0.0024,-6.7499,-5.008,81.275,
0.0023,-6.6499,-5.0079,81.990,
0.0023,-6.5499,-5.0079,81.996,
0.0022,-6.4499,-5.0078,82.562,
0.0021,-6.3499,-5.0077,82.949,
0.0021,-6.2499,-5.0076,83.474,
0.002,-6.1499,-5.0075,83.721,
0.002,-6.0499,-5.0074,84.090,
0.0021,-5.9499,-5.0074,84.414,
0.0021,-5.8498,-5.0073,85.323,
0.002,-5.7498,-5.0072,85.124,
0.0019,-5.6498,-5.0071,85.397,
0.0019,-5.5497,-5.007,85.783,
0.0018,-5.4497,-5.007,86.115,
0.0018,-5.3498,-5.007,86.334,
0.0017,-5.2499,-5.0071,86.413,
0.0017,-5.1497,-5.0071,87.140,
0.0017,-5.0498,-5.0071,87.576,
0.0017,-4.9499,-5.0071,87.790,
0.0016,-4.8498,-5.0072,88.170,
0.0016,-4.7496,-5.0072,88.450,
0.0016,-4.6497,-5.0072,89.607,
0.0013,-4.5498,-5.0073,89.193,
0.0012,-4.4499,-5.0073,89.646,
0.0012,-4.35,-5.0073,90.066,
0.0011,-4.2498,-5.0073,90.432,
0.0011,-4.1497,-5.0074,90.700,
0.0011,-4.0498,-5.0074,91.045,
0.0008,-3.9499,-5.0074,91.615,
0.0007,-3.8497,-5.0075,91.709,
0.0007,-3.7498,-5.0075,92.442,
0.0006,-3.6499,-5.0075,92.267,
0.0006,-3.5498,-5.0075,92.974,
0.0004,-3.4496,-5.0076,93.052,
0.0002,-3.3497,-5.0076,93.390,
0.0002,-3.2498,-5.0076,93.478,
0.0002,-3.1496,-5.0077,94.138,
0.0001,-3.0497,-5.0077,94.086,
0.0001,-2.9498,-5.0077,94.292,
0.0001,-2.8497,-5.0077,94.188,
0,-2.7498,-5.0078,94.727,
0.0002,-2.6499,-5.0078,95.119,
0.0003,-2.5497,-5.0078,96.114,
0.0004,-2.4498,-5.0079,96.272,
0.0005,-2.3499,-5.0079,96.196,
0.0005,-2.2497,-5.0079,96.770,
0.0006,-2.1496,-5.0079,96.764,
0.0007,-2.0497,-5.008,97.043,
0.0007,-1.9498,-5.008,97.181,
0.0007,-1.8496,-5.008,97.202,
0.0006,-1.7497,-5.0081,97.810,
0.0006,-1.6498,-5.0081,97.507,
