HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Edge SN 81643035
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,81643035
Manufacturer,Sun
Model,EDGE
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.821,[pA]
Reference detector,-0.889,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-01T16:46:41.8542648-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,4.15,[cm]
Field size inline,4.15,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-3.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,3.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,70000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.007121,[cm]
Calculated field width,4.093248,[cm]
Calculated penumbra left,0.347285,[cm]
Calculated penumbra right,0.437425,[cm]
Calculated symmetry,5.086,[%]
Normalisation factor,0.005298,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-3.4498,0.0004,-5.001,-2.427,
-3.3499,0.0007,-5.0019,-2.649,
-3.2499,0.0008,-5.0019,-2.861,
-3.1499,0.0011,-5.0018,-3.073,
-3.05,0.001,-5.0018,-3.396,
-2.95,0.001,-5.0017,-3.714,
-2.85,0.0009,-5.0017,-4.160,
-2.7499,0.0008,-5.0016,-4.666,
-2.6499,0.0007,-5.0016,-5.303,
-2.5498,0.0007,-5.0015,-6.346,
-2.4499,0.0006,-5.0015,-7.760,
-2.35,0.0005,-5.0014,-10.180,
-2.25,0.0004,-5.0014,-15.282,
-2.15,0.0003,-5.0013,-27.318,
-2.0499,0.0003,-5.0013,-47.842,
-1.9498,0.0002,-5.0012,-68.623,
-1.8498,0.0001,-5.0012,-81.809,
-1.7498,0,-5.0011,-88.287,
-1.6499,0,-5.0011,-92.102,
-1.55,-0.0001,-5.001,-93.714,
-1.4499,-0.0002,-5.001,-95.561,
-1.3499,-0.0003,-5.0009,-96.594,
-1.2499,-0.0003,-5.0009,-97.162,
-1.1499,-0.0004,-5.0008,-97.436,
-1.05,-0.0005,-5.0008,-98.166,
-0.95,-0.0006,-5.0007,-98.629,
-0.85,-0.0007,-5.0007,-99.118,
-0.7499,-0.0007,-5.0006,-99.053,
-0.6499,-0.0008,-5.0006,-99.558,
-0.5498,-0.0009,-5.0005,-99.938,
-0.4499,-0.001,-5.0005,-99.980,
-0.35,-0.001,-5.0004,-99.806,
-0.25,-0.0011,-5.0004,-99.947,
-0.15,-0.0012,-5.0003,-100.000,
-0.0499,-0.0013,-5.0003,-99.971,
0.0501,-0.0012,-5.0002,-99.499,
0.1501,-0.0012,-5.0002,-99.711,
0.25,-0.0012,-5.0002,-99.458,
0.35,-0.0011,-5.0002,-99.739,
0.4501,-0.0011,-5.0002,-99.473,
0.5501,-0.001,-5.0002,-99.053,
0.65,-0.001,-5.0002,-98.929,
0.7501,-0.001,-5.0002,-98.401,
0.8501,-0.0009,-5.0002,-98.621,
0.9501,-0.0009,-5.0002,-97.978,
1.05,-0.0008,-5.0002,-97.523,
1.1501,-0.0008,-5.0002,-97.251,
1.2502,-0.0007,-5.0002,-96.501,
1.3501,-0.0007,-5.0002,-96.032,
1.45,-0.0007,-5.0001,-94.775,
1.5501,-0.0006,-5.0001,-93.250,
1.6502,-0.0006,-5.0001,-90.972,
1.7501,-0.0005,-5.0001,-86.310,
1.85,-0.0005,-5.0001,-78.351,
1.9501,-0.0005,-5.0001,-66.745,
2.0502,-0.0004,-5.0001,-50.604,
2.1501,-0.0004,-5.0001,-33.587,
2.25,-0.0003,-5.0001,-21.316,
2.3501,-0.0003,-5.0001,-13.443,
2.4501,-0.0002,-5.0001,-8.944,
2.55,-0.0002,-5.0001,-6.551,
2.65,-0.0002,-5.0001,-5.396,
2.7501,-0.0001,-5.0001,-4.709,
2.8501,-0.0001,-5.0001,-4.266,
2.95,0,-5.0001,-3.963,
3.0501,0,-5,-3.620,
3.1501,0,-5,-3.396,
3.2501,0.0001,-5,-3.179,
3.35,0.0001,-5,-2.996,
3.4501,0.0002,-5,-2.773,

Checksum:,5C214DAB1FB86FFFB4F90C5AD39326202502FA994932F8CA76F0BE41EF16844E
