HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Edge SN 81643035
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,81643035
Manufacturer,Sun
Model,EDGE
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.821,[pA]
Reference detector,-0.889,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-01T18:43:40.8958529-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,27.2,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-14.5,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,14.5,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,290000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.045001,[cm]
Calculated field width,23.924359,[cm]
Calculated penumbra left,4.942074,[cm]
Calculated penumbra right,4.947944,[cm]
Calculated symmetry,0.502,[%]
Normalisation factor,0.004577,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0027,-14.4504,-5.0082,-5.412,
-0.0018,-14.3497,-5.0163,-5.508,
-0.0011,-14.25,-5.0163,-5.667,
-0.0005,-14.15,-5.0162,-5.762,
0.0002,-14.05,-5.0161,-5.928,
0.0009,-13.95,-5.016,-6.067,
0.0015,-13.85,-5.0159,-6.237,
0.0022,-13.75,-5.0158,-6.407,
0.0029,-13.65,-5.0158,-6.564,
0.0035,-13.55,-5.0157,-6.751,
0.0038,-13.45,-5.0156,-6.930,
0.0038,-13.35,-5.0155,-7.199,
0.0039,-13.25,-5.0154,-7.372,
0.004,-13.1499,-5.0153,-7.595,
0.0041,-13.0499,-5.0153,-7.825,
0.004,-12.9499,-5.0152,-8.149,
0.0039,-12.8499,-5.0151,-8.439,
0.0039,-12.7499,-5.015,-8.773,
0.0038,-12.6499,-5.0149,-9.317,
0.0037,-12.5498,-5.0149,-9.957,
0.0037,-12.4498,-5.0148,-11.082,
0.0036,-12.3498,-5.0147,-13.212,
0.0035,-12.2497,-5.0146,-17.463,
0.0033,-12.1497,-5.0145,-25.881,
0.0031,-12.0497,-5.0144,-37.839,
0.003,-11.9497,-5.0144,-47.864,
0.0029,-11.8497,-5.0143,-54.432,
0.0029,-11.7497,-5.0142,-58.469,
0.0028,-11.6497,-5.0141,-60.624,
0.0027,-11.5497,-5.014,-62.107,
0.0028,-11.4497,-5.0139,-62.674,
0.0029,-11.3497,-5.0139,-63.570,
0.0028,-11.2497,-5.0138,-64.147,
0.0028,-11.1497,-5.0137,-64.669,
0.0027,-11.0496,-5.0136,-65.244,
0.0026,-10.9496,-5.0135,-65.708,
0.0026,-10.8496,-5.0134,-66.324,
0.0025,-10.7496,-5.0134,-66.511,
0.0024,-10.6496,-5.0133,-66.811,
0.0023,-10.5496,-5.0132,-67.464,
0.0023,-10.4496,-5.0131,-67.908,
0.0022,-10.3495,-5.013,-68.399,
0.0021,-10.2495,-5.013,-68.507,
0.0021,-10.1495,-5.0129,-68.924,
0.002,-10.0495,-5.0128,-69.481,
0.0019,-9.9495,-5.0127,-69.654,
0.0019,-9.8495,-5.0126,-70.066,
0.0018,-9.7495,-5.0125,-70.551,
0.0017,-9.6495,-5.0125,-70.957,
0.0014,-9.5495,-5.0124,-71.256,
0.0013,-9.4495,-5.0123,-71.505,
0.001,-9.3495,-5.0122,-72.129,
0.0008,-9.2495,-5.0121,-72.391,
0.0008,-9.1497,-5.012,-73.065,
0.0007,-9.05,-5.012,-73.095,
0.0006,-8.95,-5.0119,-73.704,
0.0006,-8.85,-5.0118,-74.001,
0.0003,-8.75,-5.0117,-74.254,
0.0001,-8.65,-5.0116,-74.710,
0,-8.5499,-5.0115,-75.011,
0,-8.4499,-5.0115,-75.702,
-0.0001,-8.3499,-5.0114,-75.604,
-0.0004,-8.2499,-5.0113,-76.216,
-0.0005,-8.1499,-5.0112,-76.335,
-0.0006,-8.0499,-5.0111,-77.053,
-0.0007,-7.9499,-5.0111,-77.455,
-0.0007,-7.8498,-5.011,-77.703,
-0.0007,-7.7496,-5.0111,-78.098,
-0.001,-7.6497,-5.0111,-78.575,
