HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Edge SN 81643035
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,81643035
Manufacturer,Sun
Model,EDGE
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.821,[pA]
Reference detector,-0.889,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-01T17:38:32.3387376-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,14.94,[cm]
Field size inline,14.94,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-8.5,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,8.5,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,170000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-3.733084,[cm]
Calculated field width,7.466168,[cm]
Calculated penumbra left,1.450654,[cm]
Calculated penumbra right,6.357707,[cm]
Calculated symmetry,17.905,[%]
Normalisation factor,0.004727,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0011,-8.45,-5.0018,-7.462,
0.0014,-8.3499,-5.0037,-7.680,
0.0015,-8.2499,-5.0036,-8.113,
0.0016,-8.1499,-5.0035,-8.645,
0.0016,-8.0499,-5.0034,-9.453,
0.0017,-7.9499,-5.0034,-11.163,
0.0018,-7.8498,-5.0033,-13.874,
0.0019,-7.7496,-5.0034,-18.883,
0.002,-7.6497,-5.0034,-27.271,
0.002,-7.5498,-5.0034,-39.192,
0.0019,-7.4496,-5.0035,-52.141,
0.0019,-7.3497,-5.0035,-61.713,
0.0019,-7.2499,-5.0035,-67.604,
0.0016,-7.1497,-5.0035,-71.142,
0.0015,-7.0498,-5.0036,-73.314,
0.0015,-6.9499,-5.0036,-74.827,
0.0012,-6.8497,-5.0036,-76.025,
0.0011,-6.7498,-5.0036,-76.938,
0.0011,-6.65,-5.0037,-77.456,
0.001,-6.5498,-5.0037,-78.078,
0.001,-6.4496,-5.0037,-78.931,
0.001,-6.3497,-5.0037,-79.474,
0.0009,-6.2498,-5.0038,-80.294,
0.0009,-6.1496,-5.0038,-80.950,
0.0009,-6.0497,-5.0038,-81.160,
0.0008,-5.9499,-5.0039,-81.685,
0.0008,-5.8497,-5.0039,-82.291,
0.0008,-5.7498,-5.0039,-82.746,
0.0007,-5.6499,-5.0039,-83.429,
0.0007,-5.5497,-5.004,-83.766,
0.0007,-5.4498,-5.004,-84.283,
0.0008,-5.3499,-5.004,-84.593,
0.0009,-5.2498,-5.004,-84.988,
0.0009,-5.1496,-5.0041,-85.666,
0.0008,-5.0497,-5.0041,-86.137,
0.0008,-4.9498,-5.0041,-86.402,
0.0008,-4.8496,-5.0041,-87.005,
0.0009,-4.7497,-5.0042,-87.440,
0.001,-4.6498,-5.0042,-87.672,
0.001,-4.5497,-5.0042,-88.359,
0.0011,-4.4498,-5.0043,-88.544,
0.0012,-4.3499,-5.0043,-88.948,
0.0012,-4.2497,-5.0043,-89.257,
0.0011,-4.1498,-5.0043,-89.832,
0.0011,-4.0499,-5.0044,-90.292,
0.0013,-3.9498,-5.0044,-90.724,
0.0014,-3.8496,-5.0044,-90.719,
0.0013,-3.7497,-5.0044,-91.310,
0.0013,-3.6498,-5.0045,-91.617,
0.0013,-3.5496,-5.0045,-91.946,
0.0012,-3.4497,-5.0045,-92.175,
0.0014,-3.3498,-5.0045,-92.763,
0.0015,-3.2496,-5.0046,-93.004,
0.0014,-3.1497,-5.0046,-93.031,
0.0014,-3.0498,-5.0046,-93.658,
0.0014,-2.9496,-5.0047,-94.193,
0.0013,-2.8497,-5.0047,-94.278,
0.0013,-2.7498,-5.0047,-94.700,
0.0013,-2.6496,-5.0047,-94.980,
0.0012,-2.5497,-5.0048,-94.926,
0.0012,-2.4499,-5.0048,-95.445,
0.0012,-2.3497,-5.0048,-95.710,
0.0011,-2.2498,-5.0048,-96.098,
0.0011,-2.1499,-5.0049,-96.324,
0.0011,-2.0497,-5.0049,-96.294,
0.001,-1.9498,-5.0049,-96.845,
0.001,-1.85,-5.0049,-96.873,
