HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Edge SN 81643035
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,81643035
Manufacturer,Sun
Model,EDGE
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.821,[pA]
Reference detector,-0.889,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-01T16:31:53.6426438-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,3.32,[cm]
Field size inline,3.32,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-3,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,3,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,60000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.005834,[cm]
Calculated field width,3.241635,[cm]
Calculated penumbra left,0.327065,[cm]
Calculated penumbra right,0.415294,[cm]
Calculated symmetry,4.645,[%]
Normalisation factor,0.005429,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-2.95,0,-5.0008,-2.003,
-2.85,0.0003,-5.0016,-2.198,
-2.7499,0.0004,-5.0015,-2.371,
-2.6499,0.0007,-5.0015,-2.624,
-2.5498,0.0007,-5.0014,-2.953,
-2.4499,0.0006,-5.0014,-3.339,
-2.35,0.0005,-5.0013,-3.793,
-2.25,0.0004,-5.0013,-4.388,
-2.15,0.0003,-5.0012,-5.212,
-2.0499,0.0003,-5.0012,-6.526,
-1.9498,0.0002,-5.0011,-8.651,
-1.8498,0.0001,-5.0011,-12.939,
-1.7498,0,-5.001,-22.695,
-1.6499,0,-5.001,-41.977,
-1.55,-0.0001,-5.0009,-64.932,
-1.4499,-0.0002,-5.0009,-80.070,
-1.3499,-0.0003,-5.0008,-88.409,
-1.2499,-0.0003,-5.0008,-92.679,
-1.1499,-0.0004,-5.0007,-95.272,
-1.05,-0.0005,-5.0007,-96.624,
-0.95,-0.0006,-5.0006,-97.713,
-0.85,-0.0007,-5.0006,-98.332,
-0.7499,-0.0007,-5.0005,-98.883,
-0.6499,-0.0008,-5.0005,-99.027,
-0.5498,-0.0009,-5.0004,-99.969,
-0.4499,-0.001,-5.0004,-99.507,
-0.35,-0.001,-5.0003,-100.000,
-0.25,-0.0011,-5.0003,-99.962,
-0.15,-0.0012,-5.0002,-99.930,
-0.0499,-0.0013,-5.0002,-99.685,
0.0501,-0.0012,-5.0002,-99.498,
0.1501,-0.0012,-5.0001,-99.482,
0.25,-0.0012,-5.0001,-99.246,
0.35,-0.0011,-5.0001,-99.209,
0.4501,-0.0011,-5.0001,-98.628,
0.5501,-0.001,-5.0001,-98.875,
0.65,-0.001,-5.0001,-98.580,
0.7501,-0.001,-5.0001,-97.875,
0.8501,-0.0009,-5.0001,-97.534,
0.9501,-0.0009,-5.0001,-96.944,
1.05,-0.0008,-5.0001,-96.057,
1.1501,-0.0008,-5.0001,-94.143,
1.2502,-0.0007,-5.0001,-91.596,
1.3501,-0.0007,-5.0001,-85.950,
1.45,-0.0007,-5.0001,-76.997,
1.5501,-0.0006,-5.0001,-63.397,
1.6502,-0.0006,-5,-45.879,
1.7501,-0.0005,-5,-29.382,
1.85,-0.0005,-5,-17.908,
1.9501,-0.0005,-5,-10.993,
2.0502,-0.0004,-5,-7.108,
2.1501,-0.0004,-5,-5.241,
2.25,-0.0003,-5,-4.344,
2.3501,-0.0003,-5,-3.766,
2.4501,-0.0002,-5,-3.420,
2.55,-0.0002,-5,-3.102,
2.65,-0.0002,-5,-2.886,
2.7501,-0.0001,-5,-2.662,
2.8501,-0.0001,-5,-2.461,
2.95,0,-5,-2.309,

Checksum:,2FE3CB867E704242DC48B3AC59D1E78F7E347D496D84195A701FA2A9A914B737
