HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Pinpoint 3D MR Safe
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,200613
Manufacturer,PTW
Model,Pinpoint 3D MR Safe
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.83,[pA]
Reference detector,-0.908,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-08T19:39:43.2848586-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,24.07,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-14,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,14,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.00,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,280000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.020272,[cm]
Calculated field width,23.829130,[cm]
Calculated penumbra left,5.012333,[cm]
Calculated penumbra right,5.577729,[cm]
Calculated symmetry,2.218,[%]
Normalisation factor,0.472823,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0021,-13.9498,-5.0072,-6.059,
-0.0012,-13.8495,-5.0143,-6.251,
0,-13.7497,-5.0142,-6.422,
0.0013,-13.65,-5.0141,-6.564,
0.0052,-13.55,-5.014,-6.690,
0.0083,-13.45,-5.0139,-6.961,
0.0082,-13.35,-5.0139,-7.149,
0.0079,-13.25,-5.0138,-7.440,
0.0076,-13.15,-5.0137,-7.647,
0.0074,-13.05,-5.0136,-7.981,
0.0073,-12.95,-5.0135,-8.331,
0.0073,-12.85,-5.0134,-8.748,
0.0072,-12.75,-5.0134,-9.352,
0.0071,-12.65,-5.0133,-10.023,
0.0071,-12.55,-5.0132,-11.256,
0.007,-12.45,-5.0131,-13.001,
0.0069,-12.35,-5.013,-16.134,
0.0068,-12.25,-5.013,-21.503,
0.0068,-12.15,-5.0129,-29.332,
0.0067,-12.05,-5.0128,-38.375,
0.0066,-11.95,-5.0127,-46.615,
0.0066,-11.85,-5.0126,-52.691,
0.0063,-11.7499,-5.0125,-56.993,
0.006,-11.6499,-5.0125,-59.692,
0.0058,-11.5498,-5.0124,-61.499,
0.0056,-11.4498,-5.0123,-62.880,
0.0053,-11.3497,-5.0122,-63.815,
0.0052,-11.2497,-5.0121,-64.439,
0.0051,-11.1497,-5.012,-65.096,
0.0048,-11.0497,-5.012,-65.583,
0.0046,-10.9497,-5.0119,-66.125,
0.0046,-10.8497,-5.0118,-66.433,
0.0045,-10.7497,-5.0117,-66.771,
0.0044,-10.6497,-5.0116,-67.332,
0.0044,-10.5497,-5.0115,-67.762,
0.0043,-10.4497,-5.0115,-68.071,
0.0042,-10.3497,-5.0114,-68.550,
0.0042,-10.2497,-5.0113,-68.754,
0.0041,-10.1497,-5.0112,-69.385,
0.004,-10.0497,-5.0111,-69.597,
0.004,-9.9497,-5.0111,-70.003,
0.0034,-9.8497,-5.011,-70.439,
0.0027,-9.7497,-5.0109,-70.761,
0.0024,-9.6497,-5.0108,-71.015,
0.0024,-9.5496,-5.0107,-71.387,
0.0025,-9.4496,-5.0106,-72.034,
0.0028,-9.3496,-5.0106,-72.271,
0.0029,-9.2496,-5.0105,-72.448,
0.0029,-9.1495,-5.0104,-72.867,
0.003,-9.0495,-5.0103,-73.211,
0.003,-8.9495,-5.0102,-73.910,
0.0029,-8.8495,-5.0101,-74.335,
0.0028,-8.7495,-5.0101,-74.739,
0.0028,-8.6495,-5.01,-74.649,
0.0027,-8.5495,-5.0099,-75.305,
0.0026,-8.4495,-5.0098,-75.603,
0.0025,-8.3495,-5.0097,-75.852,
0.0025,-8.2495,-5.0096,-76.262,
0.0024,-8.1495,-5.0096,-76.669,
0.0023,-8.0495,-5.0095,-77.062,
0.0023,-7.9495,-5.0094,-77.402,
0.0022,-7.8495,-5.0093,-77.655,
0.0021,-7.7495,-5.0092,-78.165,
0.0019,-7.6497,-5.0091,-78.592,
0.0017,-7.55,-5.0091,-78.833,
0.0016,-7.45,-5.009,-79.405,
0.0016,-7.35,-5.0089,-79.643,
0.0015,-7.25,-5.0088,-80.066,
0.0014,-7.15,-5.0087,-80.147,
0.0014,-7.05,-5.0087,-80.891,
0.0013,-6.95,-5.0086,-81.064,
0.0012,-6.85,-5.0085,-81.469,
0.0011,-6.75,-5.0084,-81.673,
0.0011,-6.6499,-5.0084,-82.071,
0.0011,-6.5497,-5.0084,-82.363,
0.001,-6.4498,-5.0084,-82.773,
0.001,-6.3499,-5.0084,-83.216,
0.001,-6.2497,-5.0085,-83.700,
0.0009,-6.1498,-5.0085,-84.093,
0.0009,-6.05,-5.0085,-84.386,
0.0009,-5.9498,-5.0085,-84.643,
0.0008,-5.8496,-5.0086,-85.034,
0.0008,-5.7497,-5.0086,-85.277,
0.0006,-5.6498,-5.0086,-85.666,
0.0004,-5.5496,-5.0086,-86.286,
0.0004,-5.4497,-5.0087,-86.556,
0.0004,-5.3499,-5.0087,-86.718,
0.0003,-5.2497,-5.0087,-87.312,
0.0001,-5.1498,-5.0088,-87.540,
-0.0001,-5.0499,-5.0088,-87.871,
-0.0002,-4.9497,-5.0088,-88.094,
-0.0002,-4.8498,-5.0088,-88.464,
-0.0002,-4.75,-5.0089,-88.816,
-0.0005,-4.6498,-5.0089,-89.356,
-0.0006,-4.5496,-5.0089,-89.700,
-0.0006,-4.4497,-5.0089,-89.840,
-0.0009,-4.3498,-5.009,-90.475,
-0.001,-4.2496,-5.009,-90.729,
-0.001,-4.1497,-5.009,-90.923,
-0.0011,-4.0499,-5.009,-91.168,
