HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Pinpoint 3D MR Safe
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,200613
Manufacturer,PTW
Model,Pinpoint 3D MR Safe
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.83,[pA]
Reference detector,-0.908,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-08T18:37:18.9955910-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-6.5,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,6.5,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.00,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,130000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.014467,[cm]
Calculated field width,10.061861,[cm]
Calculated penumbra left,0.708854,[cm]
Calculated penumbra right,0.729586,[cm]
Calculated symmetry,0.770,[%]
Normalisation factor,0.502840,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0006,-6.4501,-5.0004,-5.168,
0.0014,-6.3499,-5.0008,-5.308,
0.0015,-6.2497,-5.0009,-5.618,
0.0017,-6.1498,-5.0009,-5.881,
0.0018,-6.05,-5.0009,-6.154,
0.0017,-5.9498,-5.0009,-6.660,
0.0017,-5.8496,-5.001,-7.090,
0.0017,-5.7497,-5.001,-7.825,
0.0016,-5.6498,-5.001,-8.797,
0.0016,-5.5496,-5.001,-10.315,
0.0016,-5.4497,-5.0011,-12.806,
0.0015,-5.3499,-5.0011,-17.194,
0.0015,-5.2497,-5.0011,-24.179,
0.0015,-5.1498,-5.0011,-34.072,
0.0014,-5.0499,-5.0012,-46.158,
0.0014,-4.9497,-5.0012,-57.672,
0.0012,-4.8498,-5.0012,-67.146,
0.001,-4.75,-5.0012,-73.950,
0.001,-4.6498,-5.0013,-78.466,
0.001,-4.5496,-5.0013,-81.603,
0.0007,-4.4497,-5.0013,-83.335,
0.0006,-4.3498,-5.0013,-85.009,
0.0006,-4.2496,-5.0014,-86.332,
0.0005,-4.1497,-5.0014,-86.911,
0.0007,-4.0499,-5.0014,-87.818,
0.0008,-3.9497,-5.0014,-88.590,
0.0009,-3.8498,-5.0015,-89.024,
0.001,-3.7499,-5.0015,-89.520,
0.0011,-3.6497,-5.0015,-90.033,
0.0012,-3.5498,-5.0015,-90.538,
0.0012,-3.4499,-5.0016,-91.206,
0.0012,-3.3498,-5.0016,-91.576,
0.0013,-3.2496,-5.0016,-91.974,
0.0014,-3.1497,-5.0016,-92.617,
0.0014,-3.0498,-5.0017,-92.824,
0.0013,-2.9496,-5.0017,-93.358,
0.0013,-2.8497,-5.0017,-93.601,
0.0013,-2.7498,-5.0017,-93.979,
0.0014,-2.6497,-5.0018,-94.047,
0.0016,-2.5498,-5.0018,-94.678,
0.0016,-2.4499,-5.0018,-94.987,
0.0015,-2.3497,-5.0018,-95.380,
0.0015,-2.2498,-5.0019,-95.904,
0.0016,-2.1499,-5.0019,-95.967,
0.0017,-2.0497,-5.0019,-96.522,
0.0017,-1.9498,-5.0019,-96.510,
0.0017,-1.8499,-5.002,-97.112,
0.0016,-1.7497,-5.002,-97.088,
0.0016,-1.6498,-5.002,-97.384,
0.0016,-1.5499,-5.002,-97.426,
0.0015,-1.4497,-5.0021,-97.634,
0.0015,-1.3496,-5.0021,-98.278,
0.0015,-1.2497,-5.0021,-98.412,
0.0014,-1.1498,-5.0022,-98.567,
0.0012,-1.0496,-5.0022,-98.781,
0.0011,-0.9497,-5.0022,-98.852,
0.0011,-0.8498,-5.0022,-99.429,
0.0012,-0.7496,-5.0023,-99.575,
0.0013,-0.6497,-5.0023,-99.477,
0.0011,-0.5499,-5.0023,-99.575,
0.0009,-0.4497,-5.0023,-99.535,
0.0009,-0.3498,-5.0024,-99.605,
0.0009,-0.2499,-5.0024,-99.814,
0.0008,-0.1497,-5.0024,-99.496,
0.001,-0.0498,-5.0024,-99.789,
0.0011,0.05,-5.0025,-99.878,
0.001,0.1502,-5.0025,-100.000,
0.001,0.2504,-5.0025,-99.502,
0.001,0.3503,-5.0025,-99.672,
0.0007,0.4502,-5.0026,-99.635,
0.0006,0.5504,-5.0026,-99.349,
0.0006,0.6503,-5.0026,-99.514,
0.0005,0.7501,-5.0026,-98.993,
0.0005,0.8503,-5.0027,-99.347,
0.0005,0.9502,-5.0027,-98.822,
0.0004,1.0501,-5.0027,-98.926,
0.0004,1.1503,-5.0027,-98.495,
0.0004,1.2502,-5.0028,-98.608,
0.0003,1.35,-5.0028,-98.294,
0.0003,1.4502,-5.0028,-97.813,
0.0003,1.5504,-5.0028,-98.120,
0.0002,1.6503,-5.0029,-97.738,
0.0002,1.7502,-5.0029,-97.287,
0.0002,1.8504,-5.0029,-97.477,
0.0001,1.9503,-5.0029,-97.001,
0.0001,2.0501,-5.003,-96.648,
0.0001,2.1503,-5.003,-96.217,
0,2.2502,-5.003,-96.373,
0,2.3501,-5.003,-95.624,
0,2.4503,-5.0031,-95.319,
-0.0001,2.5502,-5.0031,-94.987,
-0.0001,2.6501,-5.0031,-94.753,
0.0001,2.7502,-5.0031,-94.251,
0.0002,2.8501,-5.0031,-94.053,
0.0002,2.9501,-5.003,-93.674,
0,3.0502,-5.0029,-92.932,
-0.0001,3.1502,-5.0028,-92.659,
-0.0001,3.2502,-5.0027,-92.269,
-0.0001,3.3503,-5.0027,-91.879,
-0.0001,3.4503,-5.0026,-91.471,
-0.0001,3.5503,-5.0025,-90.883,
0.0001,3.6504,-5.0024,-90.196,
0.0002,3.7504,-5.0023,-89.701,
0.0002,3.8504,-5.0022,-89.178,
0.0001,3.9503,-5.0022,-88.603,
0.0001,4.05,-5.0021,-87.982,
0.0001,4.15,-5.002,-87.142,
-0.0001,4.25,-5.0019,-85.985,
-0.0002,4.3501,-5.0018,-84.919,
-0.0002,4.4501,-5.0017,-83.767,
-0.0002,4.5501,-5.0017,-81.568,
-0.0002,4.6502,-5.0016,-78.979,
-0.0002,4.7502,-5.0015,-75.040,
-0.0002,4.8502,-5.0014,-69.067,
-0.0002,4.9503,-5.0013,-60.495,
-0.0002,5.0503,-5.0012,-49.459,
-0.0002,5.1503,-5.0012,-37.465,
-0.0002,5.2503,-5.0011,-27.018,
-0.0002,5.3504,-5.001,-19.214,
-0.0002,5.4504,-5.0009,-14.030,
-0.0002,5.5504,-5.0008,-10.879,
0,5.6505,-5.0007,-8.952,
0.0001,5.7505,-5.0007,-7.796,
0.0001,5.8503,-5.0006,-6.907,
0.0001,5.95,-5.0005,-6.342,
0.0001,6.05,-5.0004,-5.893,
0.0001,6.15,-5.0003,-5.523,
0.0001,6.2501,-5.0002,-5.226,
0.0001,6.3502,-5.0002,-4.960,
0.0001,6.4499,-5.0001,-4.595,

Checksum:,9EA4EE2AA4D1140572314FB3F414C3FA2CE32862767C693926FA87DBF3988C80
