HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Pinpoint 3D MR Safe
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,200613
Manufacturer,PTW
Model,Pinpoint 3D MR Safe
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.83,[pA]
Reference detector,-0.908,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-08T18:03:25.0064128-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,4.15,[cm]
Field size inline,4.15,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-3.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,3.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.00,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,70000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.004408,[cm]
Calculated field width,4.089908,[cm]
Calculated penumbra left,0.454528,[cm]
Calculated penumbra right,0.534551,[cm]
Calculated symmetry,4.475,[%]
Normalisation factor,0.542664,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-3.4497,0.0005,-5.001,-2.490,
-3.3498,0.001,-5.0021,-2.780,
-3.2499,0.0013,-5.002,-3.035,
-3.15,0.0013,-5.002,-3.409,
-3.05,0.0012,-5.0019,-3.812,
-2.9499,0.0011,-5.0019,-4.307,
-2.8499,0.001,-5.0018,-5.032,
-2.7498,0.0009,-5.0018,-5.849,
-2.6499,0.0009,-5.0017,-7.051,
-2.55,0.0008,-5.0017,-8.739,
-2.45,0.0007,-5.0016,-11.135,
-2.3499,0.0006,-5.0016,-14.973,
-2.2499,0.0006,-5.0015,-21.808,
-2.1498,0.0005,-5.0015,-33.025,
-2.0499,0.0004,-5.0014,-48.518,
-1.95,0.0003,-5.0014,-64.341,
-1.85,0.0002,-5.0013,-77.681,
-1.7499,0.0002,-5.0013,-85.920,
-1.6498,0.0001,-5.0012,-90.608,
-1.5498,0,-5.0012,-93.532,
-1.4498,-0.0001,-5.0011,-94.989,
-1.3499,-0.0001,-5.0011,-96.260,
-1.2499,-0.0002,-5.001,-97.116,
-1.1499,-0.0003,-5.0009,-97.869,
-1.0499,-0.0004,-5.0009,-97.852,
-0.95,-0.0005,-5.0008,-98.564,
-0.85,-0.0005,-5.0008,-98.786,
-0.75,-0.0006,-5.0007,-99.285,
-0.6499,-0.0007,-5.0007,-99.559,
-0.5498,-0.0008,-5.0006,-99.794,
-0.4498,-0.0008,-5.0006,-99.594,
-0.3499,-0.0009,-5.0005,-99.971,
-0.25,-0.001,-5.0005,-100.000,
-0.1499,-0.0011,-5.0004,-99.885,
-0.0499,-0.0012,-5.0004,-99.799,
0.0501,-0.0012,-5.0003,-99.820,
0.1501,-0.0012,-5.0003,-99.592,
0.25,-0.0011,-5.0003,-99.188,
0.35,-0.0011,-5.0003,-99.347,
0.4501,-0.0011,-5.0003,-99.055,
0.5502,-0.001,-5.0003,-98.734,
0.6501,-0.001,-5.0003,-98.612,
0.75,-0.001,-5.0003,-98.422,
0.8501,-0.0009,-5.0003,-98.647,
0.9502,-0.0009,-5.0002,-97.739,
1.0501,-0.0009,-5.0002,-97.540,
1.15,-0.0008,-5.0002,-96.534,
1.2501,-0.0008,-5.0002,-95.782,
1.3501,-0.0008,-5.0002,-94.678,
1.45,-0.0007,-5.0002,-93.083,
1.5501,-0.0007,-5.0002,-90.764,
1.6501,-0.0006,-5.0002,-87.526,
1.7501,-0.0006,-5.0002,-82.117,
1.85,-0.0006,-5.0002,-74.325,
1.95,-0.0005,-5.0002,-63.025,
2.0501,-0.0005,-5.0001,-49.903,
2.1501,-0.0005,-5.0001,-36.536,
2.25,-0.0004,-5.0001,-25.106,
2.3501,-0.0004,-5.0001,-16.835,
2.4501,-0.0004,-5.0001,-11.447,
2.55,-0.0003,-5.0001,-8.173,
2.65,-0.0003,-5.0001,-6.345,
2.7501,-0.0003,-5.0001,-5.303,
2.8502,-0.0002,-5.0001,-4.590,
2.9501,-0.0002,-5.0001,-4.130,
3.05,-0.0001,-5,-3.786,
3.1501,-0.0001,-5,-3.544,
3.2501,-0.0001,-5,-3.258,
3.35,0,-5,-3.035,
3.4501,0,-5,-2.803,

Checksum:,CFC9EB40A9D88C881A4AD95EAFD79F7E3EE9AEDB1CE539469F7DC57004FA156C
