HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Pinpoint 3D MR Safe
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,200613
Manufacturer,PTW
Model,Pinpoint 3D MR Safe
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.83,[pA]
Reference detector,-0.908,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-08T18:34:58.0196842-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-6.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,6.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.00,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,130000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.000226,[cm]
Calculated field width,9.813993,[cm]
Calculated penumbra left,0.653285,[cm]
Calculated penumbra right,0.730500,[cm]
Calculated symmetry,1.450,[%]
Normalisation factor,0.502215,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-6.4511,0.0011,-5.002,-4.496,
-6.3499,0.0022,-5.004,-4.775,
-6.25,0.0025,-5.0039,-5.017,
-6.1499,0.0024,-5.0039,-5.372,
-6.0499,0.0023,-5.0038,-5.711,
-5.9499,0.0022,-5.0038,-6.123,
-5.85,0.0022,-5.0037,-6.685,
-5.75,0.0021,-5.0036,-7.243,
-5.6499,0.002,-5.0036,-8.064,
-5.5499,0.0019,-5.0035,-9.194,
-5.4498,0.0019,-5.0035,-10.618,
-5.3499,0.0018,-5.0034,-12.766,
-5.25,0.0017,-5.0034,-16.197,
-5.15,0.0016,-5.0033,-22.025,
-5.0499,0.0015,-5.0033,-31.585,
-4.9499,0.0015,-5.0032,-44.455,
-4.8498,0.0014,-5.0032,-57.461,
-4.7499,0.0013,-5.0031,-68.453,
-4.65,0.0012,-5.0031,-75.413,
-4.5499,0.0012,-5.003,-79.483,
-4.4498,0.0011,-5.003,-82.291,
-4.3498,0.001,-5.0029,-84.186,
-4.2499,0.0009,-5.0029,-85.593,
-4.15,0.0008,-5.0028,-86.382,
-4.0499,0.0008,-5.0028,-87.235,
-3.9499,0.0007,-5.0027,-88.113,
-3.8499,0.0006,-5.0027,-88.871,
-3.75,0.0005,-5.0026,-89.165,
-3.65,0.0004,-5.0026,-89.629,
-3.5499,0.0004,-5.0025,-90.328,
-3.4498,0.0003,-5.0024,-91.020,
-3.3498,0.0002,-5.0024,-91.304,
-3.2499,0.0001,-5.0023,-91.863,
-3.15,0.0001,-5.0023,-91.992,
-3.05,0,-5.0022,-92.554,
-2.9499,-0.0001,-5.0022,-93.204,
-2.8499,-0.0002,-5.0021,-93.276,
-2.7498,-0.0003,-5.0021,-93.841,
-2.6499,-0.0003,-5.002,-94.107,
-2.55,-0.0004,-5.002,-94.692,
-2.45,-0.0005,-5.0019,-95.256,
-2.3499,-0.0006,-5.0019,-95.484,
-2.2499,-0.0006,-5.0018,-95.860,
-2.1499,-0.0007,-5.0018,-96.060,
-2.05,-0.0008,-5.0017,-96.624,
-1.95,-0.0009,-5.0017,-96.727,
-1.85,-0.001,-5.0016,-96.943,
-1.7499,-0.001,-5.0016,-96.919,
-1.6498,-0.0011,-5.0015,-97.493,
-1.5498,-0.0012,-5.0015,-97.750,
-1.4498,-0.0013,-5.0014,-97.757,
-1.3499,-0.0013,-5.0014,-98.031,
-1.2499,-0.0014,-5.0013,-98.266,
-1.1499,-0.0015,-5.0012,-98.451,
-1.0499,-0.0016,-5.0012,-99.168,
-0.95,-0.0017,-5.0011,-98.995,
-0.85,-0.0017,-5.0011,-99.120,
-0.75,-0.0018,-5.001,-99.358,
-0.6499,-0.0019,-5.001,-99.384,
-0.5498,-0.002,-5.0009,-99.462,
-0.4498,-0.002,-5.0009,-99.646,
-0.3499,-0.0021,-5.0008,-99.678,
-0.25,-0.0022,-5.0008,-100.000,
-0.1499,-0.0023,-5.0007,-99.579,
-0.0499,-0.0024,-5.0007,-99.388,
0.0501,-0.0024,-5.0006,-99.199,
0.1501,-0.0024,-5.0006,-99.285,
0.25,-0.0023,-5.0006,-99.557,
0.35,-0.0023,-5.0006,-99.114,
0.4501,-0.0023,-5.0006,-98.974,
0.5502,-0.0022,-5.0006,-98.910,
0.6501,-0.0022,-5.0006,-98.958,
0.75,-0.0022,-5.0006,-98.820,
0.8501,-0.0021,-5.0005,-98.632,
0.9502,-0.0021,-5.0005,-98.530,
1.0501,-0.0021,-5.0005,-98.485,
1.1501,-0.002,-5.0005,-98.145,
1.2502,-0.002,-5.0005,-97.940,
1.3501,-0.002,-5.0005,-97.895,
1.45,-0.0019,-5.0005,-97.770,
1.5501,-0.0019,-5.0005,-97.460,
1.6501,-0.0018,-5.0005,-97.252,
1.7501,-0.0018,-5.0005,-97.046,
1.85,-0.0018,-5.0004,-96.710,
1.95,-0.0017,-5.0004,-96.476,
2.0501,-0.0017,-5.0004,-96.392,
2.1501,-0.0017,-5.0004,-95.899,
2.25,-0.0016,-5.0004,-95.641,
2.3501,-0.0016,-5.0004,-95.302,
2.4501,-0.0016,-5.0004,-94.893,
2.55,-0.0015,-5.0004,-94.797,
2.65,-0.0015,-5.0004,-94.108,
2.7501,-0.0015,-5.0004,-93.978,
2.8502,-0.0014,-5.0003,-93.448,
2.9501,-0.0014,-5.0003,-93.168,
3.05,-0.0013,-5.0003,-92.611,
3.1501,-0.0013,-5.0003,-92.253,
3.2501,-0.0013,-5.0003,-91.737,
3.35,-0.0012,-5.0003,-91.359,
3.4501,-0.0012,-5.0003,-90.817,
3.5502,-0.0012,-5.0003,-90.277,
3.6501,-0.0011,-5.0003,-89.850,
3.75,-0.0011,-5.0003,-89.191,
3.8501,-0.0011,-5.0002,-88.428,
3.9501,-0.001,-5.0002,-87.658,
4.0501,-0.001,-5.0002,-86.661,
4.15,-0.001,-5.0002,-85.695,
4.25,-0.0009,-5.0002,-84.319,
4.3501,-0.0009,-5.0002,-82.845,
4.45,-0.0008,-5.0002,-80.827,
4.55,-0.0008,-5.0002,-77.671,
4.6501,-0.0008,-5.0002,-72.898,
4.75,-0.0007,-5.0002,-66.044,
4.8501,-0.0007,-5.0001,-56.472,
4.9501,-0.0007,-5.0001,-45.051,
5.0501,-0.0006,-5.0001,-33.625,
5.15,-0.0006,-5.0001,-23.995,
5.25,-0.0006,-5.0001,-16.951,
5.3501,-0.0005,-5.0001,-12.555,
5.4501,-0.0005,-5.0001,-9.877,
5.55,-0.0005,-5.0001,-8.476,
5.6501,-0.0004,-5.0001,-7.498,
5.7502,-0.0004,-5.0001,-6.915,
5.8501,-0.0003,-5,-6.455,
5.95,-0.0003,-5,-6.087,
6.0501,-0.0003,-5,-5.791,
6.1502,-0.0002,-5,-5.471,
6.2501,-0.0002,-5,-5.214,
6.35,-0.0002,-5,-4.988,
6.4501,-0.0001,-5,-4.758,

Checksum:,EA88302C6417B7224916B68431D1746B555CFE1F8D5615F064992B84A8D0D30E
