HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,PinPoint 3D
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,152781
Manufacturer,PTW
Model,Pinpoint 3D
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.844,[pA]
Reference detector,-0.89,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-14T18:28:05.0358934-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-6.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,6.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,130000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.006131,[cm]
Calculated field width,9.812590,[cm]
Calculated penumbra left,0.647027,[cm]
Calculated penumbra right,0.722521,[cm]
Calculated symmetry,1.493,[%]
Normalisation factor,0.515101,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-6.4515,0.001,-5.002,-4.358,
-6.35,0.0024,-5.004,-4.573,
-6.25,0.0027,-5.0039,-4.871,
-6.1499,0.0026,-5.0039,-5.169,
-6.0499,0.0025,-5.0038,-5.517,
-5.9498,0.0024,-5.0038,-5.975,
-5.8499,0.0024,-5.0037,-6.486,
-5.75,0.0023,-5.0037,-7.136,
-5.65,0.0022,-5.0036,-7.958,
-5.5499,0.0021,-5.0035,-9.032,
-5.4499,0.0021,-5.0035,-10.499,
-5.3498,0.002,-5.0034,-12.545,
-5.2499,0.0019,-5.0034,-15.822,
-5.15,0.0018,-5.0033,-21.520,
-5.0499,0.0017,-5.0033,-30.967,
-4.9499,0.0017,-5.0032,-43.514,
-4.8499,0.0016,-5.0032,-56.555,
-4.7499,0.0015,-5.0031,-67.514,
-4.65,0.0014,-5.0031,-74.954,
-4.5499,0.0014,-5.003,-79.417,
-4.4499,0.0013,-5.003,-82.290,
-4.3499,0.0012,-5.0029,-83.900,
-4.25,0.0011,-5.0029,-85.231,
-4.15,0.001,-5.0028,-86.309,
-4.0499,0.001,-5.0028,-87.250,
-3.9498,0.0009,-5.0027,-88.141,
-3.8498,0.0008,-5.0027,-88.397,
-3.7499,0.0007,-5.0026,-89.008,
-3.65,0.0007,-5.0026,-89.467,
-3.5499,0.0006,-5.0025,-90.456,
-3.4499,0.0005,-5.0025,-90.987,
-3.3499,0.0004,-5.0024,-91.206,
-3.2498,0.0003,-5.0023,-91.812,
-3.1499,0.0003,-5.0023,-92.209,
-3.05,0.0002,-5.0022,-92.719,
-2.95,0.0001,-5.0022,-92.941,
-2.8499,0,-5.0021,-93.584,
-2.7498,-0.0001,-5.0021,-93.939,
-2.6499,-0.0001,-5.002,-94.445,
-2.55,-0.0002,-5.002,-94.733,
-2.45,-0.0003,-5.0019,-95.291,
-2.35,-0.0004,-5.0019,-95.539,
-2.2499,-0.0004,-5.0018,-95.813,
-2.1498,-0.0005,-5.0018,-96.168,
-2.0499,-0.0006,-5.0017,-96.623,
-1.95,-0.0007,-5.0017,-96.868,
-1.8499,-0.0008,-5.0016,-97.200,
-1.7499,-0.0008,-5.0016,-97.562,
-1.6499,-0.0009,-5.0015,-97.627,
-1.5499,-0.001,-5.0015,-97.568,
-1.45,-0.0011,-5.0014,-97.813,
-1.35,-0.0011,-5.0014,-98.565,
-1.25,-0.0012,-5.0013,-98.386,
-1.1499,-0.0013,-5.0013,-98.827,
-1.0498,-0.0014,-5.0012,-98.996,
-0.9498,-0.0015,-5.0011,-99.274,
-0.8499,-0.0015,-5.0011,-99.463,
-0.75,-0.0016,-5.001,-99.573,
-0.6499,-0.0017,-5.001,-99.381,
-0.5499,-0.0018,-5.0009,-99.724,
-0.4498,-0.0018,-5.0009,-99.832,
-0.3499,-0.0019,-5.0008,-100.000,
-0.25,-0.002,-5.0008,-99.790,
-0.15,-0.0021,-5.0007,-99.644,
-0.0499,-0.0022,-5.0007,-99.752,
0.0501,-0.0022,-5.0006,-99.423,
0.1501,-0.0022,-5.0006,-99.527,
0.2501,-0.0021,-5.0006,-99.296,
0.35,-0.0021,-5.0006,-99.225,
0.4501,-0.0021,-5.0006,-99.210,
0.5501,-0.002,-5.0006,-99.308,
0.6501,-0.002,-5.0006,-99.085,
0.75,-0.002,-5.0006,-98.799,
0.8501,-0.0019,-5.0005,-98.878,
0.9502,-0.0019,-5.0005,-98.683,
1.0501,-0.0019,-5.0005,-98.698,
1.15,-0.0018,-5.0005,-98.377,
1.2501,-0.0018,-5.0005,-98.374,
1.3502,-0.0018,-5.0005,-97.732,
1.4501,-0.0017,-5.0005,-97.704,
1.55,-0.0017,-5.0005,-97.749,
1.6501,-0.0016,-5.0005,-97.420,
1.7501,-0.0016,-5.0005,-97.158,
1.85,-0.0016,-5.0004,-96.996,
1.95,-0.0015,-5.0004,-96.493,
2.0501,-0.0015,-5.0004,-96.414,
2.1501,-0.0015,-5.0004,-96.094,
2.25,-0.0014,-5.0004,-95.723,
2.35,-0.0014,-5.0004,-95.445,
2.4501,-0.0014,-5.0004,-95.096,
2.5501,-0.0013,-5.0004,-94.935,
2.65,-0.0013,-5.0004,-94.688,
2.7501,-0.0013,-5.0004,-94.245,
2.8501,-0.0012,-5.0003,-93.736,
2.9501,-0.0012,-5.0003,-93.228,
3.05,-0.0012,-5.0003,-92.971,
3.1501,-0.0011,-5.0003,-92.128,
3.2502,-0.0011,-5.0003,-91.896,
3.3501,-0.001,-5.0003,-91.507,
3.45,-0.001,-5.0003,-90.764,
3.5501,-0.001,-5.0003,-90.492,
3.6502,-0.0009,-5.0003,-90.027,
3.7501,-0.0009,-5.0003,-89.271,
3.85,-0.0009,-5.0002,-88.672,
3.9501,-0.0008,-5.0002,-87.786,
4.0502,-0.0008,-5.0002,-87.076,
4.1501,-0.0008,-5.0002,-85.793,
4.25,-0.0007,-5.0002,-84.586,
4.3501,-0.0007,-5.0002,-83.102,
4.4501,-0.0006,-5.0002,-81.181,
4.55,-0.0006,-5.0002,-78.003,
4.6501,-0.0006,-5.0002,-73.286,
4.7501,-0.0005,-5.0002,-66.341,
4.85,-0.0005,-5.0001,-57.040,
4.9501,-0.0005,-5.0001,-45.752,
5.0502,-0.0004,-5.0001,-34.165,
5.1501,-0.0004,-5.0001,-24.168,
5.25,-0.0004,-5.0001,-17.187,
5.3501,-0.0003,-5.0001,-12.578,
5.4502,-0.0003,-5.0001,-9.979,
5.5501,-0.0003,-5.0001,-8.448,
5.65,-0.0002,-5.0001,-7.547,
