HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,PinPoint 3D
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,152781
Manufacturer,PTW
Model,Pinpoint 3D
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.844,[pA]
Reference detector,-0.89,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-14T18:13:42.2887317-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,4.98,[cm]
Field size inline,4.98,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-3.9,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,3.9,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,78000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.018460,[cm]
Calculated field width,5.078469,[cm]
Calculated penumbra left,0.549148,[cm]
Calculated penumbra right,0.553440,[cm]
Calculated symmetry,0.581,[%]
Normalisation factor,0.547025,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0003,-3.8502,-4.9996,-3.386,
0.0003,-3.7497,-4.9993,-3.611,
0.0003,-3.6498,-4.9993,-3.948,
0.0003,-3.5499,-4.9993,-4.238,
0.0002,-3.4497,-4.9994,-4.665,
0.0002,-3.3496,-4.9994,-5.195,
0.0002,-3.2497,-4.9994,-5.931,
0.0001,-3.1498,-4.9994,-7.047,
0.0001,-3.0496,-4.9995,-8.627,
0.0001,-2.9497,-4.9995,-11.481,
0,-2.8498,-4.9995,-16.033,
0,-2.7496,-4.9995,-23.298,
0.0001,-2.6497,-4.9996,-33.554,
0.0004,-2.5499,-4.9996,-46.312,
0.0007,-2.4497,-4.9996,-59.000,
0.001,-2.3498,-4.9996,-70.829,
0.0011,-2.2499,-4.9997,-79.766,
0.0011,-2.1497,-4.9997,-85.694,
0.0011,-2.0498,-4.9997,-89.435,
0.0012,-1.9499,-4.9998,-92.066,
0.0013,-1.8497,-4.9998,-93.917,
0.0013,-1.7498,-4.9998,-94.995,
0.0012,-1.6499,-4.9998,-95.610,
0.0012,-1.5497,-4.9999,-96.215,
0.0012,-1.4498,-4.9999,-96.401,
0.0011,-1.35,-4.9999,-97.036,
0.0011,-1.2498,-4.9999,-97.187,
0.0011,-1.1496,-5,-97.946,
0.001,-1.0497,-5,-98.233,
0.001,-0.9498,-5,-98.658,
0.001,-0.8499,-5,-98.928,
0.0011,-0.75,-5.0001,-99.027,
0.0012,-0.6499,-5.0001,-99.410,
0.0012,-0.5497,-5.0001,-99.384,
0.0011,-0.4498,-5.0001,-99.544,
0.0011,-0.3499,-5.0002,-99.620,
0.0011,-0.2497,-5.0002,-100.000,
0.0011,-0.1498,-5.0002,-99.654,
0.001,-0.0499,-5.0002,-99.828,
0.001,0.0502,-5.0003,-99.714,
0.001,0.1504,-5.0003,-99.781,
0.0009,0.2503,-5.0003,-99.559,
0.0009,0.3502,-5.0003,-99.585,
0.0009,0.4504,-5.0004,-99.590,
0.0008,0.5503,-5.0004,-99.303,
0.0006,0.6501,-5.0004,-98.927,
0.0005,0.7503,-5.0004,-98.896,
0.0004,0.8502,-5.0005,-98.670,
0.0002,0.9501,-5.0005,-98.507,
0.0001,1.0503,-5.0005,-97.931,
0,1.1502,-5.0005,-97.719,
0,1.2501,-5.0006,-97.645,
0,1.3502,-5.0006,-97.057,
-0.0001,1.4504,-5.0006,-96.627,
-0.0001,1.5503,-5.0006,-96.061,
0,1.6502,-5.0007,-95.487,
0.0001,1.7504,-5.0007,-94.811,
0.0001,1.8503,-5.0007,-94.016,
0.0001,1.9502,-5.0007,-92.437,
0,2.0503,-5.0008,-90.250,
0,2.1502,-5.0008,-86.999,
0,2.2501,-5.0008,-81.825,
-0.0001,2.3503,-5.0008,-74.485,
-0.0001,2.4502,-5.0009,-64.118,
-0.0001,2.5501,-5.0009,-50.988,
-0.0002,2.6503,-5.0009,-37.956,
-0.0002,2.7504,-5.0009,-26.504,
-0.0002,2.8503,-5.0009,-18.180,
-0.0002,2.9503,-5.0008,-12.695,
-0.0002,3.0504,-5.0007,-9.238,
0,3.1504,-5.0006,-7.128,
0.0001,3.2504,-5.0005,-5.930,
0.0001,3.3505,-5.0005,-5.194,
0.0001,3.4505,-5.0004,-4.599,
0.0001,3.5505,-5.0003,-4.320,
0.0001,3.6503,-5.0002,-4.059,
0.0001,3.75,-5.0001,-3.850,
0.0001,3.8497,-5,-3.675,

Checksum:,22EA2B31F20213EC6EA3708B609FF02CCE565A2DEEB5BC043E7072FFCDC6A4C6
