HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,PinPoint 3D
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,152781
Manufacturer,PTW
Model,Pinpoint 3D
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.844,[pA]
Reference detector,-0.89,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-14T19:26:10.7430806-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,24.07,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-14,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,14,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,280000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.018157,[cm]
Calculated field width,23.676753,[cm]
Calculated penumbra left,5.094800,[cm]
Calculated penumbra right,5.020001,[cm]
Calculated symmetry,0.799,[%]
Normalisation factor,0.483442,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-13.9511,0.0003,-5.0027,-5.771,
-13.8499,0.0008,-5.0054,-5.978,
-13.7499,0.0009,-5.0056,-6.130,
-13.6498,0.0011,-5.0058,-6.270,
-13.5499,0.0012,-5.0059,-6.453,
-13.4499,0.0014,-5.0061,-6.661,
-13.3498,0.0016,-5.0062,-6.890,
-13.2499,0.0017,-5.0064,-7.120,
-13.1499,0.0019,-5.0066,-7.440,
-13.0498,0.0021,-5.0067,-7.709,
-12.9499,0.0022,-5.0069,-8.146,
-12.8499,0.0024,-5.0071,-8.568,
-12.7498,0.0026,-5.0072,-9.138,
-12.6499,0.0027,-5.0074,-9.929,
-12.5499,0.0029,-5.0075,-10.840,
-12.4498,0.003,-5.0077,-12.215,
-12.3499,0.0032,-5.0079,-14.373,
-12.2499,0.0034,-5.008,-17.988,
-12.1499,0.0035,-5.0082,-23.917,
-12.05,0.0037,-5.0084,-31.943,
-11.9499,0.0039,-5.0085,-40.585,
-11.8498,0.004,-5.0087,-48.379,
-11.7499,0.0042,-5.0088,-53.854,
-11.6499,0.0043,-5.009,-57.534,
-11.5498,0.0045,-5.0092,-60.001,
-11.4499,0.0047,-5.0093,-61.468,
-11.3499,0.0048,-5.0095,-62.586,
-11.2498,0.005,-5.0097,-63.715,
-11.1498,0.0052,-5.0098,-64.546,
-11.0498,0.0053,-5.01,-64.969,
-10.9499,0.0055,-5.0101,-65.559,
-10.8499,0.0056,-5.0103,-65.984,
-10.7498,0.0058,-5.0105,-66.268,
-10.6499,0.006,-5.0106,-66.665,
-10.55,0.0061,-5.0108,-67.186,
-10.4499,0.0063,-5.011,-67.604,
-10.3498,0.0065,-5.0111,-68.084,
-10.2499,0.0066,-5.0113,-68.417,
-10.15,0.0068,-5.0114,-68.769,
-10.0499,0.007,-5.0116,-69.018,
-9.9499,0.0071,-5.0118,-69.504,
-9.8498,0.0073,-5.0119,-69.744,
-9.7499,0.0074,-5.0121,-70.086,
-9.6499,0.0076,-5.0123,-70.795,
-9.5498,0.0078,-5.0124,-71.182,
-9.4499,0.0079,-5.0126,-71.377,
-9.35,0.008,-5.0127,-71.673,
-9.2501,0.008,-5.0127,-72.146,
-9.15,0.0079,-5.0126,-72.392,
-9.0499,0.0079,-5.0126,-73.042,
-8.9499,0.0078,-5.0125,-73.169,
-8.8499,0.0077,-5.0125,-73.851,
-8.7499,0.0076,-5.0124,-73.967,
-8.65,0.0075,-5.0124,-74.366,
-8.55,0.0075,-5.0123,-74.792,
-8.4499,0.0074,-5.0123,-75.288,
-8.3498,0.0073,-5.0122,-75.463,
-8.2498,0.0072,-5.0122,-75.864,
-8.1499,0.0072,-5.0121,-76.250,
-8.05,0.0071,-5.0121,-76.402,
-7.9499,0.007,-5.012,-76.906,
-7.8499,0.0069,-5.012,-77.325,
-7.7499,0.0068,-5.0119,-77.927,
-7.6499,0.0068,-5.0118,-78.224,
