HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.896 mm, Y=0.114 mm, Z=0.001 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,PinPoint 3D
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,152781
Manufacturer,PTW
Model,Pinpoint 3D
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.844,[pA]
Reference detector,-0.89,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-14T18:25:01.0239503-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,4.98,[cm]
Field size inline,4.98,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Completed successfully
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-21,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,211000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,59.116,[%]
Calculated D20,30.550,[%]
DMax,1.443503,[cm]
Normalisation factor,0.451320,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.045,0.0055,-20.9501,-28.738,
0.0896,0.0114,-20.85,-28.953,
0.0891,0.0113,-20.75,-29.087,
0.0885,0.0111,-20.65,-29.268,
0.088,0.011,-20.55,-29.467,
0.0874,0.0109,-20.45,-29.636,
0.0868,0.0108,-20.35,-29.897,
0.0863,0.0106,-20.25,-30.033,
0.0857,0.0105,-20.15,-30.194,
0.0852,0.0104,-20.05,-30.459,
0.0846,0.0102,-19.95,-30.641,
0.084,0.0101,-19.85,-30.795,
0.0835,0.01,-19.75,-31.023,
0.0829,0.0099,-19.65,-31.271,
0.0824,0.0097,-19.55,-31.399,
0.0818,0.0096,-19.45,-31.630,
0.0812,0.0095,-19.35,-31.816,
0.0807,0.0093,-19.25,-32.095,
0.0801,0.0092,-19.15,-32.302,
0.0796,0.0091,-19.05,-32.514,
0.079,0.009,-18.95,-32.722,
0.0784,0.0088,-18.85,-32.922,
0.0779,0.0087,-18.75,-33.223,
0.0773,0.0086,-18.65,-33.333,
0.0768,0.0084,-18.55,-33.611,
0.0762,0.0083,-18.45,-33.782,
0.0756,0.0082,-18.35,-33.985,
0.0751,0.0081,-18.2501,-34.207,
0.0745,0.0079,-18.15,-34.457,
0.074,0.0078,-18.05,-34.752,
0.0734,0.0077,-17.95,-34.844,
0.0728,0.0076,-17.8501,-35.251,
0.0723,0.0074,-17.75,-35.353,
0.0717,0.0073,-17.65,-35.598,
0.0712,0.0072,-17.55,-35.898,
0.0706,0.007,-17.45,-36.040,
0.07,0.0069,-17.35,-36.313,
0.0695,0.0068,-17.25,-36.550,
0.0689,0.0067,-17.15,-36.789,
0.0684,0.0065,-17.05,-37.050,
0.0678,0.0064,-16.95,-37.255,
0.0672,0.0063,-16.85,-37.548,
0.0667,0.0062,-16.75,-37.818,
0.0662,0.0061,-16.65,-38.036,
0.0657,0.006,-16.55,-38.327,
0.0652,0.006,-16.45,-38.529,
0.0648,0.006,-16.35,-38.776,
0.0643,0.006,-16.25,-39.051,
0.0638,0.006,-16.15,-39.280,
0.0633,0.006,-16.05,-39.587,
0.0629,0.006,-15.95,-39.815,
0.0624,0.0059,-15.85,-40.106,
0.0619,0.0059,-15.75,-40.377,
0.0615,0.0059,-15.65,-40.576,
0.061,0.0059,-15.5501,-40.882,
0.0605,0.0059,-15.45,-41.160,
0.06,0.0059,-15.35,-41.450,
0.0596,0.0059,-15.25,-41.685,
0.0591,0.0059,-15.15,-41.994,
0.0586,0.0058,-15.05,-42.278,
0.0581,0.0058,-14.95,-42.526,
0.0577,0.0058,-14.85,-42.829,
0.0572,0.0058,-14.7501,-43.140,
0.0567,0.0058,-14.6501,-43.362,
0.0562,0.0058,-14.55,-43.701,
0.0558,0.0058,-14.45,-43.958,
0.0553,0.0057,-14.35,-44.224,
0.0548,0.0057,-14.25,-44.492,
0.0544,0.0057,-14.15,-44.789,
0.0539,0.0057,-14.05,-45.195,
0.0534,0.0057,-13.95,-45.460,
0.0529,0.0057,-13.85,-45.705,
0.0525,0.0057,-13.75,-46.065,
