HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Razor Nano SN 18081
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,18081
Manufacturer,IBA
Model,Razor Nano
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.83,[pA]
Reference detector,-0.894,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-26T17:23:46.7357534-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,2.49,[cm]
Field size inline,2.49,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-2,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,2,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,40000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.010251,[cm]
Calculated field width,2.425192,[cm]
Calculated penumbra left,0.403394,[cm]
Calculated penumbra right,0.463579,[cm]
Calculated symmetry,5.137,[%]
Normalisation factor,1.736706,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-1.9497,0.0007,-5.0006,-3.764,
-1.85,0.001,-5.0012,-4.865,
-1.7499,0.0009,-5.0011,-6.211,
-1.6499,0.0008,-5.0011,-8.318,
-1.5499,0.0007,-5.001,-11.291,
-1.4499,0.0007,-5.001,-16.512,
-1.35,0.0006,-5.0009,-25.784,
-1.25,0.0005,-5.0009,-41.112,
-1.1499,0.0004,-5.0008,-59.781,
-1.0499,0.0003,-5.0008,-75.722,
-0.9498,0.0003,-5.0007,-86.173,
-0.8499,0.0002,-5.0007,-91.791,
-0.75,0.0001,-5.0006,-95.562,
-0.65,0,-5.0006,-97.282,
-0.5499,0,-5.0005,-98.740,
-0.4498,-0.0001,-5.0005,-99.105,
-0.3498,-0.0002,-5.0004,-99.962,
-0.2499,-0.0003,-5.0004,-100.000,
-0.15,-0.0003,-5.0003,-99.863,
-0.0499,-0.0004,-5.0003,-99.428,
0.0501,-0.0005,-5.0002,-99.697,
0.1501,-0.0005,-5.0002,-99.146,
0.2502,-0.0004,-5.0002,-98.869,
0.3501,-0.0004,-5.0002,-98.644,
0.45,-0.0004,-5.0002,-97.521,
0.5501,-0.0003,-5.0002,-96.787,
0.6501,-0.0003,-5.0001,-95.461,
0.75,-0.0003,-5.0001,-92.933,
0.85,-0.0002,-5.0001,-89.314,
0.9501,-0.0002,-5.0001,-82.939,
1.0501,-0.0002,-5.0001,-73.520,
1.15,-0.0001,-5.0001,-61.238,
1.2501,-0.0001,-5.0001,-45.796,
1.3501,0,-5.0001,-30.732,
1.4501,0,-5.0001,-19.409,
1.55,0,-5.0001,-12.048,
1.6501,0.0001,-5,-7.692,
1.7501,0.0001,-5,-5.167,
1.8501,0.0001,-5,-3.968,
1.95,0.0002,-5,-3.199,

Checksum:,CECDFC4E89E8F63F207B70F44A9E04E7F3A05DCC3986FD3E79684439DF6A97E0
