HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.434 mm, Y=0.053 mm, Z=0.000 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Razor Nano SN 18081
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,18081
Manufacturer,IBA
Model,Razor Nano
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.83,[pA]
Reference detector,-0.894,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-26T17:22:02.4601440-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,1.66,[cm]
Field size inline,1.66,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Completed successfully
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-12,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,121000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,54.306,[%]
Calculated D20,N.C.,[%]
DMax,1.211007,[cm]
Normalisation factor,1.424120,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0203,0.0026,-11.95,-46.695,
0.0434,0.0053,-11.85,-47.175,
0.043,0.0053,-11.75,-47.589,
0.0425,0.0053,-11.65,-47.900,
0.042,0.0053,-11.55,-48.378,
0.0415,0.0053,-11.45,-48.866,
0.0412,0.0053,-11.35,-49.151,
0.0409,0.0052,-11.25,-49.498,
0.0404,0.0052,-11.15,-49.876,
0.04,0.0052,-11.05,-50.263,
0.0393,0.0052,-10.95,-50.768,
0.0387,0.0052,-10.85,-51.103,
0.0382,0.0052,-10.75,-51.407,
0.0378,0.0052,-10.65,-51.773,
0.0373,0.0051,-10.55,-52.206,
0.037,0.0051,-10.45,-52.575,
0.0366,0.0051,-10.35,-52.900,
0.0362,0.005,-10.25,-53.454,
0.0359,0.005,-10.15,-53.715,
0.0355,0.005,-10.05,-54.086,
0.0352,0.0049,-9.95,-54.526,
0.0348,0.0049,-9.85,-54.889,
0.0344,0.0048,-9.75,-55.279,
0.0341,0.0048,-9.65,-55.626,
0.0337,0.0048,-9.55,-55.848,
0.0334,0.0047,-9.45,-56.500,
0.033,0.0047,-9.35,-56.942,
0.0326,0.0047,-9.25,-57.331,
0.0323,0.0046,-9.15,-57.656,
0.0319,0.0046,-9.05,-58.052,
0.0316,0.0046,-8.95,-58.549,
0.0312,0.0045,-8.8501,-58.987,
0.0308,0.0045,-8.75,-59.341,
0.0305,0.0044,-8.65,-59.801,
0.0301,0.0044,-8.55,-60.115,
0.0297,0.0044,-8.45,-60.719,
0.0294,0.0043,-8.35,-61.293,
0.029,0.0043,-8.25,-61.508,
0.0287,0.0043,-8.15,-62.031,
0.0283,0.0042,-8.05,-62.519,
0.0279,0.0042,-7.95,-62.881,
0.0276,0.0042,-7.85,-63.319,
0.0272,0.0041,-7.75,-63.948,
0.0269,0.0041,-7.65,-64.240,
0.0265,0.004,-7.55,-64.730,
