HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Razor Nano SN 18081
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,18081
Manufacturer,IBA
Model,Razor Nano
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.83,[pA]
Reference detector,-0.894,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-26T17:15:34.3378016-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,1.66,[cm]
Field size inline,1.66,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-1.8,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,1.8,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,36000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.017596,[cm]
Calculated field width,1.709155,[cm]
Calculated penumbra left,0.383269,[cm]
Calculated penumbra right,0.432375,[cm]
Calculated symmetry,7.315,[%]
Normalisation factor,1.856354,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0007,-1.7496,-4.9996,-1.778,
0.001,-1.6497,-4.9991,-1.996,
0.0009,-1.5498,-4.9991,-2.552,
0.0009,-1.4496,-4.9991,-3.290,
0.001,-1.3497,-4.9991,-4.704,
0.0011,-1.2499,-4.9992,-7.107,
0.0011,-1.1497,-4.9992,-11.428,
0.0011,-1.0498,-4.9992,-18.590,
0.001,-0.9499,-4.9992,-30.524,
0.001,-0.8497,-4.9993,-47.656,
0.001,-0.7498,-4.9993,-66.071,
0.0009,-0.6499,-4.9993,-80.707,
0.0009,-0.5498,-4.9993,-90.489,
0.0009,-0.4496,-4.9994,-96.359,
0.0008,-0.3497,-4.9994,-99.407,
0.0008,-0.2498,-4.9994,-100.000,
0.0008,-0.1496,-4.9995,-99.344,
0.0007,-0.0497,-4.9995,-98.643,
0.0009,0.0502,-4.9995,-96.993,
0.0011,0.1503,-4.9995,-95.889,
0.001,0.2502,-4.9996,-94.789,
0.001,0.3501,-4.9996,-93.025,
0.001,0.4503,-4.9996,-90.531,
0.0009,0.5502,-4.9996,-86.224,
0.0009,0.6501,-4.9997,-79.426,
0.0009,0.7502,-4.9997,-68.937,
0.0008,0.8504,-4.9997,-53.679,
0.0008,0.9503,-4.9997,-36.799,
0.0006,1.0502,-4.9998,-22.385,
0.0003,1.1504,-4.9998,-12.361,
0.0003,1.2503,-4.9998,-6.020,
0.0003,1.3502,-4.9998,-2.706,
0.0002,1.4503,-4.9999,-1.166,
0.0002,1.5502,-4.9999,-1.005,
0.0002,1.6501,-4.9999,-1.049,
0.0002,1.7497,-5,-1.479,

Checksum:,5C571C3860B5F55AAD84F17EE813C1C9BA998CDE37C886EFF67C9BC6DB8ED380
