HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Razor Nano SN 18081
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,18081
Manufacturer,IBA
Model,Razor Nano
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.83,[pA]
Reference detector,-0.894,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-26T18:06:48.8479694-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-6,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,6,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,120000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.004759,[cm]
Calculated field width,10.029495,[cm]
Calculated penumbra left,0.620318,[cm]
Calculated penumbra right,0.697966,[cm]
Calculated symmetry,1.413,[%]
Normalisation factor,1.520773,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0013,-5.9503,-5.0002,-6.130,
0.0022,-5.8498,-5.0003,-6.474,
0.0023,-5.7499,-5.0004,-6.909,
0.0023,-5.6497,-5.0004,-7.821,
0.0023,-5.5498,-5.0004,-9.067,
0.0022,-5.4499,-5.0004,-11.424,
0.0022,-5.3497,-5.0005,-14.864,
0.002,-5.2496,-5.0005,-21.100,
0.0018,-5.1497,-5.0005,-31.054,
0.0018,-5.0498,-5.0006,-44.517,
0.0018,-4.9496,-5.0006,-58.316,
0.0017,-4.8497,-5.0006,-68.789,
0.0017,-4.7498,-5.0006,-75.647,
0.0017,-4.6496,-5.0007,-79.940,
0.0016,-4.5497,-5.0007,-82.189,
0.0014,-4.4499,-5.0007,-83.799,
0.0013,-4.3497,-5.0007,-84.782,
0.0012,-4.2498,-5.0008,-84.969,
0.0012,-4.1499,-5.0008,-85.948,
0.0012,-4.0497,-5.0008,-85.811,
0.0009,-3.9496,-5.0008,-86.859,
0.0008,-3.8497,-5.0009,-87.371,
0.0009,-3.7498,-5.0009,-88.288,
0.001,-3.6496,-5.0009,-89.197,
0.001,-3.5497,-5.001,-90.194,
0.001,-3.4498,-5.001,-90.779,
0.0009,-3.3496,-5.001,-91.623,
0.0011,-3.2497,-5.001,-92.258,
0.0013,-3.1499,-5.0011,-92.838,
0.0014,-3.0497,-5.0011,-93.071,
0.0016,-2.9498,-5.0011,-93.834,
0.0017,-2.8499,-5.0011,-93.924,
0.0016,-2.7497,-5.0012,-94.147,
0.0016,-2.6498,-5.0012,-94.413,
0.0016,-2.55,-5.0012,-95.198,
0.0015,-2.4498,-5.0012,-95.259,
0.0017,-2.3496,-5.0013,-95.543,
0.0019,-2.2497,-5.0013,-96.065,
0.0018,-2.1498,-5.0013,-96.208,
0.0018,-2.0496,-5.0013,-96.673,
0.0018,-1.9497,-5.0014,-96.957,
0.0017,-1.8498,-5.0014,-97.179,
0.0017,-1.7496,-5.0014,-97.490,
0.0017,-1.6497,-5.0015,-97.704,
0.0016,-1.5498,-5.0015,-97.640,
0.0016,-1.4496,-5.0015,-98.014,
0.0016,-1.3497,-5.0015,-98.329,
0.0015,-1.2499,-5.0016,-98.480,
0.0015,-1.1497,-5.0016,-98.790,
0.0015,-1.0498,-5.0016,-98.846,
0.0014,-0.9499,-5.0016,-99.096,
0.0014,-0.8497,-5.0017,-99.480,
0.0015,-0.7498,-5.0017,-99.467,
0.0016,-0.6499,-5.0017,-99.228,
0.0016,-0.5498,-5.0017,-99.705,
0.0016,-0.4496,-5.0018,-99.554,
0.0015,-0.3497,-5.0018,-99.588,
0.0015,-0.2498,-5.0018,-99.705,
0.0015,-0.1496,-5.0019,-99.797,
0.0014,-0.0497,-5.0019,-99.834,
0.0016,0.0502,-5.0019,-99.778,
0.0017,0.1503,-5.0019,-100.000,
0.0017,0.2502,-5.002,-99.625,
0.0016,0.3501,-5.002,-99.498,
0.0014,0.4503,-5.002,-99.432,
0.0013,0.5502,-5.002,-99.333,
0.0012,0.6501,-5.0021,-98.973,
0.0012,0.7502,-5.0021,-99.239,
0.0012,0.8504,-5.0021,-99.136,
0.0011,0.9503,-5.0021,-98.772,
0.0011,1.0502,-5.0022,-98.516,
0.0009,1.1504,-5.0022,-98.436,
0.0007,1.2503,-5.0022,-98.380,
0.0007,1.3502,-5.0022,-98.279,
0.0007,1.4503,-5.0023,-98.238,
0.0006,1.5502,-5.0023,-97.777,
0.0006,1.6501,-5.0023,-97.253,
0.0006,1.7503,-5.0024,-97.210,
0.0005,1.8502,-5.0024,-97.421,
0.0005,1.9501,-5.0024,-96.801,
0.0005,2.0503,-5.0024,-96.231,
0.0004,2.1504,-5.0025,-96.031,
0.0004,2.2503,-5.0025,-95.650,
0.0004,2.3502,-5.0025,-95.083,
0.0003,2.4504,-5.0025,-95.033,
0.0003,2.5503,-5.0026,-94.507,
0.0004,2.6502,-5.0026,-94.040,
0.0005,2.7504,-5.0026,-93.880,
0.0005,2.8505,-5.0026,-93.639,
0.0005,2.9504,-5.0026,-92.956,
0.0005,3.0505,-5.0025,-92.443,
0.0005,3.1505,-5.0024,-91.963,
0.0005,3.2505,-5.0023,-91.582,
0.0005,3.3503,-5.0023,-91.147,
0.0005,3.45,-5.0022,-90.778,
0.0005,3.55,-5.0021,-90.072,
0.0005,3.65,-5.002,-89.341,
0.0005,3.7501,-5.0019,-89.083,
