HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Razor Nano SN 18081
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,18081
Manufacturer,IBA
Model,Razor Nano
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.83,[pA]
Reference detector,-0.894,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-26T19:11:20.0998056-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,27.2,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-14.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,14.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,290000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.064012,[cm]
Calculated field width,26.650270,[cm]
Calculated penumbra left,7.086742,[cm]
Calculated penumbra right,6.153741,[cm]
Calculated symmetry,3.646,[%]
Normalisation factor,1.528953,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-14.4512,0.0003,-5.0026,-1.908,
-14.3499,0.0005,-5.0053,-2.303,
-14.2499,0.0006,-5.0054,-3.006,
-14.1498,0.0008,-5.0056,-3.611,
-14.0499,0.001,-5.0058,-5.035,
-13.9499,0.0011,-5.0059,-6.808,
-13.8499,0.0013,-5.0061,-9.668,
-13.7498,0.0014,-5.0062,-14.838,
-13.6499,0.0016,-5.0064,-22.452,
-13.5499,0.0018,-5.0066,-31.980,
-13.4498,0.0019,-5.0067,-40.433,
-13.3499,0.0021,-5.0069,-46.598,
-13.2498,0.0022,-5.0071,-50.434,
-13.1499,0.0024,-5.0072,-52.867,
-13.0498,0.0026,-5.0074,-54.351,
-12.9497,0.0027,-5.0075,-55.625,
-12.8498,0.0029,-5.0077,-56.428,
-12.7499,0.0031,-5.0079,-57.162,
-12.6499,0.0032,-5.008,-57.740,
-12.5498,0.0034,-5.0082,-58.102,
-12.4499,0.0035,-5.0083,-58.401,
-12.35,0.0037,-5.0085,-59.076,
-12.2499,0.0039,-5.0087,-59.462,
-12.1499,0.004,-5.0088,-59.896,
-12.0498,0.0042,-5.009,-60.107,
-11.9499,0.0043,-5.0092,-60.340,
-11.8498,0.0045,-5.0093,-61.015,
-11.7497,0.0047,-5.0095,-61.353,
-11.6499,0.0048,-5.0096,-61.647,
-11.55,0.005,-5.0098,-62.300,
-11.4499,0.0052,-5.01,-62.472,
-11.3499,0.0053,-5.0101,-62.793,
-11.2499,0.0055,-5.0103,-63.381,
-11.1498,0.0056,-5.0105,-63.588,
-11.0499,0.0058,-5.0106,-63.954,
-10.9499,0.006,-5.0108,-64.087,
-10.8498,0.0061,-5.0109,-64.321,
-10.7499,0.0063,-5.0111,-64.749,
-10.6498,0.0064,-5.0113,-65.038,
-10.5498,0.0066,-5.0114,-65.577,
-10.4499,0.0068,-5.0116,-65.896,
-10.3499,0.0069,-5.0118,-66.380,
-10.2498,0.0071,-5.0119,-66.605,
-10.1499,0.0073,-5.0121,-66.922,
-10.0499,0.0074,-5.0122,-67.346,
-9.9498,0.0076,-5.0124,-67.464,
-9.8499,0.0077,-5.0126,-68.059,
-9.7499,0.0079,-5.0127,-68.298,
-9.6498,0.0081,-5.0129,-68.635,
-9.5499,0.0082,-5.0131,-69.140,
-9.4499,0.0084,-5.0132,-69.179,
-9.3498,0.0085,-5.0133,-69.388,
-9.2499,0.0085,-5.0134,-69.884,
-9.1498,0.0084,-5.0133,-70.158,
-9.0499,0.0084,-5.0133,-70.713,
-8.95,0.0083,-5.0132,-71.009,
-8.85,0.0082,-5.0132,-71.286,
-8.75,0.0081,-5.0131,-71.587,
-8.6499,0.008,-5.0131,-72.259,
-8.5498,0.008,-5.013,-72.373,
-8.4498,0.0079,-5.013,-73.071,
-8.3499,0.0078,-5.0129,-73.030,
-8.25,0.0077,-5.0129,-73.501,
-8.1499,0.0077,-5.0128,-73.978,
-8.0499,0.0076,-5.0127,-74.636,
-7.9499,0.0075,-5.0127,-74.590,
-7.85,0.0074,-5.0126,-75.414,
-7.75,0.0073,-5.0126,-75.321,
-7.65,0.0073,-5.0125,-76.080,
-7.5499,0.0072,-5.0125,-76.318,
-7.4498,0.0071,-5.0124,-76.609,
-7.3499,0.007,-5.0124,-76.851,
-7.25,0.007,-5.0123,-77.232,
-7.15,0.0069,-5.0123,-77.545,
-7.0499,0.0068,-5.0122,-78.119,
-6.9498,0.0067,-5.0122,-78.655,
-6.8498,0.0066,-5.0121,-79.171,
-6.7499,0.0066,-5.0121,-79.212,
-6.65,0.0065,-5.012,-79.644,
-6.5499,0.0064,-5.012,-80.296,
-6.4499,0.0063,-5.0119,-80.715,
-6.3499,0.0063,-5.0119,-80.989,
-6.2499,0.0062,-5.0118,-81.257,
-6.15,0.0061,-5.0118,-81.541,
-6.05,0.006,-5.0117,-82.267,
-5.9499,0.006,-5.0117,-82.664,
-5.8498,0.0059,-5.0116,-82.797,
-5.7498,0.0058,-5.0116,-83.100,
-5.6499,0.0057,-5.0115,-83.978,
-5.55,0.0056,-5.0115,-83.981,
-5.4499,0.0056,-5.0114,-84.648,
-5.3499,0.0055,-5.0114,-84.642,
-5.25,0.0054,-5.0113,-85.191,
-5.1501,0.0053,-5.0113,-85.668,
-5.05,0.0053,-5.0112,-85.972,
-4.9499,0.0052,-5.0112,-86.303,
-4.8499,0.0051,-5.0111,-86.682,
-4.7499,0.005,-5.0111,-87.235,
-4.6498,0.0049,-5.011,-87.468,
-4.5499,0.0049,-5.011,-87.980,
-4.4499,0.0048,-5.0109,-88.229,
-4.3499,0.0047,-5.0109,-88.677,
-4.2499,0.0046,-5.0108,-89.272,
-4.15,0.0046,-5.0108,-89.417,
-4.05,0.0045,-5.0107,-89.592,
-3.9499,0.0044,-5.0107,-90.091,
-3.8498,0.0043,-5.0106,-90.063,
-3.7498,0.0042,-5.0105,-90.778,
-3.6499,0.0042,-5.0105,-91.219,
-3.55,0.0041,-5.0104,-91.518,
-3.45,0.004,-5.0104,-91.654,
-3.3499,0.0039,-5.0103,-92.019,
-3.2498,0.0039,-5.0103,-92.267,
-3.1498,0.0038,-5.0102,-92.723,
-3.0499,0.0037,-5.0102,-93.236,
-2.95,0.0036,-5.0101,-93.237,
-2.8499,0.0035,-5.0101,-93.837,
-2.7499,0.0035,-5.01,-94.146,
-2.6499,0.0034,-5.01,-93.983,
-2.55,0.0033,-5.0099,-94.885,
-2.45,0.0032,-5.0099,-95.117,
-2.35,0.0032,-5.0098,-95.527,
-2.2499,0.0031,-5.0098,-95.560,
-2.1498,0.003,-5.0097,-95.779,
-2.05,0.0029,-5.0097,-96.237,
-1.9501,0.0029,-5.0096,-96.597,
-1.85,0.0028,-5.0096,-96.394,
-1.7499,0.0027,-5.0095,-96.813,
-1.6499,0.0026,-5.0095,-96.972,
-1.5498,0.0025,-5.0094,-96.836,
-1.4499,0.0025,-5.0094,-97.397,
-1.35,0.0024,-5.0093,-97.583,
-1.25,0.0023,-5.0093,-97.991,
-1.1499,0.0022,-5.0092,-97.906,
-1.0499,0.0022,-5.0092,-97.951,
-0.9499,0.0021,-5.0091,-98.202,
-0.85,0.002,-5.0091,-99.144,
-0.75,0.0019,-5.009,-98.967,
-0.6499,0.0018,-5.009,-99.459,
-0.5498,0.0018,-5.0089,-99.488,
-0.4498,0.0017,-5.0089,-99.938,
-0.3499,0.0016,-5.0088,-99.964,
-0.25,0.0015,-5.0088,-99.736,
-0.1499,0.0015,-5.0087,-99.752,
-0.0499,0.0014,-5.0087,-99.585,
0.0501,0.0013,-5.0086,-99.939,
0.1501,0.0013,-5.0086,-99.102,
0.2501,0.0014,-5.0086,-100.000,
0.35,0.0014,-5.0086,-99.618,
0.4501,0.0014,-5.0086,-99.168,
0.5502,0.0015,-5.0086,-99.549,
0.6501,0.0015,-5.0085,-99.181,
0.75,0.0015,-5.0085,-99.008,
0.8501,0.0016,-5.0085,-99.486,
0.9501,0.0016,-5.0085,-98.893,
1.0501,0.0016,-5.0085,-99.198,
1.15,0.0017,-5.0085,-99.034,
1.2501,0.0017,-5.0085,-98.958,
1.3501,0.0018,-5.0085,-98.840,
1.45,0.0018,-5.0085,-98.305,
1.5501,0.0018,-5.0084,-98.567,
1.6501,0.0019,-5.0084,-97.880,
1.7501,0.0019,-5.0084,-98.202,
1.85,0.0019,-5.0084,-97.560,
1.95,0.002,-5.0084,-97.848,
2.0501,0.002,-5.0084,-97.752,
2.1502,0.002,-5.0084,-97.480,
2.2502,0.0021,-5.0084,-97.073,
2.3501,0.0021,-5.0084,-96.928,
2.4502,0.0021,-5.0084,-96.903,
2.5501,0.0022,-5.0083,-96.864,
2.65,0.0022,-5.0083,-96.459,
2.7501,0.0023,-5.0083,-96.227,
2.8502,0.0023,-5.0083,-96.032,
2.9501,0.0023,-5.0083,-95.513,
3.05,0.0024,-5.0083,-95.132,
3.1501,0.0024,-5.0083,-95.001,
3.2501,0.0024,-5.0083,-94.551,
3.35,0.0025,-5.0083,-94.358,
3.4501,0.0025,-5.0083,-94.147,
3.5501,0.0025,-5.0082,-93.590,
3.6501,0.0026,-5.0082,-93.603,
3.75,0.0026,-5.0082,-92.797,
3.8501,0.0026,-5.0082,-92.798,
3.9501,0.0027,-5.0082,-92.592,
4.0501,0.0027,-5.0082,-92.286,
4.15,0.0028,-5.0082,-91.898,
4.2501,0.0028,-5.0082,-91.783,
4.3502,0.0028,-5.0082,-91.323,
4.4501,0.0029,-5.0081,-91.197,
4.55,0.0029,-5.0081,-90.623,
4.6501,0.0029,-5.0081,-90.276,
4.75,0.003,-5.0081,-90.281,
4.85,0.003,-5.0081,-89.667,
4.9501,0.003,-5.0081,-89.337,
5.0502,0.0031,-5.0081,-88.858,
5.1502,0.0031,-5.0081,-89.120,
5.2501,0.0031,-5.0081,-88.444,
5.3501,0.0032,-5.0081,-88.047,
5.4501,0.0032,-5.008,-87.898,
5.55,0.0033,-5.008,-87.238,
5.6501,0.0033,-5.008,-87.182,
5.7502,0.0033,-5.008,-86.896,
5.8501,0.0034,-5.008,-86.391,
5.95,0.0034,-5.008,-86.186,
6.0501,0.0034,-5.008,-85.835,
6.1502,0.0035,-5.008,-85.320,
6.2501,0.0035,-5.008,-85.235,
6.35,0.0035,-5.008,-85.064,
6.4501,0.0036,-5.0079,-84.248,
6.5502,0.0036,-5.0079,-84.298,
6.6501,0.0036,-5.0079,-83.761,
6.75,0.0037,-5.0079,-83.148,
6.8501,0.0037,-5.0079,-82.758,
6.9501,0.0038,-5.0079,-82.752,
7.05,0.0038,-5.0079,-81.975,
7.15,0.0038,-5.0079,-82.083,
7.25,0.0039,-5.0079,-81.575,
7.3499,0.0039,-5.0078,-81.331,
7.45,0.0039,-5.0078,-80.703,
7.5501,0.004,-5.0078,-80.573,
