HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.912 mm, Y=0.114 mm, Z=0.001 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Razor Nano SN 18081
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,18081
Manufacturer,IBA
Model,Razor Nano
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.83,[pA]
Reference detector,-0.894,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-26T19:05:26.9346643-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,24.07,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Completed successfully
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-21,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,211000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,64.445,[%]
Calculated D20,35.220,[%]
DMax,1.463736,[cm]
Normalisation factor,1.298939,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0461,0.0057,-20.9501,-33.410,
0.0912,0.0114,-20.85,-33.547,
0.0902,0.0112,-20.75,-33.679,
0.0895,0.0111,-20.65,-33.890,
0.0888,0.011,-20.55,-34.127,
0.0881,0.0109,-20.45,-34.307,
0.0875,0.0107,-20.35,-34.462,
0.0868,0.0106,-20.25,-34.724,
0.0861,0.0105,-20.15,-34.868,
0.0854,0.0103,-20.05,-35.041,
0.0846,0.0102,-19.95,-35.398,
0.084,0.0101,-19.85,-35.360,
0.0835,0.01,-19.75,-35.528,
0.0829,0.0098,-19.65,-35.785,
0.0823,0.0097,-19.55,-36.050,
0.0818,0.0096,-19.45,-36.253,
0.0812,0.0094,-19.35,-36.554,
0.0807,0.0093,-19.25,-36.694,
0.0801,0.0092,-19.15,-36.892,
0.0795,0.0091,-19.05,-37.125,
0.079,0.0089,-18.95,-37.399,
0.0784,0.0088,-18.85,-37.569,
0.0779,0.0087,-18.75,-37.764,
0.0773,0.0085,-18.65,-38.022,
0.0767,0.0084,-18.55,-38.226,
0.0762,0.0083,-18.45,-38.427,
0.0756,0.0082,-18.35,-38.730,
0.0751,0.008,-18.2501,-38.991,
0.0745,0.0079,-18.15,-39.138,
0.0739,0.0078,-18.05,-39.462,
0.0734,0.0076,-17.95,-39.587,
0.0728,0.0075,-17.8501,-39.886,
0.0723,0.0074,-17.75,-40.101,
0.0717,0.0073,-17.65,-40.372,
0.0711,0.0071,-17.55,-40.477,
0.0706,0.007,-17.45,-40.725,
0.07,0.0069,-17.35,-41.083,
0.0695,0.0068,-17.25,-41.334,
0.0689,0.0066,-17.15,-41.513,
0.0683,0.0065,-17.05,-41.847,
0.0678,0.0064,-16.95,-42.097,
0.0672,0.0062,-16.85,-42.366,
0.0667,0.0061,-16.75,-42.553,
0.0661,0.006,-16.65,-42.818,
0.0656,0.0059,-16.55,-43.139,
0.0652,0.0059,-16.45,-43.384,
0.0647,0.0059,-16.35,-43.510,
0.0642,0.0059,-16.25,-43.956,
0.0638,0.0059,-16.15,-44.100,
0.0633,0.0059,-16.05,-44.484,
0.0628,0.0059,-15.95,-44.633,
0.0623,0.0059,-15.85,-44.933,
0.0619,0.0058,-15.75,-45.260,
0.0614,0.0058,-15.65,-45.535,
0.0609,0.0058,-15.5501,-45.808,
0.0605,0.0058,-15.45,-46.073,
0.06,0.0058,-15.35,-46.453,
0.0595,0.0058,-15.25,-46.554,
0.059,0.0058,-15.15,-46.852,
0.0586,0.0057,-15.05,-47.175,
0.0581,0.0057,-14.95,-47.358,
0.0576,0.0057,-14.85,-47.744,
0.0571,0.0057,-14.7501,-48.028,
0.0567,0.0057,-14.6501,-48.271,
0.0562,0.0057,-14.55,-48.567,
0.0557,0.0057,-14.45,-48.908,
0.0553,0.0057,-14.35,-49.236,
0.0548,0.0056,-14.25,-49.408,
0.0543,0.0056,-14.15,-49.794,
0.0538,0.0056,-14.05,-49.992,
0.0534,0.0056,-13.95,-50.396,
0.0529,0.0056,-13.85,-50.789,
0.0524,0.0056,-13.75,-51.128,
0.0519,0.0056,-13.65,-51.331,
0.0515,0.0055,-13.55,-51.750,
0.051,0.0055,-13.45,-51.982,
0.0505,0.0055,-13.35,-52.339,
0.0501,0.0055,-13.25,-52.647,
0.0496,0.0055,-13.15,-52.998,
0.0491,0.0055,-13.05,-53.299,
0.0486,0.0055,-12.95,-53.659,
0.0482,0.0055,-12.85,-53.926,
0.0477,0.0054,-12.75,-54.202,
0.0472,0.0054,-12.65,-54.567,
0.0467,0.0054,-12.55,-54.926,
