HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Razor Nano SN 18081
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,18081
Manufacturer,IBA
Model,Razor Nano
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.83,[pA]
Reference detector,-0.894,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-26T18:04:38.4106674-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-6,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,6,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,120000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.001271,[cm]
Calculated field width,9.818029,[cm]
Calculated penumbra left,0.615287,[cm]
Calculated penumbra right,4.476417,[cm]
Calculated symmetry,2.537,[%]
Normalisation factor,1.521398,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-5.9512,0.0006,-5.0019,-5.216,
-5.8499,0.0017,-5.0036,-6.081,
-5.7498,0.0022,-5.0036,-6.756,
-5.6498,0.0021,-5.0035,-7.545,
-5.5498,0.002,-5.0035,-8.591,
-5.4499,0.002,-5.0034,-10.107,
-5.3499,0.0019,-5.0034,-12.038,
-5.2498,0.0018,-5.0033,-15.553,
-5.1499,0.0017,-5.0033,-21.415,
-5.05,0.0017,-5.0032,-30.899,
-4.95,0.0016,-5.0032,-44.480,
-4.8499,0.0015,-5.0031,-58.393,
-4.7499,0.0014,-5.0031,-69.308,
-4.6499,0.0013,-5.003,-76.199,
-4.55,0.0013,-5.003,-80.364,
-4.4499,0.0012,-5.0029,-82.747,
-4.3499,0.0011,-5.0029,-84.659,
-4.2499,0.001,-5.0028,-86.006,
-4.15,0.001,-5.0028,-86.619,
-4.05,0.0009,-5.0027,-87.433,
-3.95,0.0008,-5.0027,-88.313,
-3.8499,0.0007,-5.0026,-89.089,
-3.7498,0.0006,-5.0025,-89.792,
-3.6498,0.0006,-5.0025,-89.756,
-3.5499,0.0005,-5.0024,-90.278,
-3.45,0.0004,-5.0024,-90.933,
-3.3499,0.0003,-5.0023,-91.721,
-3.2499,0.0003,-5.0023,-91.923,
-3.1498,0.0002,-5.0022,-92.357,
-3.0499,0.0001,-5.0022,-92.896,
-2.95,0,-5.0021,-93.171,
-2.8499,-0.0001,-5.0021,-93.645,
-2.7499,-0.0001,-5.002,-94.101,
-2.6498,-0.0002,-5.002,-94.605,
-2.5499,-0.0003,-5.0019,-94.911,
-2.45,-0.0004,-5.0019,-95.312,
-2.35,-0.0004,-5.0018,-95.371,
-2.25,-0.0005,-5.0018,-95.852,
-2.1499,-0.0006,-5.0017,-95.944,
-2.0498,-0.0007,-5.0017,-96.245,
-1.9499,-0.0008,-5.0016,-96.676,
-1.85,-0.0008,-5.0016,-97.333,
-1.7499,-0.0009,-5.0015,-97.613,
-1.6499,-0.001,-5.0015,-97.605,
-1.5499,-0.0011,-5.0014,-97.459,
-1.4499,-0.0011,-5.0014,-98.108,
-1.35,-0.0012,-5.0013,-98.249,
-1.25,-0.0013,-5.0013,-98.600,
-1.1499,-0.0014,-5.0012,-98.208,
-1.0499,-0.0014,-5.0012,-99.021,
-0.9499,-0.0015,-5.0011,-99.397,
-0.85,-0.0016,-5.0011,-99.278,
-0.75,-0.0017,-5.001,-99.712,
-0.65,-0.0018,-5.001,-99.480,
-0.5499,-0.0018,-5.0009,-99.555,
-0.4498,-0.0019,-5.0009,-100.000,
-0.3498,-0.002,-5.0008,-99.903,
-0.2499,-0.0021,-5.0008,-99.872,
-0.15,-0.0021,-5.0007,-99.773,
-0.0499,-0.0022,-5.0007,-99.664,
0.0501,-0.0023,-5.0006,-99.768,
0.1501,-0.0023,-5.0006,-99.586,
0.2502,-0.0022,-5.0006,-99.359,
0.3501,-0.0022,-5.0006,-99.568,
0.45,-0.0022,-5.0006,-99.319,
0.5501,-0.0021,-5.0005,-99.270,
0.6501,-0.0021,-5.0005,-99.089,
0.75,-0.0021,-5.0005,-99.102,
0.85,-0.002,-5.0005,-98.975,
0.9501,-0.002,-5.0005,-98.581,
1.0501,-0.002,-5.0005,-98.876,
1.15,-0.0019,-5.0005,-98.679,
1.2501,-0.0019,-5.0005,-98.346,
1.3501,-0.0018,-5.0005,-98.298,
1.4501,-0.0018,-5.0005,-98.082,
1.55,-0.0018,-5.0004,-97.760,
1.6501,-0.0017,-5.0004,-97.680,
1.7501,-0.0017,-5.0004,-97.166,
1.8501,-0.0017,-5.0004,-97.130,
1.95,-0.0016,-5.0004,-96.750,
2.0501,-0.0016,-5.0004,-96.424,
2.1502,-0.0016,-5.0004,-96.173,
2.2501,-0.0015,-5.0004,-95.839,
2.35,-0.0015,-5.0004,-95.587,
2.4501,-0.0015,-5.0004,-95.394,
2.5502,-0.0014,-5.0003,-94.801,
2.6501,-0.0014,-5.0003,-94.562,
2.75,-0.0013,-5.0003,-94.292,
