HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Razor Nano SN 18081
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,18081
Manufacturer,IBA
Model,Razor Nano
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.83,[pA]
Reference detector,-0.894,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-26T18:53:21.6906595-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,24.07,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-13.5,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,13.5,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,270000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.077818,[cm]
Calculated field width,23.724009,[cm]
Calculated penumbra left,4.561908,[cm]
Calculated penumbra right,6.301067,[cm]
Calculated symmetry,6.629,[%]
Normalisation factor,1.487317,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0026,-13.45,-5.0065,-5.762,
-0.001,-13.3497,-5.013,-6.002,
0.0007,-13.2497,-5.0129,-6.104,
0.0042,-13.1497,-5.0128,-6.486,
0.007,-13.0497,-5.0127,-6.764,
0.0075,-12.9497,-5.0126,-7.131,
0.0077,-12.8497,-5.0125,-7.444,
0.0076,-12.7497,-5.0125,-7.932,
0.0077,-12.6497,-5.0124,-8.569,
0.0078,-12.5497,-5.0123,-9.629,
0.0075,-12.4497,-5.0122,-11.072,
0.0073,-12.3497,-5.0121,-13.822,
0.0073,-12.2497,-5.012,-19.337,
0.007,-12.1497,-5.012,-28.717,
0.0067,-12.0497,-5.0119,-39.892,
0.0066,-11.9497,-5.0118,-49.383,
0.0066,-11.8497,-5.0117,-55.633,
0.0067,-11.7497,-5.0116,-59.795,
0.0068,-11.6496,-5.0115,-62.137,
0.0068,-11.5496,-5.0115,-63.459,
0.0068,-11.4496,-5.0114,-64.202,
0.0069,-11.3497,-5.0113,-64.650,
0.0069,-11.25,-5.0112,-64.958,
0.0068,-11.15,-5.0111,-65.330,
0.0067,-11.05,-5.0111,-65.682,
0.0067,-10.95,-5.011,-66.137,
0.0066,-10.85,-5.0109,-66.773,
0.0065,-10.75,-5.0108,-67.497,
0.0064,-10.65,-5.0107,-68.176,
0.0064,-10.55,-5.0106,-68.643,
0.0063,-10.45,-5.0106,-69.462,
0.0062,-10.35,-5.0105,-69.594,
0.006,-10.25,-5.0104,-70.182,
0.0058,-10.15,-5.0103,-70.513,
0.0057,-10.05,-5.0102,-71.195,
0.0057,-9.95,-5.0101,-71.482,
0.0054,-9.85,-5.0101,-72.053,
0.0051,-9.75,-5.01,-72.507,
0.005,-9.6499,-5.0099,-72.900,
0.005,-9.5499,-5.0098,-72.963,
0.0049,-9.4499,-5.0097,-73.391,
0.0048,-9.3499,-5.0096,-73.625,
0.0048,-9.2499,-5.0096,-73.992,
0.0047,-9.1498,-5.0095,-74.564,
0.0046,-9.0498,-5.0094,-74.976,
0.0046,-8.9498,-5.0093,-75.539,
0.0045,-8.8498,-5.0092,-75.760,
0.0042,-8.7498,-5.0092,-75.961,
0.0041,-8.6498,-5.0091,-76.216,
0.004,-8.5498,-5.009,-76.907,
0.0039,-8.4498,-5.0089,-76.909,
0.0036,-8.3498,-5.0088,-77.423,
0.0035,-8.2498,-5.0087,-77.911,
0.0034,-8.1498,-5.0087,-78.100,
0.0031,-8.0498,-5.0086,-78.485,
0.003,-7.9498,-5.0085,-78.848,
0.0029,-7.8498,-5.0084,-79.520,
0.0028,-7.7498,-5.0083,-79.670,
0.0028,-7.6498,-5.0082,-80.148,
0.0027,-7.5497,-5.0082,-80.596,
0.0026,-7.4497,-5.0081,-80.786,
0.0026,-7.3497,-5.008,-81.220,
0.0025,-7.2497,-5.0079,-81.466,
0.0024,-7.1497,-5.0078,-81.821,
0.0023,-7.0497,-5.0077,-81.962,
0.0023,-6.9497,-5.0077,-82.179,
0.002,-6.8496,-5.0076,-83.033,
0.0018,-6.7496,-5.0075,-83.125,
0.0019,-6.6496,-5.0074,-83.571,
0.002,-6.5496,-5.0074,-83.908,
0.002,-6.4497,-5.0074,-84.357,
0.0019,-6.3498,-5.0074,-84.615,
0.0019,-6.2496,-5.0074,-85.136,
0.0019,-6.1497,-5.0075,-85.414,
0.0018,-6.0498,-5.0075,-86.075,
0.0018,-5.9497,-5.0075,-86.248,
0.0018,-5.8498,-5.0075,-86.671,
0.0017,-5.7499,-5.0076,-86.926,
0.0015,-5.6497,-5.0076,-87.185,
0.0014,-5.5498,-5.0076,-87.687,
0.0013,-5.4499,-5.0076,-88.462,
0.0013,-5.3497,-5.0077,-88.755,
0.0013,-5.2496,-5.0077,-88.721,
0.001,-5.1497,-5.0077,-89.094,
0.0009,-5.0498,-5.0078,-89.387,
0.0009,-4.9496,-5.0078,-89.777,
0.0009,-4.8497,-5.0078,-90.512,
0.0008,-4.7498,-5.0078,-90.165,
0.0008,-4.6496,-5.0079,-90.755,
