HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Razor SN 17414
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,17414
Manufacturer,IBA
Model,Razor
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.86,[pA]
Reference detector,-0.896,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-31T15:58:53.2441340-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,2.49,[cm]
Field size inline,2.49,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-3,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,3,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.00,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,60000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.005282,[cm]
Calculated field width,2.423881,[cm]
Calculated penumbra left,0.390822,[cm]
Calculated penumbra right,0.457430,[cm]
Calculated symmetry,4.478,[%]
Normalisation factor,0.804367,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-2.9497,0.0003,-5.0009,-1.053,
-2.8499,0.0008,-5.0018,-1.128,
-2.75,0.0011,-5.0017,-1.282,
-2.65,0.001,-5.0016,-1.352,
-2.55,0.0009,-5.0016,-1.520,
-2.4499,0.0009,-5.0015,-1.777,
-2.3498,0.0008,-5.0015,-2.012,
-2.2498,0.0007,-5.0014,-2.285,
-2.1498,0.0006,-5.0014,-2.716,
-2.0499,0.0006,-5.0013,-3.287,
-1.9499,0.0005,-5.0013,-4.025,
-1.8499,0.0004,-5.0012,-5.018,
-1.7499,0.0003,-5.0012,-6.362,
-1.65,0.0002,-5.0011,-8.440,
-1.55,0.0002,-5.0011,-11.465,
-1.45,0.0001,-5.001,-16.969,
-1.3499,0,-5.001,-27.281,
-1.2498,-0.0001,-5.0009,-43.848,
-1.1498,-0.0001,-5.0009,-62.732,
-1.0499,-0.0002,-5.0008,-78.106,
-0.95,-0.0003,-5.0008,-87.500,
-0.8499,-0.0004,-5.0007,-92.409,
-0.7499,-0.0005,-5.0007,-95.527,
-0.6499,-0.0005,-5.0006,-97.440,
-0.5499,-0.0006,-5.0006,-98.605,
-0.45,-0.0007,-5.0005,-99.219,
-0.35,-0.0008,-5.0004,-99.496,
-0.25,-0.0008,-5.0004,-100.000,
-0.1499,-0.0009,-5.0003,-99.711,
-0.0498,-0.001,-5.0003,-99.436,
0.0502,-0.0011,-5.0002,-99.340,
0.1502,-0.0011,-5.0002,-98.808,
0.2501,-0.001,-5.0002,-98.476,
0.35,-0.001,-5.0002,-98.292,
0.4501,-0.001,-5.0002,-97.561,
0.5502,-0.0009,-5.0002,-96.683,
0.6501,-0.0009,-5.0002,-95.034,
0.75,-0.0009,-5.0002,-92.723,
0.8501,-0.0008,-5.0002,-88.721,
0.9502,-0.0008,-5.0001,-82.335,
1.0501,-0.0007,-5.0001,-72.399,
1.15,-0.0007,-5.0001,-59.070,
1.2501,-0.0007,-5.0001,-43.046,
1.3501,-0.0006,-5.0001,-28.689,
1.45,-0.0006,-5.0001,-17.974,
1.55,-0.0005,-5.0001,-11.135,
1.6501,-0.0005,-5.0001,-7.163,
1.7501,-0.0005,-5.0001,-4.996,
1.85,-0.0004,-5.0001,-3.916,
1.9501,-0.0004,-5.0001,-3.280,
2.0502,-0.0004,-5.0001,-2.847,
2.1501,-0.0003,-5,-2.471,
2.25,-0.0003,-5,-2.279,
2.3501,-0.0002,-5,-2.055,
2.4501,-0.0002,-5,-1.861,
2.55,-0.0002,-5,-1.688,
2.6501,-0.0001,-5,-1.556,
2.7502,-0.0001,-5,-1.408,
2.8501,-0.0001,-5,-1.297,
2.95,0,-5,-1.210,

Checksum:,0435EEE1C528206DA90046A5BB88B540B3035F04A3D6F7FFBF28A03468BCB155
