HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Razor SN 17414
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,17414
Manufacturer,IBA
Model,Razor
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.86,[pA]
Reference detector,-0.896,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-31T15:44:40.4764536-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,1.66,[cm]
Field size inline,1.66,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-2,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,2,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.00,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,40000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.000899,[cm]
Calculated field width,1.582165,[cm]
Calculated penumbra left,0.364809,[cm]
Calculated penumbra right,0.421565,[cm]
Calculated symmetry,4.007,[%]
Normalisation factor,0.850908,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-1.95,0.0007,-5.0006,-1.151,
-1.8499,0.001,-5.0011,-1.505,
-1.7499,0.0009,-5.0011,-1.779,
-1.65,0.0008,-5.001,-2.183,
-1.55,0.0008,-5.001,-2.750,
-1.45,0.0007,-5.0009,-3.598,
-1.3499,0.0006,-5.0009,-4.802,
-1.2498,0.0005,-5.0008,-6.388,
-1.1498,0.0005,-5.0008,-9.082,
-1.0499,0.0004,-5.0007,-13.617,
-0.95,0.0003,-5.0007,-22.568,
-0.8499,0.0002,-5.0006,-38.060,
-0.7499,0.0001,-5.0006,-58.055,
-0.6499,0.0001,-5.0005,-75.967,
-0.5499,0,-5.0005,-87.155,
-0.45,-0.0001,-5.0004,-93.321,
-0.35,-0.0002,-5.0003,-97.224,
-0.25,-0.0002,-5.0003,-98.539,
-0.1499,-0.0003,-5.0002,-99.475,
-0.0498,-0.0004,-5.0002,-100.000,
0.0502,-0.0005,-5.0001,-99.465,
0.1502,-0.0005,-5.0001,-98.576,
0.2501,-0.0004,-5.0001,-97.107,
0.35,-0.0004,-5.0001,-94.741,
0.4501,-0.0004,-5.0001,-90.382,
0.5502,-0.0003,-5.0001,-83.312,
0.6501,-0.0003,-5.0001,-72.341,
0.75,-0.0003,-5.0001,-57.064,
0.8501,-0.0002,-5.0001,-40.221,
0.9502,-0.0002,-5,-25.352,
1.0501,-0.0001,-5,-15.016,
1.15,-0.0001,-5,-8.780,
1.2501,-0.0001,-5,-5.325,
1.3501,0,-5,-3.466,
1.45,0,-5,-2.629,
1.55,0.0001,-5,-2.101,
1.6501,0.0001,-5,-1.718,
1.7501,0.0001,-5,-1.557,
1.85,0.0002,-5,-1.449,
1.9501,0.0002,-5,-1.161,

Checksum:,67F095AE31DF34D9C7896A400B8939EBCB1730EFD29E3990EC2744A0739DAAE8
