HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Razor SN 17414
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,17414
Manufacturer,IBA
Model,Razor
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.86,[pA]
Reference detector,-0.896,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-31T17:40:24.0867521-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,19.92,[cm]
Field size inline,19.92,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-11.5,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,11.5,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.00,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,230000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.020512,[cm]
Calculated field width,19.916401,[cm]
Calculated penumbra left,3.282697,[cm]
Calculated penumbra right,3.785897,[cm]
Calculated symmetry,2.790,[%]
Normalisation factor,0.681881,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0003,-11.4499,-5.0043,-6.277,
0.001,-11.3496,-5.0086,-6.478,
0.0012,-11.2496,-5.0085,-6.811,
0.0016,-11.1496,-5.0085,-7.067,
0.0021,-11.0496,-5.0084,-7.383,
0.0028,-10.9496,-5.0083,-7.720,
0.0035,-10.8496,-5.0082,-8.140,
0.004,-10.7496,-5.0081,-8.729,
0.0042,-10.6496,-5.0081,-9.652,
0.0045,-10.5496,-5.008,-11.231,
0.0048,-10.4496,-5.0079,-13.680,
0.005,-10.3496,-5.0078,-17.675,
0.0052,-10.2496,-5.0077,-23.641,
0.0053,-10.1495,-5.0076,-31.633,
0.0054,-10.0495,-5.0076,-40.803,
0.0055,-9.9497,-5.0075,-49.116,
0.0056,-9.85,-5.0074,-56.452,
0.0057,-9.75,-5.0073,-61.247,
0.0057,-9.65,-5.0072,-64.653,
0.0058,-9.55,-5.0071,-66.605,
0.0057,-9.45,-5.0071,-68.188,
0.0057,-9.35,-5.007,-69.180,
0.0056,-9.25,-5.0069,-69.781,
0.0055,-9.15,-5.0068,-70.624,
0.0053,-9.05,-5.0067,-71.039,
0.0051,-8.95,-5.0066,-71.821,
0.005,-8.85,-5.0066,-72.326,
0.005,-8.75,-5.0065,-72.833,
0.0047,-8.65,-5.0064,-73.265,
0.0045,-8.55,-5.0063,-73.714,
0.0044,-8.45,-5.0062,-74.221,
0.0042,-8.35,-5.0062,-74.695,
0.004,-8.25,-5.0061,-75.405,
0.0039,-8.15,-5.006,-75.645,
0.0039,-8.0499,-5.0059,-76.164,
0.0038,-7.9499,-5.0058,-76.632,
0.0037,-7.8499,-5.0057,-76.708,
0.0037,-7.7498,-5.0057,-77.434,
0.0036,-7.6498,-5.0056,-77.922,
0.0035,-7.5498,-5.0055,-78.400,
0.0035,-7.4498,-5.0054,-78.471,
