HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Razor SN 17414
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,17414
Manufacturer,IBA
Model,Razor
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.86,[pA]
Reference detector,-0.896,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-31T16:59:26.5127158-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-6.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,6.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.00,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,130000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.009172,[cm]
Calculated field width,9.828224,[cm]
Calculated penumbra left,0.613417,[cm]
Calculated penumbra right,0.691430,[cm]
Calculated symmetry,1.729,[%]
Normalisation factor,0.707251,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-6.4514,0.0012,-5.002,-4.186,
-6.3499,0.0023,-5.0039,-4.442,
-6.2498,0.0026,-5.0038,-4.701,
-6.1499,0.0025,-5.0038,-5.040,
-6.05,0.0024,-5.0037,-5.406,
-5.95,0.0024,-5.0037,-5.829,
-5.8499,0.0023,-5.0036,-6.333,
-5.7498,0.0022,-5.0036,-7.020,
-5.6498,0.0021,-5.0035,-7.819,
-5.5499,0.0021,-5.0035,-8.901,
-5.45,0.002,-5.0034,-10.301,
-5.35,0.0019,-5.0034,-12.375,
-5.2499,0.0018,-5.0033,-15.677,
-5.1499,0.0017,-5.0033,-21.507,
-5.0498,0.0017,-5.0032,-31.912,
-4.9499,0.0016,-5.0032,-46.237,
-4.85,0.0015,-5.0031,-60.362,
-4.75,0.0014,-5.0031,-70.774,
-4.6498,0.0014,-5.003,-76.870,
-4.5499,0.0013,-5.003,-80.445,
-4.45,0.0012,-5.0029,-82.956,
-4.35,0.0011,-5.0029,-84.612,
-4.2499,0.0011,-5.0028,-85.866,
-4.1499,0.001,-5.0028,-86.681,
-4.0499,0.0009,-5.0027,-87.512,
-3.95,0.0008,-5.0027,-88.053,
-3.85,0.0007,-5.0026,-88.850,
-3.75,0.0007,-5.0026,-89.449,
-3.6499,0.0006,-5.0025,-90.040,
-3.5498,0.0005,-5.0025,-90.554,
-3.4498,0.0004,-5.0024,-90.974,
-3.3499,0.0004,-5.0024,-91.225,
-3.25,0.0003,-5.0023,-92.019,
-3.1499,0.0002,-5.0023,-92.347,
-3.0499,0.0001,-5.0022,-92.944,
-2.9499,0,-5.0022,-93.349,
-2.8499,0,-5.0021,-93.921,
-2.75,-0.0001,-5.0021,-94.223,
-2.65,-0.0002,-5.002,-94.122,
-2.55,-0.0003,-5.0019,-94.754,
-2.4499,-0.0003,-5.0019,-95.120,
-2.3498,-0.0004,-5.0018,-95.611,
-2.2498,-0.0005,-5.0018,-95.994,
-2.1498,-0.0006,-5.0017,-96.341,
-2.0499,-0.0006,-5.0017,-96.600,
-1.9499,-0.0007,-5.0016,-96.839,
-1.8499,-0.0008,-5.0016,-96.894,
-1.7499,-0.0009,-5.0015,-97.444,
-1.65,-0.001,-5.0015,-97.645,
-1.55,-0.001,-5.0014,-98.114,
-1.45,-0.0011,-5.0014,-98.308,
-1.3499,-0.0012,-5.0013,-98.050,
-1.2498,-0.0013,-5.0013,-98.311,
-1.1498,-0.0013,-5.0012,-98.605,
-1.0499,-0.0014,-5.0012,-98.931,
-0.95,-0.0015,-5.0011,-99.336,
-0.8499,-0.0016,-5.0011,-99.209,
-0.7499,-0.0017,-5.001,-99.433,
-0.6499,-0.0017,-5.001,-99.632,
-0.5499,-0.0018,-5.0009,-99.574,
-0.45,-0.0019,-5.0009,-100.000,
-0.35,-0.002,-5.0008,-99.784,
-0.25,-0.002,-5.0008,-99.593,
-0.1499,-0.0021,-5.0007,-99.829,
-0.0498,-0.0022,-5.0007,-99.494,
0.0502,-0.0023,-5.0006,-99.640,
0.1502,-0.0023,-5.0006,-99.429,
0.2501,-0.0022,-5.0006,-99.314,
0.35,-0.0022,-5.0006,-99.354,
0.4501,-0.0022,-5.0006,-98.904,
0.5502,-0.0021,-5.0006,-99.120,
0.6501,-0.0021,-5.0005,-99.019,
0.75,-0.0021,-5.0005,-99.162,
0.8501,-0.002,-5.0005,-98.474,
0.9501,-0.002,-5.0005,-98.667,
1.05,-0.0019,-5.0005,-98.571,
1.15,-0.0019,-5.0005,-98.414,
1.2501,-0.0019,-5.0005,-98.048,
1.3501,-0.0018,-5.0005,-97.918,
1.45,-0.0018,-5.0005,-97.700,
1.55,-0.0017,-5.0005,-97.540,
1.6501,-0.0017,-5.0005,-97.402,
1.7501,-0.0017,-5.0004,-97.007,
1.85,-0.0016,-5.0004,-96.805,
1.9501,-0.0016,-5.0004,-96.650,
2.0502,-0.0016,-5.0004,-96.302,
2.1501,-0.0015,-5.0004,-95.967,
2.25,-0.0015,-5.0004,-95.739,
2.3501,-0.0014,-5.0004,-95.301,
2.4501,-0.0014,-5.0004,-94.857,
2.55,-0.0014,-5.0004,-94.762,
2.6501,-0.0013,-5.0004,-94.328,
2.7502,-0.0013,-5.0003,-94.069,
