HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Razor SN 17414
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,17414
Manufacturer,IBA
Model,Razor
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.86,[pA]
Reference detector,-0.896,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-31T15:45:25.2976755-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,1.66,[cm]
Field size inline,1.66,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-2,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,2,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.00,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,40000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.045096,[cm]
Calculated field width,1.735402,[cm]
Calculated penumbra left,0.448126,[cm]
Calculated penumbra right,0.471433,[cm]
Calculated symmetry,1.363,[%]
Normalisation factor,0.849869,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0003,-1.9496,-4.9994,-1.390,
0.0008,-1.8497,-4.9989,-1.566,
0.0008,-1.7498,-4.999,-1.834,
0.0008,-1.65,-4.999,-2.192,
0.0007,-1.5498,-4.999,-2.728,
0.0009,-1.4496,-4.999,-3.539,
0.001,-1.3497,-4.9991,-5.063,
0.0009,-1.2498,-4.9991,-7.617,
0.0009,-1.1496,-4.9991,-12.188,
0.0009,-1.0497,-4.9991,-19.652,
0.0008,-0.9499,-4.9992,-30.992,
0.0008,-0.8497,-4.9992,-45.811,
0.0008,-0.7498,-4.9992,-61.257,
0.0007,-0.6499,-4.9993,-74.779,
0.0007,-0.5497,-4.9993,-84.960,
0.0007,-0.4498,-4.9993,-91.628,
0.0008,-0.35,-4.9993,-95.441,
0.0009,-0.2498,-4.9994,-98.095,
0.0009,-0.1496,-4.9994,-99.284,
0.0008,-0.0497,-4.9994,-99.790,
0.0008,0.0502,-4.9994,-100.000,
0.0008,0.1504,-4.9995,-99.367,
0.0007,0.2503,-4.9995,-98.308,
0.0007,0.3501,-4.9995,-96.881,
0.0007,0.4503,-4.9995,-94.236,
0.0005,0.5502,-4.9996,-89.813,
0.0003,0.6501,-4.9996,-82.898,
0.0003,0.7503,-4.9996,-72.336,
0.0003,0.8502,-4.9997,-59.035,
0.0002,0.9501,-4.9997,-44.616,
0.0002,1.0502,-4.9997,-30.723,
0.0002,1.1504,-4.9997,-19.851,
0.0001,1.2503,-4.9998,-12.243,
0.0001,1.3502,-4.9998,-7.599,
0.0001,1.4504,-4.9998,-4.861,
0,1.5503,-4.9998,-3.445,
0,1.6501,-4.9999,-2.680,
0,1.7503,-4.9999,-2.300,
-0.0001,1.8502,-4.9999,-2.018,
0.0001,1.9498,-4.9999,-1.863,

Checksum:,FA9C936D460228125094E44F80B9A203347DBC8DED8C4396F8A408DD79B80D36
