HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Razor SN 17414
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,17414
Manufacturer,IBA
Model,Razor
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.86,[pA]
Reference detector,-0.896,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-31T17:58:03.5091585-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,24.07,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-13.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,13.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.00,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,270000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.003773,[cm]
Calculated field width,23.718767,[cm]
Calculated penumbra left,5.065934,[cm]
Calculated penumbra right,5.147191,[cm]
Calculated symmetry,0.848,[%]
Normalisation factor,0.675915,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-13.4512,0.0003,-5.0026,-5.696,
-13.3499,0.0007,-5.0052,-5.948,
-13.2499,0.0009,-5.0053,-6.216,
-13.1498,0.001,-5.0055,-6.523,
-13.0499,0.0012,-5.0057,-6.804,
-12.9499,0.0014,-5.0058,-7.197,
-12.8498,0.0015,-5.006,-7.643,
-12.7499,0.0017,-5.0062,-8.275,
-12.6499,0.0019,-5.0063,-8.970,
-12.5498,0.002,-5.0065,-9.979,
-12.4499,0.0022,-5.0066,-11.336,
-12.3499,0.0023,-5.0068,-13.429,
-12.2498,0.0025,-5.007,-17.360,
-12.1499,0.0027,-5.0071,-23.917,
-12.0499,0.0028,-5.0073,-33.355,
-11.9498,0.003,-5.0075,-43.061,
-11.8499,0.0032,-5.0076,-50.421,
-11.7499,0.0033,-5.0078,-55.310,
-11.6498,0.0035,-5.008,-58.617,
-11.5499,0.0037,-5.0081,-60.649,
-11.4499,0.0038,-5.0083,-62.143,
-11.3498,0.004,-5.0085,-63.301,
-11.2499,0.0042,-5.0086,-63.914,
-11.1499,0.0043,-5.0088,-64.692,
-11.0498,0.0045,-5.0089,-65.067,
-10.9499,0.0047,-5.0091,-65.515,
-10.8499,0.0048,-5.0093,-66.262,
-10.7498,0.005,-5.0094,-66.670,
-10.6499,0.0051,-5.0096,-67.066,
-10.5499,0.0053,-5.0098,-67.309,
-10.4498,0.0055,-5.0099,-67.617,
-10.3499,0.0056,-5.0101,-68.344,
-10.2499,0.0058,-5.0103,-68.565,
-10.1498,0.006,-5.0104,-68.865,
-10.0499,0.0061,-5.0106,-69.316,
-9.9499,0.0063,-5.0108,-69.502,
-9.8498,0.0065,-5.0109,-69.778,
-9.7499,0.0066,-5.0111,-70.254,
-9.65,0.0068,-5.0112,-70.521,
-9.55,0.007,-5.0114,-71.170,
