HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.903 mm, Y=0.114 mm, Z=0.001 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Razor SN 17414
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,17414
Manufacturer,IBA
Model,Razor
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.86,[pA]
Reference detector,-0.896,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-31T15:42:57.2917668-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,0.83,[cm]
Field size inline,0.83,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Completed successfully
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-21,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.00,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,211000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,52.792,[%]
Calculated D20,26.470,[%]
DMax,0.989969,[cm]
Normalisation factor,0.836999,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0449,0.0057,-20.9501,-24.864,
0.0903,0.0114,-20.85,-25.045,
0.0898,0.0112,-20.75,-25.173,
0.0892,0.0111,-20.65,-25.384,
0.0886,0.011,-20.55,-25.503,
0.0881,0.0108,-20.45,-25.766,
0.0875,0.0107,-20.35,-25.882,
0.087,0.0106,-20.25,-26.075,
0.0864,0.0104,-20.15,-26.218,
0.0858,0.0103,-20.05,-26.380,
0.0853,0.0102,-19.95,-26.561,
0.0847,0.0101,-19.85,-26.674,
0.0842,0.0099,-19.75,-26.949,
0.0836,0.0098,-19.65,-27.124,
0.0831,0.0097,-19.55,-27.321,
0.0825,0.0095,-19.45,-27.481,
0.0819,0.0094,-19.35,-27.702,
0.0814,0.0093,-19.25,-27.803,
0.0808,0.0091,-19.15,-28.094,
0.0803,0.009,-19.05,-28.329,
0.0797,0.0089,-18.95,-28.488,
0.0791,0.0088,-18.85,-28.660,
0.0786,0.0086,-18.75,-28.838,
0.078,0.0085,-18.65,-28.945,
0.0775,0.0084,-18.55,-29.218,
0.0769,0.0082,-18.45,-29.354,
0.0763,0.0081,-18.35,-29.563,
0.0758,0.008,-18.2501,-29.703,
0.0752,0.0078,-18.15,-29.988,
0.0747,0.0077,-18.05,-30.186,
0.0741,0.0076,-17.95,-30.394,
0.0735,0.0075,-17.8501,-30.595,
0.073,0.0073,-17.75,-30.832,
0.0724,0.0072,-17.65,-30.987,
0.0719,0.0071,-17.55,-31.283,
0.0713,0.0069,-17.45,-31.365,
0.0707,0.0068,-17.35,-31.707,
0.0702,0.0067,-17.25,-31.808,
0.0696,0.0066,-17.15,-32.066,
0.0691,0.0064,-17.05,-32.246,
0.0685,0.0063,-16.95,-32.470,
0.0679,0.0062,-16.85,-32.667,
0.0674,0.006,-16.75,-32.937,
0.0669,0.0059,-16.65,-33.127,
0.0664,0.0058,-16.55,-33.389,
0.0659,0.0058,-16.45,-33.704,
0.0654,0.0058,-16.35,-33.838,
0.0649,0.0058,-16.25,-34.034,
0.0645,0.0058,-16.15,-34.369,
0.064,0.0058,-16.05,-34.578,
0.0635,0.0058,-15.95,-34.792,
0.063,0.0058,-15.85,-35.053,
0.0626,0.0058,-15.75,-35.281,
0.0621,0.0057,-15.65,-35.569,
0.0616,0.0057,-15.5501,-35.827,
0.0611,0.0057,-15.45,-35.993,
0.0607,0.0057,-15.35,-36.147,
0.0602,0.0057,-15.25,-36.501,
0.0597,0.0057,-15.15,-36.725,
0.0592,0.0057,-15.05,-36.965,
0.0588,0.0057,-14.95,-37.269,
0.0583,0.0057,-14.85,-37.445,
0.0578,0.0056,-14.7501,-37.692,
0.0573,0.0056,-14.6501,-38.036,
0.0569,0.0056,-14.55,-38.253,
0.0564,0.0056,-14.45,-38.568,
0.0559,0.0056,-14.35,-38.834,
0.0554,0.0056,-14.25,-39.060,
0.055,0.0056,-14.15,-39.287,
0.0545,0.0056,-14.05,-39.612,
0.054,0.0055,-13.95,-39.916,
0.0535,0.0055,-13.85,-40.154,
0.0531,0.0055,-13.75,-40.398,
0.0526,0.0055,-13.65,-40.824,
0.0521,0.0055,-13.55,-41.181,
0.0516,0.0055,-13.45,-41.501,
0.0512,0.0055,-13.35,-41.881,
0.0507,0.0055,-13.25,-42.157,
0.0502,0.0055,-13.15,-42.489,
0.0498,0.0054,-13.05,-42.668,
0.0493,0.0054,-12.95,-42.976,
0.0488,0.0054,-12.85,-43.316,
0.0483,0.0054,-12.75,-43.557,
0.0479,0.0054,-12.65,-43.867,
0.0474,0.0054,-12.55,-44.241,
0.0469,0.0054,-12.45,-44.475,
0.0464,0.0054,-12.35,-44.802,
0.046,0.0054,-12.25,-45.138,
0.0455,0.0053,-12.15,-45.467,
0.045,0.0053,-12.05,-45.751,
0.0445,0.0053,-11.95,-46.059,
0.0441,0.0053,-11.85,-46.337,
0.0436,0.0053,-11.75,-46.645,
0.0431,0.0053,-11.65,-47.084,
0.0426,0.0053,-11.55,-47.284,
0.0422,0.0053,-11.45,-47.613,
0.0417,0.0052,-11.35,-47.996,
0.0412,0.0052,-11.25,-48.234,
0.0407,0.0052,-11.15,-48.651,
0.0403,0.0052,-11.05,-48.906,
0.0398,0.0052,-10.95,-49.299,
0.0393,0.0052,-10.85,-49.772,
0.0388,0.0052,-10.75,-50.094,
0.0384,0.0052,-10.65,-50.375,
0.0379,0.0051,-10.55,-50.824,
0.0375,0.0051,-10.45,-51.082,
0.0372,0.0051,-10.35,-51.461,
0.0368,0.005,-10.25,-51.823,
0.0365,0.005,-10.1501,-52.143,
0.0361,0.005,-10.05,-52.654,
0.0357,0.0049,-9.95,-52.930,
0.0354,0.0049,-9.85,-53.270,
0.035,0.0049,-9.75,-53.745,
0.0346,0.0048,-9.65,-54.111,
0.0343,0.0048,-9.55,-54.547,
0.0339,0.0047,-9.4501,-54.988,
0.0336,0.0047,-9.35,-55.442,
0.0332,0.0047,-9.2501,-55.807,
0.0328,0.0046,-9.15,-56.209,
0.0325,0.0046,-9.05,-56.642,
0.0321,0.0046,-8.95,-56.966,
0.0317,0.0045,-8.85,-57.475,
0.0314,0.0045,-8.75,-57.824,
0.031,0.0045,-8.65,-58.275,
0.0307,0.0044,-8.5501,-58.714,
0.0303,0.0044,-8.45,-59.095,
0.0299,0.0043,-8.3501,-59.515,
0.0296,0.0043,-8.25,-59.864,
0.0292,0.0043,-8.15,-60.369,
0.0288,0.0042,-8.05,-60.911,
0.0285,0.0042,-7.95,-61.284,
0.0281,0.0042,-7.85,-61.782,
0.0278,0.0041,-7.75,-62.180,
0.0274,0.0041,-7.65,-62.645,
0.027,0.0041,-7.55,-63.092,
