HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,W2MR 1X1 SN XMG212160
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMG212160
Manufacturer,Standard Imaging
Model,W2MR 1X1
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.875,[pA]
Reference detector,-0.876,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-25T17:25:13.3729716-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,14.94,[cm]
Field size inline,14.94,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-8.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,8.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,170000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-3.663646,[cm]
Calculated field width,7.327292,[cm]
Calculated penumbra left,1.393402,[cm]
Calculated penumbra right,6.353915,[cm]
Calculated symmetry,17.962,[%]
Normalisation factor,0.062790,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-8.4519,0.0015,-5.0027,5.501,
-8.35,0.0029,-5.0054,5.965,
-8.2499,0.0034,-5.0053,6.449,
-8.1499,0.0037,-5.0053,7.139,
-8.0498,0.0036,-5.0052,7.769,
-7.9498,0.0035,-5.0052,8.723,
-7.8499,0.0035,-5.0051,10.105,
-7.75,0.0034,-5.0051,11.995,
-7.6499,0.0033,-5.005,15.364,
-7.5498,0.0032,-5.005,21.583,
-7.4499,0.0031,-5.0049,32.912,
-7.35,0.0031,-5.0048,47.668,
-7.25,0.003,-5.0048,57.937,
-7.1499,0.0029,-5.0047,65.288,
-7.0499,0.0028,-5.0047,69.856,
-6.9498,0.0028,-5.0046,72.550,
-6.8499,0.0027,-5.0046,74.420,
-6.75,0.0026,-5.0045,75.218,
-6.65,0.0025,-5.0045,77.148,
-6.5499,0.0024,-5.0044,77.395,
-6.4498,0.0024,-5.0044,78.154,
-6.3498,0.0023,-5.0043,79.761,
-6.2499,0.0022,-5.0043,79.036,
-6.15,0.0021,-5.0042,80.452,
-6.0499,0.002,-5.0042,81.532,
-5.9499,0.002,-5.0041,81.335,
-5.8499,0.0019,-5.0041,82.064,
-5.75,0.0018,-5.004,82.159,
-5.65,0.0017,-5.004,83.096,
-5.55,0.0016,-5.0039,83.236,
-5.4499,0.0016,-5.0039,83.726,
-5.3499,0.0015,-5.0038,85.038,
-5.25,0.0014,-5.0038,84.497,
-5.15,0.0013,-5.0037,85.660,
-5.05,0.0013,-5.0036,85.507,
-4.9499,0.0012,-5.0036,86.153,
-4.8498,0.0011,-5.0035,87.053,
-4.7498,0.001,-5.0035,86.788,
-4.6499,0.0009,-5.0034,87.743,
-4.5498,0.0009,-5.0034,87.844,
-4.4498,0.0008,-5.0033,87.661,
-4.3499,0.0007,-5.0033,89.447,
-4.25,0.0006,-5.0032,88.891,
-4.1499,0.0005,-5.0032,89.790,
-4.0499,0.0005,-5.0031,89.635,
-3.9498,0.0004,-5.0031,90.317,
-3.8498,0.0003,-5.003,90.691,
-3.7499,0.0002,-5.003,90.857,
