HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,W2MR 1X1 SN XMG212160
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMG212160
Manufacturer,Standard Imaging
Model,W2MR 1X1
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.857,[pA]
Reference detector,-0.881,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-25T16:51:26.8027380-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-6,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,6,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,120000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.024377,[cm]
Calculated field width,10.037613,[cm]
Calculated penumbra left,0.685563,[cm]
Calculated penumbra right,0.663171,[cm]
Calculated symmetry,2.341,[%]
Normalisation factor,0.063639,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0008,-5.9504,-5,5.718,
0.0004,-5.8499,-4.9999,6.119,
0.0007,-5.7497,-4.9999,6.689,
0.0008,-5.6498,-5,7.504,
0.001,-5.5499,-5,8.668,
0.0011,-5.4498,-5,10.794,
0.0011,-5.3496,-5,14.041,
0.0009,-5.2497,-5.0001,19.690,
0.0006,-5.1498,-5.0001,28.654,
0.0006,-5.0496,-5.0001,42.114,
0.0006,-4.9497,-5.0001,56.394,
0.0005,-4.8498,-5.0002,66.522,
0.0007,-4.7497,-5.0002,73.276,
0.0009,-4.6498,-5.0002,77.590,
0.0008,-4.5499,-5.0002,80.291,
0.001,-4.4497,-5.0003,82.065,
0.0011,-4.3498,-5.0003,83.416,
0.0012,-4.2499,-5.0003,84.743,
0.0013,-4.1498,-5.0003,85.361,
0.0013,-4.0496,-5.0004,86.262,
0.0014,-3.9497,-5.0004,86.299,
0.0015,-3.8498,-5.0004,87.263,
0.0016,-3.7496,-5.0004,87.963,
0.0017,-3.6497,-5.0005,88.583,
0.0017,-3.5498,-5.0005,88.783,
0.0017,-3.4497,-5.0005,89.188,
0.0016,-3.3498,-5.0005,89.942,
0.0016,-3.2499,-5.0006,90.081,
0.0016,-3.1497,-5.0006,90.910,
0.0015,-3.0498,-5.0006,91.355,
0.0015,-2.9499,-5.0006,91.538,
0.0015,-2.8497,-5.0007,92.032,
0.0014,-2.7496,-5.0007,92.413,
0.0014,-2.6497,-5.0007,92.694,
0.0014,-2.5498,-5.0007,93.287,
0.0015,-2.4496,-5.0008,93.501,
0.0016,-2.3497,-5.0008,94.049,
0.0016,-2.2498,-5.0008,94.207,
0.0015,-2.1496,-5.0008,94.877,
0.0015,-2.0497,-5.0009,94.691,
0.0015,-1.9499,-5.0009,95.239,
0.0014,-1.8497,-5.0009,95.327,
0.0014,-1.7498,-5.0009,95.941,
0.0014,-1.6499,-5.001,96.099,
0.0013,-1.5497,-5.001,96.326,
0.0013,-1.4498,-5.001,96.150,
0.0013,-1.3499,-5.0011,96.220,
0.0012,-1.2497,-5.0011,97.106,
0.0012,-1.1498,-5.0011,97.355,
0.0012,-1.0499,-5.0011,97.148,
0.0011,-0.9497,-5.0012,97.529,
0.0011,-0.8498,-5.0012,98.224,
0.0013,-0.75,-5.0012,97.907,
0.0014,-0.6498,-5.0012,97.987,
0.0014,-0.5496,-5.0013,98.305,
0.0014,-0.4497,-5.0013,97.951,
0.0013,-0.3498,-5.0013,98.384,
0.0013,-0.2496,-5.0013,100.000,
0.0013,-0.1497,-5.0014,98.313,
0.0012,-0.0499,-5.0014,98.465,
0.0012,0.0503,-5.0014,98.665,
0.0012,0.1502,-5.0014,99.266,
0.0011,0.2501,-5.0015,98.186,
0.0011,0.3503,-5.0015,98.149,
0.0011,0.4502,-5.0015,98.222,
0.001,0.5501,-5.0015,98.267,
0.001,0.6502,-5.0016,98.400,
0.001,0.7504,-5.0016,98.060,
0.0009,0.8503,-5.0016,98.252,
