HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,W2MR 1X1 SN XMG212160
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMG212160
Manufacturer,Standard Imaging
Model,W2MR 1X1
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.88,[pA]
Reference detector,-0.888,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-25T16:15:05.1748215-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,3.32,[cm]
Field size inline,3.32,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-2.6,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,2.6,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,52000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.016885,[cm]
Calculated field width,3.402958,[cm]
Calculated penumbra left,0.438393,[cm]
Calculated penumbra right,0.466004,[cm]
Calculated symmetry,1.608,[%]
Normalisation factor,0.070918,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0002,-2.5498,-4.9994,3.449,
0.0003,-2.4496,-4.9987,3.808,
0.0006,-2.3497,-4.9988,4.751,
0.0007,-2.2498,-4.9988,5.665,
0.0006,-2.1496,-4.9988,7.431,
0.0006,-2.0497,-4.9988,10.616,
0.0007,-1.9499,-4.9989,15.811,
0.0008,-1.8497,-4.9989,24.716,
0.0008,-1.7498,-4.9989,38.493,
0.0008,-1.6499,-4.9989,56.123,
0.0007,-1.5497,-4.999,71.294,
0.0007,-1.4498,-4.999,81.487,
0.0007,-1.3499,-4.999,87.816,
0.0006,-1.2497,-4.999,92.173,
0.0006,-1.1498,-4.999,94.835,
0.0007,-1.0499,-4.9991,95.623,
0.0008,-0.9497,-4.9991,97.095,
0.0006,-0.8498,-4.9991,97.796,
0.0005,-0.75,-4.9991,98.054,
0.0004,-0.6498,-4.9992,98.891,
0.0004,-0.5496,-4.9992,98.604,
0.0004,-0.4497,-4.9992,99.790,
0.0005,-0.3498,-4.9992,98.950,
0.0006,-0.2496,-4.9993,99.434,
0.0006,-0.1497,-4.9993,99.681,
0.0007,-0.0499,-4.9993,99.710,
0.0008,0.0503,-4.9993,100.000,
0.0008,0.1502,-4.9994,99.301,
0.0007,0.2501,-4.9994,99.644,
0.0007,0.3503,-4.9994,99.233,
0.0007,0.4502,-4.9994,99.297,
0.0006,0.5501,-4.9995,99.305,
0.0006,0.6502,-4.9995,98.697,
0.0006,0.7504,-4.9995,98.963,
0.0005,0.8503,-4.9995,98.085,
0.0005,0.9502,-4.9996,97.756,
0.0005,1.0504,-4.9996,96.510,
0.0004,1.1503,-4.9996,95.177,
0.0004,1.2501,-4.9996,93.066,
0.0004,1.3503,-4.9997,89.041,
0.0003,1.4502,-4.9997,82.779,
0.0003,1.5501,-4.9997,74.096,
0.0003,1.6503,-4.9997,60.497,
0.0002,1.7502,-4.9998,45.090,
0.0002,1.8501,-4.9998,29.939,
0.0002,1.9502,-4.9998,19.795,
-0.0001,2.0504,-4.9998,13.231,
-0.0002,2.1503,-4.9999,9.253,
-0.0002,2.2502,-4.9999,6.950,
-0.0003,2.3504,-4.9999,5.587,
-0.0003,2.4503,-4.9999,4.787,
-0.0003,2.5499,-5,4.199,

Checksum:,45245386583EC5C1A413A4E381A10FE7262B955B94CF250ED8068983693F6327
