HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,W2MR 1X1 SN XMG212160
Project run number,3
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMG212160
Manufacturer,Standard Imaging
Model,W2MR 1X1
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.867,[pA]
Reference detector,-0.878,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-25T18:27:00.8966439-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,27.2,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-14.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,14.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,290000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.008211,[cm]
Calculated field width,26.685659,[cm]
Calculated penumbra left,6.601588,[cm]
Calculated penumbra right,6.438831,[cm]
Calculated symmetry,1.703,[%]
Normalisation factor,0.060696,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-14.4517,0.0002,-5.0028,6.358,
-14.3499,0.0007,-5.0058,6.735,
-14.2498,0.0011,-5.0059,7.228,
-14.1499,0.0013,-5.0061,7.968,
-14.0499,0.0014,-5.0063,8.884,
-13.9498,0.0016,-5.0064,10.102,
-13.8499,0.0017,-5.0066,12.083,
-13.7499,0.0019,-5.0067,15.767,
-13.6498,0.002,-5.0069,22.847,
-13.5499,0.0022,-5.0071,33.677,
-13.4499,0.0024,-5.0072,43.162,
-13.3498,0.0025,-5.0074,49.500,
-13.2499,0.0027,-5.0075,52.791,
-13.1499,0.0028,-5.0077,55.267,
-13.0498,0.003,-5.0079,56.882,
-12.9499,0.0032,-5.008,57.504,
-12.8499,0.0033,-5.0082,59.156,
-12.7498,0.0035,-5.0083,59.147,
-12.6499,0.0036,-5.0085,59.565,
-12.55,0.0038,-5.0087,60.437,
-12.4499,0.004,-5.0088,60.474,
-12.3498,0.0041,-5.009,61.382,
-12.2497,0.0043,-5.0091,61.209,
-12.1498,0.0044,-5.0093,62.394,
-12.0499,0.0046,-5.0095,62.154,
-11.9498,0.0047,-5.0096,63.006,
-11.8499,0.0049,-5.0098,62.823,
-11.7499,0.0051,-5.01,63.381,
-11.6498,0.0052,-5.0101,63.932,
-11.5499,0.0054,-5.0103,64.332,
-11.4499,0.0055,-5.0104,65.091,
-11.3498,0.0057,-5.0106,65.269,
-11.2499,0.0059,-5.0108,65.641,
-11.1499,0.006,-5.0109,65.955,
-11.0498,0.0062,-5.0111,66.000,
-10.9499,0.0063,-5.0112,66.419,
-10.8499,0.0065,-5.0114,66.582,
-10.7498,0.0066,-5.0116,67.257,
-10.6499,0.0068,-5.0117,67.038,
-10.55,0.007,-5.0119,67.436,
-10.4499,0.0071,-5.012,68.507,
-10.3499,0.0073,-5.0122,68.210,
-10.2498,0.0074,-5.0124,69.066,
