HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,W2MR 1X1 SN XMG212160
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMG212160
Manufacturer,Standard Imaging
Model,W2MR 1X1
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.875,[pA]
Reference detector,-0.876,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-25T17:43:53.6940739-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,19.92,[cm]
Field size inline,19.92,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-11,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,11,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,220000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.057292,[cm]
Calculated field width,19.959174,[cm]
Calculated penumbra left,6.551816,[cm]
Calculated penumbra right,2.599956,[cm]
Calculated symmetry,4.063,[%]
Normalisation factor,0.061561,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0019,-10.9496,-5.004,6.581,
-0.001,-10.8496,-5.008,6.966,
-0.0004,-10.7495,-5.0079,7.551,
0.0008,-10.6495,-5.0078,8.294,
0.0019,-10.5497,-5.0077,9.257,
0.0028,-10.45,-5.0076,10.983,
0.0037,-10.35,-5.0076,14.002,
0.0057,-10.25,-5.0075,18.775,
0.0074,-10.15,-5.0074,26.280,
0.0075,-10.05,-5.0073,37.085,
0.0074,-9.95,-5.0072,47.934,
0.0071,-9.85,-5.0071,55.392,
0.0068,-9.75,-5.0071,60.431,
0.0066,-9.65,-5.007,63.300,
0.0065,-9.55,-5.0069,65.315,
0.0065,-9.45,-5.0068,66.561,
0.0064,-9.35,-5.0067,67.645,
0.0063,-9.25,-5.0067,68.364,
0.0062,-9.15,-5.0066,68.875,
0.0062,-9.05,-5.0065,69.383,
0.0061,-8.95,-5.0064,69.948,
0.006,-8.85,-5.0063,70.587,
0.006,-8.7499,-5.0062,70.773,
0.0059,-8.6499,-5.0062,71.420,
0.0058,-8.5499,-5.0061,71.874,
0.0058,-8.4498,-5.006,72.234,
0.0057,-8.3498,-5.0059,72.640,
0.0056,-8.2498,-5.0058,73.229,
0.0056,-8.1498,-5.0057,73.729,
0.0053,-8.0498,-5.0057,73.889,
0.0049,-7.9498,-5.0056,74.538,
0.0048,-7.8498,-5.0055,74.952,
0.0047,-7.7498,-5.0054,75.803,
0.0046,-7.6498,-5.0053,76.271,
0.0044,-7.5498,-5.0052,76.166,
0.0042,-7.4498,-5.0052,76.884,
0.0041,-7.3498,-5.0051,77.177,
0.004,-7.2498,-5.005,76.957,
0.004,-7.1498,-5.0049,77.424,
0.0039,-7.0498,-5.0048,78.179,
0.0036,-6.9498,-5.0048,78.767,
0.0034,-6.8498,-5.0047,78.612,
0.0033,-6.7498,-5.0046,79.718,
0.0032,-6.6498,-5.0045,79.500,
0.0032,-6.5498,-5.0044,80.010,
0.0029,-6.4498,-5.0043,80.434,
0.0027,-6.3497,-5.0043,80.919,
0.0027,-6.2497,-5.0042,81.348,
0.0026,-6.1497,-5.0041,81.604,
0.0025,-6.0497,-5.0041,82.070,
0.0025,-5.9498,-5.0041,82.798,
0.0023,-5.8499,-5.0041,82.858,
0.0021,-5.7497,-5.0041,82.859,
0.0021,-5.6498,-5.0042,83.970,
0.0021,-5.5499,-5.0042,84.208,
0.002,-5.4498,-5.0042,83.947,
0.002,-5.3496,-5.0042,84.635,
0.002,-5.2497,-5.0043,85.315,
0.0017,-5.1498,-5.0043,85.449,
0.0016,-5.0499,-5.0043,85.520,
0.0016,-4.95,-5.0043,86.298,
0.0015,-4.8498,-5.0044,86.987,
0.0015,-4.7497,-5.0044,87.025,
0.0013,-4.6498,-5.0044,87.803,
0.0011,-4.5499,-5.0044,87.597,
0.0011,-4.4497,-5.0045,87.979,
0.0009,-4.3498,-5.0045,88.553,
0.0007,-4.2499,-5.0045,88.935,
0.0007,-4.1498,-5.0045,88.969,
0.0007,-4.0496,-5.0046,89.563,
0.0006,-3.9497,-5.0046,89.779,
0.0006,-3.8498,-5.0046,90.456,
0.0006,-3.7496,-5.0046,90.815,
0.0007,-3.6497,-5.0047,91.381,
0.0008,-3.5498,-5.0047,91.338,
0.0009,-3.4497,-5.0047,91.863,
0.001,-3.3498,-5.0047,92.168,
0.001,-3.2499,-5.0048,92.545,
0.0011,-3.1497,-5.0048,93.051,
0.0012,-3.0498,-5.0048,93.505,
0.0012,-2.9499,-5.0048,93.270,
0.0012,-2.8497,-5.0049,93.875,
0.0011,-2.7496,-5.0049,94.235,
0.0011,-2.6497,-5.0049,95.111,
0.0011,-2.5498,-5.0049,94.535,
0.0012,-2.4496,-5.005,94.959,
0.0013,-2.3497,-5.005,95.844,
0.0013,-2.2498,-5.005,95.905,
0.0012,-2.1496,-5.005,95.928,
0.0012,-2.0497,-5.0051,96.287,
0.0013,-1.9499,-5.0051,96.805,
0.0014,-1.8497,-5.0051,96.758,
0.0014,-1.7498,-5.0051,97.427,
0.002,-1.6499,-5.0052,97.267,
0.0028,-1.5497,-5.0052,97.449,
0.0029,-1.4498,-5.0052,98.018,
0.003,-1.3499,-5.0052,98.056,
0.0029,-1.2497,-5.0053,98.359,
0.0026,-1.1498,-5.0053,98.633,
0.0025,-1.0499,-5.0053,98.592,
0.0022,-0.9497,-5.0054,98.468,
0.0021,-0.8498,-5.0054,98.863,
0.0019,-0.75,-5.0054,99.294,
0.0017,-0.6498,-5.0054,99.575,
0.0017,-0.5496,-5.0055,99.210,
0.0017,-0.4497,-5.0055,99.916,
0.0014,-0.3498,-5.0055,99.305,
0.0013,-0.2496,-5.0055,99.926,
0.0013,-0.1497,-5.0056,99.873,
0.0012,-0.0499,-5.0056,99.294,
0.0012,0.0503,-5.0056,99.426,
0.0012,0.1502,-5.0056,99.963,
0.0011,0.2501,-5.0057,99.651,
0.0011,0.3503,-5.0057,99.953,
0.0009,0.4502,-5.0057,99.779,
0.0007,0.5501,-5.0057,100.000,
0.0006,0.6502,-5.0058,99.773,
0.0008,0.7504,-5.0058,99.427,
0.0009,0.8503,-5.0058,99.795,
0.0009,0.9502,-5.0058,99.485,
0.0009,1.0504,-5.0059,99.545,
0.0008,1.1503,-5.0059,99.112,
0.0008,1.2501,-5.0059,99.242,
0.0008,1.3503,-5.0059,98.916,
0.0007,1.4502,-5.006,98.814,
0.0007,1.5501,-5.006,98.346,
0.0007,1.6503,-5.006,98.729,
0.0006,1.7502,-5.006,99.029,
0.0006,1.8501,-5.0061,97.980,
0.0006,1.9503,-5.0061,98.582,
0.0005,2.0502,-5.0061,97.729,
0.0005,2.1501,-5.0061,97.674,
0.0005,2.2503,-5.0062,97.465,
0.0005,2.3502,-5.0062,97.035,
0.0004,2.4501,-5.0062,97.384,
0.0004,2.5503,-5.0062,96.455,
0.0004,2.6504,-5.0063,96.181,
0.0003,2.7503,-5.0063,96.863,
0.0003,2.8502,-5.0063,96.071,
0.0003,2.9504,-5.0063,95.907,
0.0002,3.0503,-5.0064,95.651,
0.0002,3.1502,-5.0064,95.024,
0.0002,3.2504,-5.0064,95.184,
0.0001,3.3505,-5.0064,94.644,
0.0001,3.4504,-5.0064,95.021,
0.0001,3.5504,-5.0063,94.448,
0.0001,3.6505,-5.0062,93.662,
0.0001,3.7505,-5.0061,93.833,
0.0001,3.8505,-5.006,93.674,
0.0001,3.9503,-5.006,92.874,
0.0001,4.05,-5.0059,92.696,
0.0001,4.15,-5.0058,93.258,
0.0001,4.25,-5.0057,92.765,
0.0001,4.3501,-5.0056,91.953,
0.0001,4.4501,-5.0055,91.260,
0.0003,4.5501,-5.0054,91.370,
0.0004,4.6502,-5.0054,90.887,
0.0004,4.7502,-5.0053,90.893,
0.0004,4.8502,-5.0052,90.417,
0.0002,4.9502,-5.0051,89.794,
0.0001,5.0503,-5.005,89.799,
0.0001,5.1503,-5.0049,89.109,
0.0001,5.2503,-5.0049,89.209,
0.0001,5.3504,-5.0048,88.804,
0.0001,5.4504,-5.0047,88.247,
0.0001,5.5504,-5.0046,87.780,
0.0001,5.6505,-5.0045,87.470,
0.0001,5.7505,-5.0044,87.104,
0.0001,5.8503,-5.0044,86.873,
0.0001,5.95,-5.0043,86.766,
0.0001,6.05,-5.0042,86.230,
0.0001,6.15,-5.0041,85.910,
0.0001,6.25,-5.004,85.565,
0.0001,6.3501,-5.0039,85.194,
0.0001,6.4501,-5.0039,84.607,
0.0001,6.5501,-5.0038,84.588,
0.0001,6.6502,-5.0037,83.949,
0.0001,6.7503,-5.0036,83.381,
0.0001,6.8503,-5.0035,83.374,
0.0001,6.9504,-5.0034,83.001,
0.0001,7.0504,-5.0034,82.700,
0.0001,7.1504,-5.0033,82.018,
0.0001,7.2504,-5.0032,81.986,
0.0001,7.3505,-5.0031,80.941,
0.0001,7.4505,-5.003,81.072,
-0.0001,7.5503,-5.0029,80.742,
-0.0003,7.65,-5.0029,80.351,
-0.0003,7.75,-5.0028,80.219,
-0.0003,7.85,-5.0027,79.623,
-0.0003,7.9501,-5.0026,79.181,
-0.0003,8.0501,-5.0025,79.004,
-0.0003,8.1502,-5.0024,78.825,
-0.0003,8.2503,-5.0023,77.818,
-0.0003,8.3503,-5.0023,77.441,
-0.0003,8.4503,-5.0022,77.124,
-0.0003,8.5503,-5.0021,76.633,
-0.0003,8.6504,-5.002,76.173,
-0.0003,8.7504,-5.0019,76.033,
-0.0003,8.8504,-5.0018,75.024,
-0.0003,8.9505,-5.0018,74.955,
-0.0003,9.0505,-5.0017,74.253,
-0.0003,9.1503,-5.0016,73.442,
