HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,W2MR 1X1 SN XMG212160
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMG212160
Manufacturer,Standard Imaging
Model,W2MR 1X1
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.88,[pA]
Reference detector,-0.888,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-25T16:05:42.3164403-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,2.49,[cm]
Field size inline,2.49,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-2.3,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,2.3,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,46000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.065220,[cm]
Calculated field width,2.515081,[cm]
Calculated penumbra left,0.376570,[cm]
Calculated penumbra right,0.348921,[cm]
Calculated symmetry,1.798,[%]
Normalisation factor,0.072928,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0003,-2.2501,-4.9994,1.983,
0.0006,-2.1496,-4.9988,2.185,
0.0008,-2.0497,-4.9989,2.582,
0.0009,-1.9499,-4.9989,3.148,
0.0008,-1.8497,-4.9989,3.772,
0.0008,-1.7498,-4.9989,4.781,
0.0009,-1.6499,-4.999,6.347,
0.001,-1.5497,-4.999,8.900,
0.001,-1.4498,-4.999,13.894,
0.001,-1.3499,-4.999,23.017,
0.0009,-1.2497,-4.9991,38.419,
0.0009,-1.1498,-4.9991,58.582,
0.0009,-1.0499,-4.9991,75.803,
0.0008,-0.9497,-4.9992,85.463,
0.0008,-0.8498,-4.9992,91.699,
0.0008,-0.75,-4.9992,95.179,
0.0007,-0.6498,-4.9992,96.669,
0.0007,-0.5496,-4.9993,98.143,
0.0007,-0.4497,-4.9993,98.097,
0.0006,-0.3498,-4.9993,99.069,
0.0006,-0.2496,-4.9993,99.453,
0.0006,-0.1497,-4.9994,99.365,
0.0007,-0.0499,-4.9994,99.848,
0.0008,0.0503,-4.9994,100.000,
0.0008,0.1502,-4.9994,99.886,
0.0007,0.2501,-4.9995,99.511,
0.0007,0.3503,-4.9995,99.394,
0.0007,0.4502,-4.9995,99.111,
0.0006,0.5501,-4.9995,98.633,
0.0006,0.6502,-4.9996,98.346,
0.0006,0.7504,-4.9996,96.954,
0.0005,0.8503,-4.9996,96.178,
0.0005,0.9502,-4.9996,93.980,
0.0005,1.0504,-4.9997,89.781,
0.0004,1.1503,-4.9997,81.316,
0.0002,1.2501,-4.9997,66.076,
0.0001,1.3503,-4.9997,43.907,
0,1.4502,-4.9998,26.105,
0,1.5501,-4.9998,15.524,
0,1.6503,-4.9998,10.062,
-0.0001,1.7502,-4.9998,7.167,
-0.0001,1.8501,-4.9999,5.585,
-0.0001,1.9502,-4.9999,4.478,
-0.0002,2.0504,-4.9999,3.746,
-0.0002,2.1503,-4.9999,3.278,
-0.0002,2.2499,-5,2.773,

Checksum:,70240572C418AED86796980563B322AEE9DDF176F82CD5D2365039AF63E05ACE
