HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,W2MR 1X1 SN XMG212160
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMG212160
Manufacturer,Standard Imaging
Model,W2MR 1X1
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.857,[pA]
Reference detector,-0.881,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-25T16:38:00.0546009-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,4.98,[cm]
Field size inline,4.98,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-3.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,3.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,70000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.016808,[cm]
Calculated field width,4.907232,[cm]
Calculated penumbra left,0.388811,[cm]
Calculated penumbra right,2.201790,[cm]
Calculated symmetry,4.947,[%]
Normalisation factor,0.068024,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-3.45,0.0006,-5.0011,3.610,
-3.3498,0.0011,-5.0022,4.252,
-3.2499,0.0012,-5.0021,4.959,
-3.15,0.0015,-5.0021,5.613,
-3.0499,0.0015,-5.002,6.692,
-2.9498,0.0014,-5.002,8.206,
-2.8498,0.0013,-5.0019,10.143,
-2.7499,0.0012,-5.0019,13.363,
-2.65,0.0012,-5.0018,18.479,
-2.55,0.0011,-5.0018,29.443,
-2.4499,0.001,-5.0017,47.410,
-2.3498,0.0009,-5.0016,67.215,
-2.2498,0.0008,-5.0016,79.843,
-2.1499,0.0008,-5.0015,86.166,
-2.05,0.0007,-5.0015,89.624,
-1.9499,0.0006,-5.0014,92.735,
-1.8499,0.0005,-5.0014,93.239,
-1.7499,0.0004,-5.0013,94.833,
-1.65,0.0004,-5.0013,94.800,
-1.55,0.0003,-5.0012,95.788,
-1.45,0.0002,-5.0012,96.784,
-1.3499,0.0001,-5.0011,96.580,
-1.2498,0,-5.0011,97.257,
-1.1498,0,-5.001,97.265,
-1.0499,-0.0001,-5.001,97.986,
-0.95,-0.0002,-5.0009,98.497,
-0.8499,-0.0003,-5.0009,98.681,
-0.7498,-0.0004,-5.0008,99.275,
-0.6498,-0.0004,-5.0008,99.560,
-0.5499,-0.0005,-5.0007,98.875,
-0.45,-0.0006,-5.0007,100.000,
-0.3499,-0.0007,-5.0006,99.187,
-0.2499,-0.0007,-5.0006,99.857,
-0.1499,-0.0008,-5.0005,99.022,
-0.0499,-0.0009,-5.0005,99.007,
0.0501,-0.001,-5.0004,99.962,
0.15,-0.0009,-5.0004,98.603,
0.2501,-0.0009,-5.0004,99.742,
0.3501,-0.0009,-5.0004,99.140,
0.4501,-0.0008,-5.0004,98.623,
0.55,-0.0008,-5.0003,99.074,
0.6501,-0.0008,-5.0003,98.631,
0.7502,-0.0007,-5.0003,98.481,
0.8501,-0.0007,-5.0003,98.025,
0.95,-0.0007,-5.0003,98.695,
1.0501,-0.0006,-5.0003,97.573,
1.15,-0.0006,-5.0003,97.483,
1.2499,-0.0006,-5.0003,97.343,
1.35,-0.0005,-5.0003,96.393,
1.4501,-0.0005,-5.0002,95.459,
1.5502,-0.0005,-5.0002,96.226,
1.6501,-0.0004,-5.0002,94.503,
1.75,-0.0004,-5.0002,93.452,
1.8501,-0.0003,-5.0002,92.389,
1.9501,-0.0003,-5.0002,90.108,
2.05,-0.0003,-5.0002,88.403,
2.15,-0.0002,-5.0002,83.453,
2.2501,-0.0002,-5.0001,76.779,
2.3501,-0.0002,-5.0001,66.826,
2.45,-0.0001,-5.0001,53.102,
2.55,-0.0001,-5.0001,37.914,
2.6501,-0.0001,-5.0001,24.287,
2.7502,0,-5.0001,15.995,
2.8501,0,-5.0001,10.531,
2.95,0,-5.0001,7.597,
3.0501,0.0001,-5.0001,6.053,
3.1502,0.0001,-5,5.150,
3.2501,0.0001,-5,4.607,
3.3501,0.0002,-5,4.178,
3.4502,0.0002,-5,3.904,

Checksum:,5FCE09E7C1DC80E765A661C3ED8E6836765E9209E2E7E82A548D616B5139ABBD
