HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.444 mm, Y=0.049 mm, Z=0.000 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,W2MR 1X1 SN XMG212160
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMG212160
Manufacturer,Standard Imaging
Model,W2MR 1X1
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.875,[pA]
Reference detector,-0.876,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-25T18:18:03.8728664-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,27.2,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Aborted
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-12,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,121000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,N.C.,[%]
Calculated D20,N.C.,[%]
DMax,N.C.,[cm]
Normalisation factor,N.C.,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0226,0.0026,-11.95,1137.609,
0.0444,0.0049,-11.85,1146.888,
0.0437,0.0049,-11.75,1152.814,
0.0431,0.0049,-11.65,1153.164,
0.0424,0.0049,-11.55,1164.158,
0.0418,0.0049,-11.45,1168.525,
0.0414,0.0049,-11.35,1177.203,
0.0407,0.0048,-11.25,1183.170,
0.0401,0.0048,-11.15,1191.839,
0.0394,0.0048,-11.05,1198.722,
0.0388,0.0048,-10.95,1204.428,
0.0383,0.0048,-10.85,1209.656,
0.0379,0.0048,-10.75,1215.611,
0.0375,0.0047,-10.65,1223.612,
0.0371,0.0047,-10.55,1226.425,
0.0368,0.0047,-10.45,1235.258,
0.0364,0.0046,-10.35,1240.286,
0.0361,0.0046,-10.25,1246.001,
0.0357,0.0045,-10.15,1250.479,
0.0353,0.0045,-10.05,1261.129,
0.035,0.0045,-9.95,1262.718,
0.0346,0.0044,-9.85,1275.141,
0.0343,0.0044,-9.75,1279.988,
0.0339,0.0044,-9.65,1287.238,
0.0335,0.0043,-9.55,1292.516,
0.0332,0.0043,-9.45,1302.448,
0.0328,0.0043,-9.35,1305.266,
0.0325,0.0042,-9.25,1310.971,
0.0321,0.0042,-9.15,1317.536,
0.0317,0.0041,-9.05,1324.294,
0.0314,0.0041,-8.95,1334.721,
0.031,0.0041,-8.8501,1343.577,
0.0307,0.004,-8.75,1348.533,
0.0303,0.004,-8.65,1354.757,
0.0299,0.004,-8.55,1360.455,
0.0296,0.0039,-8.45,1368.507,
0.0292,0.0039,-8.35,1375.045,
0.0289,0.0039,-8.25,1384.318,
0.0285,0.0038,-8.15,1390.398,
0.0281,0.0038,-8.05,1396.501,
0.0278,0.0037,-7.95,1401.790,
0.0274,0.0037,-7.85,1413.048,
0.0271,0.0037,-7.75,1417.796,
0.0267,0.0036,-7.65,1425.807,
0.0264,0.0036,-7.55,1435.758,
0.026,0.0036,-7.45,1442.312,
0.0256,0.0035,-7.35,1446.506,
0.0253,0.0035,-7.25,1456.377,
0.0249,0.0035,-7.15,1461.484,
0.0246,0.0034,-7.05,1473.537,
0.0242,0.0034,-6.95,1476.720,
0.0238,0.0033,-6.85,1486.921,
0.0235,0.0033,-6.75,1494.278,

Checksum:,70E832025EDF5AEFB5F9F17817D4D13187E39308C7315B22C2F7D190CF8E2B37
