HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,W2MR 1X1 SN XMG212160
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMG212160
Manufacturer,Standard Imaging
Model,W2MR 1X1
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.875,[pA]
Reference detector,-0.876,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-25T17:39:57.3012000-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,19.92,[cm]
Field size inline,19.92,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-11,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,11,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,220000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.041831,[cm]
Calculated field width,19.637757,[cm]
Calculated penumbra left,3.257965,[cm]
Calculated penumbra right,3.069019,[cm]
Calculated symmetry,1.546,[%]
Normalisation factor,0.061641,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-10.9506,0.0013,-5.003,5.910,
-10.8499,0.0026,-5.0061,6.224,
-10.7499,0.0034,-5.0063,6.711,
-10.65,0.0038,-5.0064,7.243,
-10.55,0.004,-5.0066,7.852,
-10.4499,0.0041,-5.0067,8.892,
-10.35,0.0043,-5.0069,9.994,
-10.25,0.0044,-5.0071,11.854,
-10.1499,0.0046,-5.0072,15.036,
-10.0499,0.0048,-5.0074,21.091,
-9.9498,0.0049,-5.0075,31.407,
-9.8499,0.0051,-5.0077,43.133,
-9.7499,0.0052,-5.0079,52.559,
-9.6498,0.0054,-5.008,58.336,
-9.5499,0.0056,-5.0082,62.400,
-9.4499,0.0057,-5.0084,64.697,
-9.3498,0.0058,-5.0085,66.745,
-9.2499,0.0058,-5.0084,68.022,
-9.1498,0.0057,-5.0084,68.437,
-9.0499,0.0056,-5.0083,69.477,
-8.95,0.0055,-5.0083,69.897,
-8.85,0.0055,-5.0082,70.577,
-8.7499,0.0054,-5.0082,71.618,
-8.6498,0.0053,-5.0081,71.426,
-8.5498,0.0052,-5.0081,72.486,
-8.4499,0.0051,-5.008,72.481,
-8.35,0.0051,-5.008,73.409,
-8.2499,0.005,-5.0079,73.791,
-8.15,0.0049,-5.0079,73.615,
-8.0501,0.0048,-5.0078,75.312,
-7.9501,0.0047,-5.0077,74.823,
-7.8501,0.0047,-5.0077,75.468,
-7.75,0.0046,-5.0076,76.343,
-7.6499,0.0045,-5.0076,76.397,
-7.5498,0.0044,-5.0075,76.852,
-7.4499,0.0043,-5.0075,77.156,
-7.35,0.0043,-5.0074,77.224,
-7.25,0.0042,-5.0074,78.568,
-7.1499,0.0041,-5.0073,77.963,
-7.0499,0.004,-5.0073,79.072,
-6.9499,0.004,-5.0072,79.437,
-6.85,0.0039,-5.0072,79.762,
-6.75,0.0038,-5.0071,80.356,
-6.65,0.0037,-5.0071,80.489,
