HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.429 mm, Y=0.049 mm, Z=0.000 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,W2MR 1X1 SN XMG212160
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,XMG212160
Manufacturer,Standard Imaging
Model,W2MR 1X1
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.875,[pA]
Reference detector,-0.876,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2022-12-25T18:07:35.3554522-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,24.07,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Completed successfully
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-12,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,121000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,67.463,[%]
Calculated D20,N.C.,[%]
DMax,1.568861,[cm]
Normalisation factor,0.053517,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0202,0.0028,-11.95,60.709,
0.0429,0.0049,-11.85,61.016,
0.0426,0.0049,-11.75,61.547,
0.0421,0.0049,-11.65,61.934,
0.0416,0.0049,-11.55,62.236,
0.0412,0.0049,-11.45,62.620,
0.0407,0.0049,-11.35,62.909,
0.0402,0.0048,-11.25,63.257,
0.0398,0.0048,-11.15,63.576,
0.0393,0.0048,-11.05,64.100,
0.0388,0.0048,-10.95,64.182,
0.0383,0.0048,-10.85,64.442,
0.0379,0.0048,-10.75,64.919,
0.0375,0.0047,-10.65,65.249,
0.0371,0.0047,-10.55,65.600,
0.0368,0.0047,-10.45,66.027,
0.0364,0.0046,-10.35,66.280,
0.0361,0.0046,-10.25,66.580,
0.0357,0.0045,-10.15,67.009,
0.0353,0.0045,-10.05,67.273,
0.035,0.0045,-9.95,67.653,
0.0346,0.0044,-9.85,67.839,
0.0343,0.0044,-9.75,68.376,
0.0339,0.0044,-9.65,68.581,
0.0335,0.0043,-9.55,69.104,
0.0332,0.0043,-9.45,69.427,
0.0328,0.0043,-9.35,69.532,
0.0325,0.0042,-9.25,70.083,
0.0321,0.0042,-9.15,70.311,
0.0317,0.0041,-9.05,70.906,
0.0314,0.0041,-8.95,71.071,
0.031,0.0041,-8.8501,71.602,
0.0307,0.004,-8.75,71.794,
0.0303,0.004,-8.65,72.449,
0.0299,0.004,-8.55,72.727,
0.0296,0.0039,-8.45,73.091,
0.0292,0.0039,-8.35,73.619,
0.0289,0.0039,-8.25,73.828,
0.0285,0.0038,-8.15,74.321,
0.0281,0.0038,-8.05,74.605,
0.0278,0.0037,-7.95,74.971,
0.0274,0.0037,-7.85,75.330,
0.0271,0.0037,-7.75,75.695,
0.0267,0.0036,-7.65,76.271,
0.0264,0.0036,-7.55,76.641,
0.026,0.0036,-7.45,77.133,
0.0256,0.0035,-7.35,77.441,
0.0253,0.0035,-7.25,77.515,
0.0249,0.0035,-7.15,78.243,
0.0246,0.0034,-7.05,78.521,
0.0242,0.0034,-6.95,79.097,
0.0238,0.0033,-6.85,79.251,
0.0235,0.0033,-6.75,79.582,
0.0231,0.0033,-6.65,80.180,
0.0228,0.0032,-6.55,80.411,
0.0224,0.0032,-6.45,81.143,
0.022,0.0032,-6.35,81.474,
0.0217,0.0031,-6.25,81.783,
0.0213,0.0031,-6.15,82.040,
0.021,0.003,-6.05,82.743,
0.0206,0.003,-5.95,83.086,
0.0202,0.003,-5.85,83.562,
0.0199,0.0029,-5.7501,83.692,
0.0195,0.0029,-5.65,84.312,
0.0192,0.0029,-5.55,84.629,
0.0188,0.0028,-5.45,85.014,
0.0184,0.0028,-5.35,85.532,
0.0181,0.0028,-5.25,85.941,
0.0177,0.0027,-5.15,86.489,
0.0174,0.0027,-5.05,86.893,
