HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Diamond SN 124596 Annual  QA
Project run number,3
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,124596
Manufacturer,PTW
Model,Micro Diamond
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.795,[pA]
Reference detector,-0.89,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-29T15:56:29.1383983-05:00
SSD,80,[cm]
Gantry angle,0,[°]
Field size crossline,14.94,[cm]
Field size inline,14.94,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-9,[cm]
Start Z,-10,[cm]
Stop X,0,[cm]
Stop Y,9,[cm]
Stop Z,-10,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,180000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.048857,[cm]
Calculated field width,15.081901,[cm]
Calculated penumbra left,1.679612,[cm]
Calculated penumbra right,1.518021,[cm]
Calculated symmetry,1.164,[%]
Normalisation factor,0.224513,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0013,-8.9497,-10.0035,8.749,
0.002,-8.8498,-10.0069,9.000,
0.002,-8.7499,-10.0069,9.305,
0.002,-8.6498,-10.0069,9.651,
0.0018,-8.5496,-10.0069,9.935,
0.0017,-8.4497,-10.0069,10.453,
0.0017,-8.3499,-10.0069,10.993,
0.0017,-8.2497,-10.0069,11.628,
0.0017,-8.1496,-10.0069,12.572,
0.0017,-8.0497,-10.0069,13.877,
0.0017,-7.9498,-10.0069,16.008,
0.0019,-7.8497,-10.0069,19.204,
0.0021,-7.7498,-10.0069,24.799,
0.0023,-7.6499,-10.0069,33.050,
0.0024,-7.5498,-10.0069,43.960,
0.0024,-7.4496,-10.0069,54.448,
0.0026,-7.3497,-10.0069,62.196,
0.0027,-7.2499,-10.0069,67.439,
0.0027,-7.1497,-10.0069,70.433,
0.0027,-7.0496,-10.0069,72.334,
0.0027,-6.9497,-10.0069,73.829,
0.0029,-6.8498,-10.0069,74.953,
0.003,-6.7497,-10.0069,75.931,
0.003,-6.6498,-10.0069,76.750,
0.003,-6.5499,-10.0069,77.547,
0.003,-6.4498,-10.0069,78.223,
0.0032,-6.3496,-10.0069,78.654,
0.0033,-6.2497,-10.0069,79.500,
0.0034,-6.1499,-10.0069,80.032,
0.0034,-6.0497,-10.0069,80.587,
0.0034,-5.9496,-10.0069,81.422,
0.0034,-5.8497,-10.0069,81.738,
0.0034,-5.7497,-10.0069,82.361,
0.0034,-5.6498,-10.0069,83.116,
0.0034,-5.5499,-10.0069,83.288,
0.0034,-5.4498,-10.0069,83.724,
0.0034,-5.3496,-10.0069,84.396,
0.0034,-5.2497,-10.0069,84.839,
0.0034,-5.1499,-10.0069,85.505,
0.0036,-5.0497,-10.0069,85.994,
0.0038,-4.9498,-10.0069,86.410,
0.0038,-4.85,-10.0069,86.655,
0.0038,-4.7498,-10.0069,87.517,
0.0038,-4.6497,-10.007,87.744,
0.0038,-4.5498,-10.007,87.974,
0.0038,-4.4499,-10.007,88.681,
0.0038,-4.3498,-10.007,89.230,
0.0038,-4.2496,-10.007,89.710,
0.0038,-4.1497,-10.007,89.796,
0.0038,-4.0499,-10.007,90.341,
0.0038,-3.9497,-10.007,90.499,
0.0038,-3.8498,-10.007,91.041,
0.0038,-3.75,-10.007,91.284,
0.0038,-3.6498,-10.007,91.899,
0.0038,-3.5497,-10.007,92.184,
0.0038,-3.4498,-10.007,92.337,
0.0038,-3.3499,-10.007,92.760,
0.0037,-3.2498,-10.007,93.301,
0.0035,-3.1496,-10.007,93.642,
0.0035,-3.0497,-10.007,94.035,
0.0035,-2.9499,-10.007,93.975,
0.0036,-2.8497,-10.007,94.367,
0.0036,-2.7498,-10.007,94.889,
0.0036,-2.65,-10.007,95.326,
0.0036,-2.5498,-10.007,95.531,
0.0036,-2.4497,-10.007,95.838,
0.0036,-2.3498,-10.007,95.955,
0.0036,-2.2499,-10.007,96.221,
0.0036,-2.1497,-10.007,96.542,
0.0036,-2.0496,-10.007,97.191,
0.0036,-1.9497,-10.007,97.093,
0.0036,-1.8498,-10.007,97.539,
0.0036,-1.7496,-10.007,97.793,
0.0038,-1.6497,-10.007,97.630,
0.0039,-1.5499,-10.007,97.913,
0.0039,-1.4497,-10.007,98.367,
0.0039,-1.3496,-10.007,98.128,
0.004,-1.2497,-10.007,98.717,
0.004,-1.1499,-10.007,98.688,
0.004,-1.0498,-10.007,98.835,
0.0039,-0.9497,-10.0069,99.427,
0.0039,-0.8498,-10.0069,99.036,
0.0038,-0.75,-10.0068,99.326,
0.0038,-0.6498,-10.0067,99.451,
0.0037,-0.5497,-10.0067,99.598,
0.0037,-0.4496,-10.0066,99.573,
0.0037,-0.3497,-10.0066,99.873,
0.0036,-0.2499,-10.0065,99.872,
0.0036,-0.1498,-10.0064,100.000,
0.0035,-0.0496,-10.0064,99.680,
0.0033,0.0503,-10.0063,99.969,
0.0031,0.1501,-10.0062,99.580,
0.0031,0.2502,-10.0062,99.647,
0.0031,0.3504,-10.0061,99.923,
0.003,0.4503,-10.0061,99.830,
0.003,0.5501,-10.006,99.808,
0.0029,0.6502,-10.0059,99.623,
0.0029,0.7503,-10.0059,99.633,
0.0028,0.8502,-10.0058,99.380,
0.0028,0.95,-10.0058,98.918,
0.0028,1.0502,-10.0057,98.244,
0.0027,1.1503,-10.0056,98.556,
0.0027,1.2502,-10.0056,98.676,
0.0026,1.35,-10.0055,98.400,
0.0026,1.4502,-10.0055,98.365,
0.0025,1.5503,-10.0054,98.457,
0.0025,1.6502,-10.0053,98.256,
0.0024,1.75,-10.0053,98.126,
0.0024,1.8501,-10.0052,97.694,
0.0024,1.9502,-10.0051,97.368,
0.0023,2.0504,-10.0051,97.484,
0.0023,2.1503,-10.005,96.926,
0.0022,2.2501,-10.005,97.041,
0.0022,2.3502,-10.0049,96.825,
0.0021,2.4503,-10.0048,96.152,
0.0023,2.5502,-10.0048,95.736,
0.0024,2.65,-10.0047,95.715,
0.0023,2.7502,-10.0047,95.301,
0.0023,2.8503,-10.0046,95.036,
0.0022,2.9502,-10.0045,94.790,
0.0022,3.05,-10.0045,94.629,
0.0021,3.1502,-10.0044,94.307,
0.0021,3.2503,-10.0044,93.694,
0.0021,3.3502,-10.0043,93.629,
0.002,3.45,-10.0042,93.084,
0.002,3.5502,-10.0042,92.574,
0.0019,3.6504,-10.0041,92.436,
0.0019,3.7503,-10.004,91.983,
0.0018,3.8501,-10.004,91.544,
0.0018,3.9502,-10.0039,91.204,
0.0018,4.0503,-10.0039,91.150,
0.0017,4.1504,-10.0038,90.602,
0.0017,4.2503,-10.0037,90.386,
0.0016,4.3501,-10.0037,89.689,
0.0018,4.4503,-10.0036,89.440,
0.0019,4.5504,-10.0036,89.033,
0.0018,4.6503,-10.0035,88.826,
0.0018,4.7501,-10.0034,88.281,
0.0019,4.8503,-10.0034,87.902,
0.002,4.9504,-10.0033,87.305,
0.002,5.0503,-10.0032,86.924,
0.0019,5.1501,-10.0032,86.545,
0.0019,5.2503,-10.0031,85.799,
0.0018,5.3504,-10.0031,85.378,
0.0018,5.4503,-10.003,84.946,
0.0017,5.5501,-10.0029,84.178,
0.0017,5.6502,-10.0029,84.016,
0.0016,5.7504,-10.0028,83.490,
0.0014,5.8503,-10.0028,83.126,
0.0013,5.9501,-10.0027,82.599,
0.0012,6.0502,-10.0026,81.888,
0.0012,6.1504,-10.0026,81.566,
0.0009,6.2503,-10.0025,80.989,
0.0008,6.3501,-10.0025,80.517,
0.0007,6.4502,-10.0024,79.760,
0.0007,6.5503,-10.0023,78.884,
0.0006,6.6504,-10.0023,78.267,
0.0006,6.7503,-10.0022,77.472,
0.0005,6.8501,-10.0021,76.883,
0.0005,6.9503,-10.0021,75.695,
0.0005,7.0504,-10.002,74.231,
0.0004,7.1503,-10.002,72.729,
0.0004,7.2501,-10.0019,70.671,
0.0003,7.3502,-10.0018,67.321,
0.0003,7.4504,-10.0018,62.136,
0.0002,7.5503,-10.0017,54.223,
0.0002,7.6501,-10.0017,43.555,
0.0002,7.7502,-10.0016,32.568,
0.0001,7.8504,-10.0015,24.598,
0.0001,7.9503,-10.0015,19.262,
0,8.0501,-10.0014,16.232,
0,8.1502,-10.0014,14.256,
-0.0001,8.2504,-10.0013,13.148,
-0.0001,8.3505,-10.0012,12.445,
-0.0001,8.4503,-10.001,11.873,
0,8.5501,-10.0009,11.420,
0,8.6502,-10.0007,10.994,
0.0001,8.7503,-10.0005,10.651,
0.0001,8.8504,-10.0004,10.251,
0.0002,8.9497,-10.0002,9.963,

Checksum:,C7D4D32B6876F8458CC745BEA5233DBE9C7EA12FE977320C2549546AEB249BF7
