HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Diamond SN 124596 Annual  QA
Project run number,3
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,124596
Manufacturer,PTW
Model,Micro Diamond
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.795,[pA]
Reference detector,-0.89,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-29T15:53:15.2380532-05:00
SSD,80,[cm]
Gantry angle,0,[°]
Field size crossline,14.94,[cm]
Field size inline,14.94,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-9,[cm]
Start Y,0,[cm]
Start Z,-10,[cm]
Stop X,9,[cm]
Stop Y,0,[cm]
Stop Z,-10,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,180000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.026704,[cm]
Calculated field width,14.773835,[cm]
Calculated penumbra left,1.575691,[cm]
Calculated penumbra right,1.564271,[cm]
Calculated symmetry,0.647,[%]
Normalisation factor,0.224015,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-8.9512,-0.0009,-10.0034,7.851,
-8.8499,-0.0012,-10.0067,8.306,
-8.7499,-0.0012,-10.0067,8.550,
-8.6498,-0.0012,-10.0066,8.871,
-8.5499,-0.0013,-10.0065,9.226,
-8.4498,-0.0013,-10.0064,9.626,
-8.3499,-0.0013,-10.0064,10.078,
-8.2499,-0.0013,-10.0063,10.652,
-8.1498,-0.0013,-10.0062,11.233,
-8.0498,-0.0013,-10.0062,11.966,
-7.9497,-0.0013,-10.0061,12.871,
-7.8499,-0.0014,-10.006,14.215,
-7.75,-0.0014,-10.0059,16.375,
-7.65,-0.0014,-10.0059,20.319,
-7.5499,-0.0014,-10.0058,27.760,
-7.4499,-0.0014,-10.0057,39.389,
-7.3498,-0.0014,-10.0056,51.232,
-7.2499,-0.0014,-10.0056,59.816,
-7.15,-0.0015,-10.0055,65.488,
-7.0499,-0.0015,-10.0054,69.265,
-6.9499,-0.0015,-10.0053,71.810,
-6.8498,-0.0015,-10.0053,73.413,
-6.7499,-0.0015,-10.0052,74.657,
-6.6499,-0.0015,-10.0051,75.778,
-6.5498,-0.0015,-10.005,76.826,
-6.4499,-0.0016,-10.005,77.511,
-6.3499,-0.0016,-10.0049,78.302,
-6.2498,-0.0016,-10.0048,78.872,
-6.1499,-0.0016,-10.0047,79.337,
-6.0498,-0.0016,-10.0047,80.320,
-5.9499,-0.0016,-10.0046,80.700,
-5.8499,-0.0016,-10.0045,81.184,
-5.7499,-0.0016,-10.0044,81.923,
-5.6498,-0.0017,-10.0044,82.508,
-5.5498,-0.0017,-10.0043,82.673,
-5.4499,-0.0017,-10.0042,83.609,
-5.3499,-0.0017,-10.0041,84.148,
-5.2498,-0.0017,-10.0041,84.389,
-5.1499,-0.0017,-10.004,85.011,
-5.0499,-0.0017,-10.0039,85.565,
-4.9498,-0.0018,-10.0038,85.885,
-4.8499,-0.0018,-10.0038,86.308,
-4.75,-0.0018,-10.0037,86.632,
-4.6499,-0.0018,-10.0036,87.295,
-4.55,-0.0018,-10.0035,87.707,
-4.4499,-0.0018,-10.0035,88.398,
-4.3498,-0.0018,-10.0034,88.523,
-4.2499,-0.0019,-10.0033,89.100,
-4.15,-0.0019,-10.0032,89.815,
-4.05,-0.0019,-10.0032,90.144,
-3.9498,-0.0019,-10.0031,90.312,
-3.8497,-0.0019,-10.003,90.776,
-3.7499,-0.0019,-10.003,91.295,
-3.6499,-0.0019,-10.0029,91.498,
-3.5498,-0.002,-10.0028,92.033,
-3.4499,-0.002,-10.0027,92.331,
-3.3498,-0.002,-10.0027,92.682,
-3.2499,-0.002,-10.0026,93.301,
-3.1499,-0.002,-10.0025,93.477,
-3.0498,-0.002,-10.0024,94.191,
-2.9499,-0.002,-10.0024,94.215,
-2.8499,-0.0021,-10.0023,94.910,
-2.7498,-0.0021,-10.0022,94.866,
-2.6499,-0.0021,-10.0021,95.229,
-2.5499,-0.0021,-10.0021,95.077,
-2.4499,-0.0021,-10.002,95.558,
-2.3499,-0.0021,-10.0019,95.972,
-2.2498,-0.0021,-10.0018,96.233,
-2.1499,-0.0022,-10.0018,96.519,
-2.0499,-0.0022,-10.0017,96.812,
-1.9498,-0.0022,-10.0016,97.037,
-1.8499,-0.0022,-10.0015,97.029,
-1.7499,-0.0022,-10.0015,97.428,
-1.6499,-0.0022,-10.0014,97.931,
-1.5498,-0.0022,-10.0013,97.897,
-1.4498,-0.0023,-10.0012,98.272,
-1.3499,-0.0023,-10.0012,97.905,
-1.2499,-0.0023,-10.0011,98.538,
-1.1498,-0.0023,-10.001,98.762,
-1.0499,-0.0023,-10.0009,99.003,
-0.9498,-0.0023,-10.0009,99.240,
-0.8499,-0.0023,-10.0008,99.566,
-0.7499,-0.0024,-10.0007,99.471,
-0.6498,-0.0024,-10.0006,99.465,
-0.5499,-0.0024,-10.0006,99.731,
-0.4499,-0.0024,-10.0005,99.715,
-0.3498,-0.0024,-10.0004,99.891,
-0.2499,-0.0024,-10.0003,100.000,
-0.1499,-0.0024,-10.0003,99.762,
-0.0499,-0.0025,-10.0002,99.625,
0.0501,-0.0025,-10.0001,99.649,
0.1501,-0.0025,-10,99.658,
0.25,-0.0025,-10,99.520,
0.3501,-0.0025,-10,99.587,
0.45,-0.0025,-10,99.082,
0.5501,-0.0024,-10,99.056,
0.65,-0.0024,-10,99.295,
0.7501,-0.0024,-10,99.380,
0.85,-0.0024,-10,99.078,
0.9501,-0.0024,-10,98.947,
1.05,-0.0024,-10,98.671,
1.1501,-0.0023,-10,98.881,
1.25,-0.0023,-10,98.510,
1.3501,-0.0023,-10,98.355,
1.45,-0.0023,-10,98.279,
1.5501,-0.0023,-10,97.872,
1.65,-0.0023,-10,97.570,
1.7501,-0.0022,-10,97.418,
1.85,-0.0022,-10,97.570,
1.9501,-0.0022,-10,97.287,
2.05,-0.0022,-10,96.876,
2.1501,-0.0022,-10,96.538,
2.25,-0.0022,-10,96.811,
2.3501,-0.0021,-10,95.985,
2.45,-0.0021,-10,95.790,
2.5501,-0.0021,-10,95.726,
2.65,-0.0021,-10,95.264,
2.7501,-0.0021,-10,94.904,
2.85,-0.0021,-10,94.727,
2.9501,-0.002,-10,94.508,
3.05,-0.002,-10,94.200,
3.1501,-0.002,-10,93.659,
3.25,-0.002,-10,93.345,
3.3502,-0.002,-10,92.860,
3.4502,-0.002,-10,92.544,
3.55,-0.0019,-10,92.191,
3.6499,-0.0019,-10.0001,92.077,
3.7501,-0.0019,-10.0001,91.721,
3.8501,-0.0019,-10.0001,91.314,
3.9501,-0.0019,-10.0001,90.593,
4.0501,-0.0019,-10.0001,90.510,
4.1501,-0.0019,-10.0001,90.315,
4.2501,-0.0018,-10.0001,89.481,
4.3501,-0.0018,-10.0001,89.298,
4.4501,-0.0018,-10.0001,88.767,
4.5501,-0.0018,-10.0001,88.301,
4.6501,-0.0018,-10.0001,87.857,
4.7501,-0.0018,-10.0001,86.961,
4.8502,-0.0017,-10.0001,87.242,
4.9501,-0.0017,-10.0001,86.573,
5.05,-0.0017,-10.0001,86.248,
5.1501,-0.0017,-10.0001,85.547,
5.25,-0.0017,-10.0001,85.288,
5.3501,-0.0017,-10.0001,84.307,
5.45,-0.0016,-10.0001,84.104,
5.5501,-0.0016,-10.0001,83.404,
5.65,-0.0016,-10.0001,83.043,
5.7501,-0.0016,-10.0001,82.369,
5.85,-0.0016,-10.0001,81.871,
5.9501,-0.0016,-10.0001,81.401,
6.05,-0.0015,-10.0001,80.871,
6.1501,-0.0015,-10.0001,80.097,
6.25,-0.0015,-10.0001,79.442,
6.3501,-0.0015,-10.0001,78.903,
6.45,-0.0015,-10.0001,78.313,
6.5501,-0.0015,-10.0001,77.109,
6.65,-0.0014,-10.0001,76.442,
6.7501,-0.0014,-10.0001,75.464,
6.85,-0.0014,-10.0001,74.404,
6.9501,-0.0014,-10.0001,72.931,
7.05,-0.0014,-10.0001,71.084,
7.1502,-0.0014,-10.0001,68.350,
7.2502,-0.0013,-10.0001,63.299,
7.3502,-0.0013,-10.0001,56.459,
7.4502,-0.0013,-10.0001,46.275,
7.5501,-0.0013,-10.0001,34.876,
7.6502,-0.0013,-10.0001,24.945,
7.7501,-0.0013,-10.0001,18.686,
7.8501,-0.0012,-10.0001,15.197,
7.9501,-0.0012,-10.0001,13.231,
8.0501,-0.0012,-10.0001,12.061,
8.1501,-0.0012,-10.0001,11.346,
8.2501,-0.0012,-10.0001,10.888,
8.3501,-0.0012,-10.0001,10.467,
8.4501,-0.0011,-10.0001,10.003,
8.5501,-0.0011,-10.0001,9.594,
8.6501,-0.0011,-10.0001,9.251,
8.7501,-0.0011,-10.0001,9.040,
8.8501,-0.0011,-10.0001,8.728,
8.9501,-0.0011,-10.0001,8.353,

Checksum:,4BBC92F26026C8F60749DFD04C283892EE3CFCD0B036D00680CBF8E57F8370DB
