HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Diamond SN 124596 Annual  QA
Project run number,3
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,124596
Manufacturer,PTW
Model,Micro Diamond
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.795,[pA]
Reference detector,-0.89,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-29T16:49:06.2454093-05:00
SSD,80,[cm]
Gantry angle,0,[°]
Field size crossline,27.2,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-14.9,[cm]
Start Y,0,[cm]
Start Z,-10,[cm]
Stop X,14.9,[cm]
Stop Y,0,[cm]
Stop Z,-10,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,298000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.014353,[cm]
Calculated field width,26.777584,[cm]
Calculated penumbra left,6.629854,[cm]
Calculated penumbra right,6.544683,[cm]
Calculated symmetry,0.674,[%]
Normalisation factor,0.212209,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-14.8506,-0.0022,-10.0007,9.434,
-14.7498,-0.0039,-10.0015,9.798,
-14.6498,-0.0042,-10.0017,10.012,
-14.5498,-0.0041,-10.0018,10.418,
-14.4498,-0.0041,-10.002,10.753,
-14.3499,-0.004,-10.0022,11.167,
-14.25,-0.0039,-10.0024,11.845,
-14.15,-0.0038,-10.0026,12.439,
-14.05,-0.0038,-10.0028,13.416,
-13.95,-0.0037,-10.003,14.846,
-13.85,-0.0036,-10.0031,17.735,
-13.7499,-0.0035,-10.0033,23.036,
-13.6499,-0.0034,-10.0035,30.924,
-13.5499,-0.0034,-10.0037,40.059,
-13.4499,-0.0033,-10.0039,46.977,
-13.3498,-0.0032,-10.0041,50.987,
-13.2498,-0.0031,-10.0043,53.611,
-13.1498,-0.0031,-10.0044,55.178,
-13.0498,-0.003,-10.0046,56.706,
-12.9499,-0.0029,-10.0048,57.554,
-12.85,-0.0028,-10.005,58.342,
-12.75,-0.0027,-10.0052,58.689,
-12.65,-0.0027,-10.0054,59.087,
-12.55,-0.0026,-10.0056,59.599,
-12.45,-0.0025,-10.0057,60.376,
-12.35,-0.0024,-10.0059,60.763,
-12.25,-0.0024,-10.0061,61.022,
-12.15,-0.0023,-10.0063,61.457,
-12.05,-0.0022,-10.0065,61.906,
-11.9499,-0.0021,-10.0067,62.350,
-11.8499,-0.0021,-10.0069,62.752,
-11.7499,-0.002,-10.007,63.322,
-11.6499,-0.0019,-10.0072,63.551,
-11.5498,-0.0018,-10.0074,64.239,
-11.4498,-0.0017,-10.0076,64.444,
-11.3498,-0.0017,-10.0078,64.758,
-11.2498,-0.0016,-10.008,65.318,
-11.1499,-0.0015,-10.0082,65.640,
-11.0499,-0.0014,-10.0083,66.155,
-10.9498,-0.0014,-10.0085,66.273,
-10.8498,-0.0013,-10.0087,66.623,
