HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Diamond SN 124596 Annual  QA
Project run number,3
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,124596
Manufacturer,PTW
Model,Micro Diamond
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.795,[pA]
Reference detector,-0.89,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-29T16:29:18.1126791-05:00
SSD,80,[cm]
Gantry angle,0,[°]
Field size crossline,24.07,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-13.5,[cm]
Start Y,0,[cm]
Start Z,-10,[cm]
Stop X,13.5,[cm]
Stop Y,0,[cm]
Stop Z,-10,[cm]
Couch tilt x,0.03,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,270000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Double inflection point
Calculated centre,0.016748,[cm]
Calculated field width,24.122342,[cm]
Calculated penumbra left,0.847063,[cm]
Calculated penumbra right,0.813368,[cm]
Calculated symmetry,1.374,[%]
Normalisation factor,0.291708,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-13.4509,-0.0021,-10.0014,12.564,
-13.3498,-0.0032,-10.0028,12.943,
-13.2498,-0.0031,-10.003,13.455,
-13.1498,-0.0031,-10.0031,13.770,
-13.0498,-0.003,-10.0033,14.220,
-12.9499,-0.0029,-10.0035,14.719,
-12.85,-0.0028,-10.0037,15.295,
-12.75,-0.0027,-10.0039,16.195,
-12.65,-0.0027,-10.0041,16.871,
-12.55,-0.0026,-10.0043,17.838,
-12.45,-0.0025,-10.0045,19.541,
-12.35,-0.0024,-10.0046,21.888,
-12.25,-0.0024,-10.0048,26.759,
-12.15,-0.0023,-10.005,35.749,
-12.05,-0.0022,-10.0052,48.583,
-11.9499,-0.0021,-10.0054,61.043,
-11.8499,-0.0021,-10.0056,69.586,
-11.7499,-0.002,-10.0058,74.867,
-11.6499,-0.0019,-10.0059,78.312,
-11.5498,-0.0018,-10.0061,80.852,
-11.4498,-0.0017,-10.0063,82.528,
-11.3498,-0.0017,-10.0065,84.003,
-11.2498,-0.0016,-10.0067,85.252,
-11.1498,-0.0015,-10.0069,85.791,
-11.0498,-0.0014,-10.0071,86.781,
-10.9498,-0.0014,-10.0072,87.597,
-10.8498,-0.0013,-10.0074,88.119,
-10.7499,-0.0012,-10.0076,88.623,
-10.65,-0.0011,-10.0078,89.430,
-10.55,-0.001,-10.008,89.913,
-10.45,-0.001,-10.0082,90.907,
-10.35,-0.0009,-10.0084,91.169,
-10.25,-0.0008,-10.0085,91.770,
-10.1499,-0.0007,-10.0087,92.363,
-10.0499,-0.0007,-10.0089,92.955,
-9.9499,-0.0006,-10.0091,93.652,
-9.8499,-0.0005,-10.0093,93.504,
-9.7498,-0.0004,-10.0095,94.606,
-9.65,-0.0003,-10.0097,95.209,
-9.5499,-0.0003,-10.0098,95.904,
-9.4498,-0.0002,-10.01,96.241,
-9.3498,-0.0001,-10.0102,96.786,
