HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Diamond SN 124596
Project run number,12
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,124596
Manufacturer,PTW
Model,Micro Diamond
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.855,[pA]
Reference detector,-0.894,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-02T16:49:42.4941472-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,19.92,[cm]
Field size inline,19.92,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-11,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,11,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,220000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.050472,[cm]
Calculated field width,19.981775,[cm]
Calculated penumbra left,3.331355,[cm]
Calculated penumbra right,7.356509,[cm]
Calculated symmetry,1.616,[%]
Normalisation factor,0.183991,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0023,-10.9496,-5.005,7.581,
0.0026,-10.8497,-5.0099,7.899,
0.0025,-10.75,-5.0098,8.405,
0.0025,-10.6499,-5.0098,9.074,
0.0024,-10.5498,-5.0098,10.051,
0.0024,-10.4497,-5.0098,11.946,
0.0022,-10.3498,-5.0098,15.077,
0.0021,-10.25,-5.0098,20.466,
0.0021,-10.1498,-5.0098,28.659,
0.0021,-10.0496,-5.0098,39.314,
0.0019,-9.9497,-5.0098,49.296,
0.0018,-9.8498,-5.0098,56.874,
0.0018,-9.7497,-5.0098,61.730,
0.0016,-9.6498,-5.0098,64.705,
0.0015,-9.5499,-5.0098,66.588,
0.0013,-9.4498,-5.0099,67.865,
0.0012,-9.3496,-5.0099,69.075,
0.0012,-9.2497,-5.0099,69.498,
0.0012,-9.1499,-5.0099,70.122,
0.0012,-9.0497,-5.0099,70.977,
0.0012,-8.9496,-5.0099,71.489,
0.0012,-8.8497,-5.0099,71.893,
0.0012,-8.7498,-5.0099,72.264,
0.0012,-8.6497,-5.0099,73.172,
0.0012,-8.5498,-5.0099,73.445,
0.0012,-8.4499,-5.0099,73.900,
0.001,-8.3498,-5.0099,74.242,
0.0009,-8.2499,-5.0099,74.785,
0.0009,-8.1501,-5.0099,75.214,
0.0009,-8.0499,-5.0099,75.543,
0.0009,-7.9497,-5.01,76.170,
0.0009,-7.8496,-5.01,76.406,
0.0009,-7.7497,-5.01,76.943,
0.0009,-7.6498,-5.01,77.110,
0.0009,-7.5496,-5.01,77.800,
0.0011,-7.4497,-5.01,78.043,
0.0012,-7.3499,-5.01,78.423,
0.0013,-7.2497,-5.01,78.739,
0.0013,-7.1498,-5.01,78.985,
0.0015,-7.05,-5.01,79.455,
0.0016,-6.9498,-5.01,79.885,
0.0016,-6.8496,-5.01,80.395,
0.0016,-6.7497,-5.01,80.892,
0.0016,-6.6499,-5.01,80.901,
0.0016,-6.5498,-5.0101,81.249,
0.0016,-6.4496,-5.0101,81.946,
0.0016,-6.3497,-5.0101,82.234,
0.0018,-6.2499,-5.0101,82.828,
0.0019,-6.1497,-5.0101,83.058,
0.002,-6.0498,-5.0101,83.579,
0.002,-5.95,-5.0101,84.187,
0.0022,-5.8497,-5.0101,84.422,
0.0023,-5.7498,-5.0101,84.997,
0.0023,-5.6499,-5.0101,85.091,
0.0023,-5.5497,-5.0101,85.464,
0.0023,-5.4498,-5.0101,85.801,
0.0023,-5.35,-5.0101,86.182,
0.0023,-5.2498,-5.0101,86.521,
0.0023,-5.1497,-5.0101,86.796,
0.0023,-5.0498,-5.0102,87.494,
0.0023,-4.9499,-5.0102,87.682,
0.0023,-4.8498,-5.0102,88.163,
0.0023,-4.7496,-5.0102,88.148,
0.0026,-4.6497,-5.0102,88.881,
0.0027,-4.5499,-5.0102,89.039,
0.0027,-4.4497,-5.0102,89.174,
0.0027,-4.3496,-5.0102,89.833,
0.0027,-4.2497,-5.0102,90.201,
0.0027,-4.1498,-5.0102,90.669,
0.0027,-4.0497,-5.0102,90.926,
0.0027,-3.9498,-5.0102,91.480,
0.0027,-3.85,-5.0102,91.717,
0.0027,-3.7498,-5.0102,91.912,
0.0027,-3.6496,-5.0102,92.176,
0.0027,-3.5497,-5.0103,92.703,
0.0027,-3.4498,-5.0103,92.919,
0.0027,-3.3496,-5.0103,93.107,
0.0027,-3.2497,-5.0103,93.566,
0.0027,-3.1499,-5.0103,94.145,
0.0027,-3.0498,-5.0103,94.349,
0.0027,-2.9496,-5.0103,94.305,
0.0027,-2.8497,-5.0103,94.487,
0.0027,-2.7499,-5.0103,95.060,
0.0027,-2.6497,-5.0103,95.201,
0.0027,-2.5498,-5.0103,95.646,
0.0027,-2.45,-5.0103,95.729,
0.0028,-2.3498,-5.0103,96.134,
0.0028,-2.2496,-5.0103,96.235,
0.0028,-2.1497,-5.0103,96.619,
0.0028,-2.0499,-5.0104,96.993,
0.0028,-1.9498,-5.0104,97.198,
0.0028,-1.8496,-5.0104,97.290,
0.0028,-1.7497,-5.0104,97.477,
0.0028,-1.6498,-5.0104,97.875,
0.0028,-1.5496,-5.0104,97.770,
0.0028,-1.4497,-5.0104,98.313,
0.0028,-1.3499,-5.0104,98.108,
0.0028,-1.2497,-5.0104,98.295,
0.0028,-1.1496,-5.0104,98.554,
0.0028,-1.0498,-5.0104,99.111,
0.0028,-0.95,-5.0104,99.029,
0.0027,-0.8498,-5.0103,99.397,
0.0027,-0.7497,-5.0102,99.385,
